slurm-9323482.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/BCPIns_8_7_10.txt_trad.txt_K5.aux,19,1,8,28,8,9,19,19,0.342684,0.166931,0.069711,2,2,17,0,
slurm-9323483.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/BCPIns_8_7_1.txt_trad.txt_K5.aux,19,1,8,28,8,9,19,19,0.623848,0.335005,0.165728,2,2,17,0,
slurm-9323484.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/BCPIns_8_7_2.txt_trad.txt_K5.aux,19,1,8,28,8,9,19,19,0.645625,0.412002,0.109931,2,2,18,0,
slurm-9323485.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/BCPIns_8_7_3.txt_trad.txt_K5.aux,19,1,8,28,8,9,19,19,0.608582,0.336332,0.176304,2,2,14,0,
slurm-9323486.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/BCPIns_8_7_4.txt_trad.txt_K5.aux,19,1,8,28,8,9,19,19,0.624995,0.425395,0.108966,3,3,13,0,
slurm-9323487.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/BCPIns_8_7_5.txt_trad.txt_K5.aux,19,1,8,28,8,9,19,19,0.245609,0.102857,0.058769,2,2,15,0,
slurm-9323488.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/BCPIns_8_7_6.txt_trad.txt_K5.aux,19,1,8,28,8,9,19,19,0.255646,0.115747,0.050632,2,2,18,0,
slurm-9323489.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/BCPIns_8_7_7.txt_trad.txt_K5.aux,19,1,8,28,8,9,19,19,0.320357,0.185471,0.044097,3,3,17,0,
slurm-9323490.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/BCPIns_8_7_8.txt_trad.txt_K5.aux,19,1,8,28,8,9,19,19,0.476702,0.247636,0.118545,2,2,17,0,
slurm-9323491.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/BCPIns_8_7_9.txt_trad.txt_K5.aux,19,1,8,28,8,9,19,19,0.485946,0.227499,0.131894,2,2,20,0,
slurm-9323492.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5010W02.KNP.aux,10,1,10,11,10,1,10,10,1.35844,1.01885,0.050076,1060,1060,122,0,
slurm-9323493.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5010W03.KNP.aux,10,1,10,11,10,1,10,10,1.44363,1.02955,0.087177,526,526,118,0,
slurm-9323494.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5010W04.KNP.aux,10,1,10,11,10,1,10,10,1.40329,0.96634,0.088261,1533,1533,104,0,
slurm-9323495.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5010W05.KNP.aux,10,1,10,11,10,1,10,10,1.92377,1.37333,0.109195,2114,2114,131,0,
slurm-9323496.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5010W06.KNP.aux,10,1,10,11,10,1,10,10,1.29461,0.885424,0.086444,1100,1100,99,0,
slurm-9323497.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5010W07.KNP.aux,10,1,10,11,10,1,10,10,2.00594,1.49409,0.096199,1135,1135,122,0,
slurm-9323498.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5010W08.KNP.aux,10,1,10,11,10,1,10,10,1.62755,1.1974,0.078171,1707,1707,130,0,
slurm-9323499.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5010W09.KNP.aux,10,1,10,11,10,1,10,10,1.29243,0.937058,0.077162,271,271,116,0,
slurm-9323500.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5010W10.KNP.aux,10,1,10,11,10,1,10,10,1.38767,0.974736,0.11374,509,509,120,0,
slurm-9323501.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5010W11.KNP.aux,10,1,10,11,10,1,10,10,1.52008,1.11186,0.092743,1759,1759,117,0,
