slurm-15377633_42.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_10_200_1.txt,10,5,2,Binary,0,7200,Feasible,TimeLimit,343.97,1e+20,3,5,7177.17,22.7578
slurm-15377633_45.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_10_200_2.txt,10,5,1,Binary,0,32.7531,Optimal,Proved,295.4,295.4,1,3,18.463,14.1388
slurm-15377633_48.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_10_200_2.txt,10,5,2,Binary,0,7204.1,Feasible,TimeLimit,295.4,1e+20,1,3,7196.22,7.82914
slurm-15377633_54.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_10_200_3.txt,10,5,2,Binary,0,7200.44,Feasible,TimeLimit,223.48,1e+20,1,3,7186.91,13.3993
slurm-15377633_61.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_5_150_0.txt,5,5,1,Continuous,0,7013.7,InfOrUnbnd,Proved,286.07,1e+20,43,45,2624.19,4386.93
slurm-15377633_62.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_5_150_0.txt,5,5,1,Continuous,1,7224.34,Loaded,TimeLimit,286.07,1e+20,42,44,2942.88,4279.1
slurm-15377633_63.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_5_150_0.txt,5,5,1,Binary,0,2.50824,Optimal,Proved,322.34,322.34,2,4,2.11212,0.351494
slurm-15377633_64.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_5_150_0.txt,5,5,2,Continuous,0,7231.58,Loaded,TimeLimit,346.77,1e+20,11,14,28.404,7202.94
slurm-15377633_65.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_5_150_0.txt,5,5,2,Continuous,1,7457.38,Loaded,TimeLimit,346.77,1e+20,11,14,29.5676,7427.46
slurm-15377633_66.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_5_150_0.txt,5,5,2,Binary,0,55.5543,Optimal,Proved,348.07,348.07,2,4,52.8919,2.52723
slurm-15377633_67.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_5_150_1.txt,5,5,1,Continuous,0,7362.28,Loaded,TimeLimit,310.07,1e+20,24,27,984.189,6377.08
slurm-15377633_68.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_5_150_1.txt,5,5,1,Continuous,1,7233.99,Loaded,TimeLimit,311.81,1e+20,30,33,1031,6201.58
slurm-15377633_69.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_5_150_1.txt,5,5,1,Binary,0,1.36355,Optimal,Proved,309.68,309.68,1,3,0.457655,0.863963
slurm-15377633_6.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_10_150_0.txt,10,5,2,Binary,0,7200,Feasible,TimeLimit,223.13,1e+20,1,3,7193.95,5.90876
slurm-15377633_70.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_5_150_1.txt,5,5,2,Continuous,0,8547.18,Loaded,TimeLimit,412.27,1e+20,10,13,94.1083,8452.82
slurm-15377633_71.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_5_150_1.txt,5,5,2,Continuous,1,8322.85,Loaded,TimeLimit,414.29,1e+20,9,12,96.2193,8226.24
