../resource_allocation/data/rap_instance_r10_c20__1.txt  10  20  4   0.1   RESULT  CCG   OPTIMAL     0.012  0.384    0.396    64819.7  2
../resource_allocation/data/rap_instance_r10_c20__1.txt  10  20  5   0.1   RESULT  CCG   OPTIMAL     0.01   0.585    0.595    65751    2
../resource_allocation/data/rap_instance_r10_c20__2.txt  10  20  1   0.05  RESULT  GBD  OPTIMAL     0      10.637   10.637   45236.3  167
../resource_allocation/data/rap_instance_r10_c20__2.txt  10  20  2   0.05  RESULT  GBD  OPTIMAL     0      15.653   15.653   45587    190
../resource_allocation/data/rap_instance_r10_c20__2.txt  10  20  3   0.05  RESULT  GBD  OPTIMAL     0      19.392   19.392   45899.1  187
../resource_allocation/data/rap_instance_r10_c20__2.txt  10  20  4   0.05  RESULT  GBD  OPTIMAL     0      23.888   23.888   46208.1  195
../resource_allocation/data/rap_instance_r10_c20__2.txt  10  20  5   0.05  RESULT  GBD  OPTIMAL     0      38.629   38.629   46503.4  195
../resource_allocation/data/rap_instance_r10_c20__2.txt  10  20  1   0.1   RESULT  GBD  OPTIMAL     0      11.95    11.95    45804.2  177
../resource_allocation/data/rap_instance_r10_c20__2.txt  10  20  2   0.1   RESULT  GBD  OPTIMAL     0      16.82    16.82    46497.4  196
../resource_allocation/data/rap_instance_r10_c20__2.txt  10  20  3   0.1   RESULT  GBD  OPTIMAL     0      22.417   22.417   47139.8  203
../resource_allocation/data/rap_instance_r10_c20__2.txt  10  20  4   0.1   RESULT  GBD  OPTIMAL     0      23.83    23.83    47758.5  175
../resource_allocation/data/rap_instance_r10_c20__2.txt  10  20  5   0.1   RESULT  GBD  OPTIMAL     0      29.229   29.229   48357    172
../resource_allocation/data/rap_instance_r10_c20__2.txt  10  20  1   0.05  RESULT  CCG   OPTIMAL     0.007  0.157    0.164    45272.8  2
../resource_allocation/data/rap_instance_r10_c20__2.txt  10  20  2   0.05  RESULT  CCG   OPTIMAL     0.01   0.219    0.229    45616.9  2
../resource_allocation/data/rap_instance_r10_c20__2.txt  10  20  3   0.05  RESULT  CCG   OPTIMAL     0.007  0.252    0.259    45933    2
../resource_allocation/data/rap_instance_r10_c20__2.txt  10  20  4   0.05  RESULT  CCG   OPTIMAL     0.011  0.291    0.302    46223.4  2
../resource_allocation/data/rap_instance_r10_c20__2.txt  10  20  5   0.05  RESULT  CCG   OPTIMAL     0.007  0.32     0.327    46527.7  2
../resource_allocation/data/rap_instance_r10_c20__2.txt  10  20  1   0.1   RESULT  CCG   OPTIMAL     0.007  0.161    0.168    45833.1  2
../resource_allocation/data/rap_instance_r10_c20__2.txt  10  20  2   0.1   RESULT  CCG   OPTIMAL     0.008  0.226    0.234    46527.7  2
../resource_allocation/data/rap_instance_r10_c20__2.txt  10  20  3   0.1   RESULT  CCG   OPTIMAL     0.007  0.315    0.322    47168.3  2
../resource_allocation/data/rap_instance_r10_c20__2.txt  10  20  4   0.1   RESULT  CCG   OPTIMAL     0.008  0.32     0.328    47763.9  2
../resource_allocation/data/rap_instance_r10_c20__2.txt  10  20  5   0.1   RESULT  CCG   OPTIMAL     0.006  0.321    0.327    48383.8  2
../resource_allocation/data/rap_instance_r10_c20__3.txt  10  20  1   0.05  RESULT  GBD  OPTIMAL     0      13.465   13.465   119464   202
../resource_allocation/data/rap_instance_r10_c20__3.txt  10  20  2   0.05  RESULT  GBD  OPTIMAL     0      14.527   14.527   120743   214
../resource_allocation/data/rap_instance_r10_c20__3.txt  10  20  3   0.05  RESULT  GBD  OPTIMAL     0      19.033   19.033   121788   213
../resource_allocation/data/rap_instance_r10_c20__3.txt  10  20  4   0.05  RESULT  GBD  OPTIMAL     0      15.901   15.901   122624   218
../resource_allocation/data/rap_instance_r10_c20__3.txt  10  20  5   0.05  RESULT  GBD  OPTIMAL     0      21.282   21.282   123418   195
../resource_allocation/data/rap_instance_r10_c20__3.txt  10  20  1   0.1   RESULT  GBD  OPTIMAL     0      13.647   13.647   120923   202
../resource_allocation/data/rap_instance_r10_c20__3.txt  10  20  2   0.1   RESULT  GBD  OPTIMAL     0      13.326   13.326   123570   197
../resource_allocation/data/rap_instance_r10_c20__3.txt  10  20  3   0.1   RESULT  GBD  OPTIMAL     0      16.8     16.8     125679   205
../resource_allocation/data/rap_instance_r10_c20__3.txt  10  20  4   0.1   RESULT  GBD  OPTIMAL     0      20.302   20.302   127407   232
../resource_allocation/data/rap_instance_r10_c20__3.txt  10  20  5   0.1   RESULT  GBD  OPTIMAL     0      17.029   17.029   129021   192
../resource_allocation/data/rap_instance_r10_c20__3.txt  10  20  1   0.05  RESULT  CCG   OPTIMAL     0.002  0.132    0.134    119516   1
../resource_allocation/data/rap_instance_r10_c20__3.txt  10  20  2   0.05  RESULT  CCG   OPTIMAL     0.002  0.101    0.103    120821   1
../resource_allocation/data/rap_instance_r10_c20__3.txt  10  20  3   0.05  RESULT  CCG   OPTIMAL     0.012  0.196    0.208    121853   2
../resource_allocation/data/rap_instance_r10_c20__3.txt  10  20  4   0.05  RESULT  CCG   OPTIMAL     0.002  0.117    0.119    122687   1
../resource_allocation/data/rap_instance_r10_c20__3.txt  10  20  5   0.05  RESULT  CCG   OPTIMAL     0.007  0.193    0.2      123495   1
../resource_allocation/data/rap_instance_r10_c20__3.txt  10  20  1   0.1   RESULT  CCG   OPTIMAL     0.007  0.155    0.162    120990   1
../resource_allocation/data/rap_instance_r10_c20__3.txt  10  20  2   0.1   RESULT  CCG   OPTIMAL     0.003  0.104    0.107    123633   1
../resource_allocation/data/rap_instance_r10_c20__3.txt  10  20  3   0.1   RESULT  CCG   OPTIMAL     0.02   0.222    0.242    125745   2
../resource_allocation/data/rap_instance_r10_c20__3.txt  10  20  4   0.1   RESULT  CCG   OPTIMAL     0.003  0.142    0.145    127464   1
../resource_allocation/data/rap_instance_r10_c20__3.txt  10  20  5   0.1   RESULT  CCG   OPTIMAL     0.008  0.273    0.281    129099   2
../resource_allocation/data/rap_instance_r10_c20__4.txt  10  20  1   0.05  RESULT  GBD  OPTIMAL     0      15.556   15.556   103106   200
../resource_allocation/data/rap_instance_r10_c20__4.txt  10  20  2   0.05  RESULT  GBD  OPTIMAL     0      16.948   16.948   104084   213
../resource_allocation/data/rap_instance_r10_c20__4.txt  10  20  3   0.05  RESULT  GBD  OPTIMAL     0      18.249   18.249   105022   215
../resource_allocation/data/rap_instance_r10_c20__4.txt  10  20  4   0.05  RESULT  GBD  OPTIMAL     0      22.684   22.684   105938   224
../resource_allocation/data/rap_instance_r10_c20__4.txt  10  20  5   0.05  RESULT  GBD  OPTIMAL     0      16.906   16.906   106734   205
../resource_allocation/data/rap_instance_r10_c20__4.txt  10  20  1   0.1   RESULT  GBD  OPTIMAL     0      18.249   18.249   104150   214
../resource_allocation/data/rap_instance_r10_c20__4.txt  10  20  2   0.1   RESULT  GBD  OPTIMAL     0      19.672   19.672   106129   230
../resource_allocation/data/rap_instance_r10_c20__4.txt  10  20  3   0.1   RESULT  GBD  OPTIMAL     0      20.162   20.162   108002   228
../resource_allocation/data/rap_instance_r10_c20__4.txt  10  20  4   0.1   RESULT  GBD  OPTIMAL     0      18.745   18.745   109873   205
../resource_allocation/data/rap_instance_r10_c20__4.txt  10  20  5   0.1   RESULT  GBD  OPTIMAL     0      17.392   17.392   111518   193
../resource_allocation/data/rap_instance_r10_c20__4.txt  10  20  1   0.05  RESULT  CCG   OPTIMAL     0.011  0.222    0.233    103158   2
../resource_allocation/data/rap_instance_r10_c20__4.txt  10  20  2   0.05  RESULT  CCG   OPTIMAL     0.019  0.225    0.244    104139   2
../resource_allocation/data/rap_instance_r10_c20__4.txt  10  20  3   0.05  RESULT  CCG   OPTIMAL     0.01   0.214    0.224    105078   2
../resource_allocation/data/rap_instance_r10_c20__4.txt  10  20  4   0.05  RESULT  CCG   OPTIMAL     0.013  0.228    0.241    106002   2
../resource_allocation/data/rap_instance_r10_c20__4.txt  10  20  5   0.05  RESULT  CCG   OPTIMAL     0.008  0.258    0.266    106799   2
../resource_allocation/data/rap_instance_r10_c20__4.txt  10  20  1   0.1   RESULT  CCG   OPTIMAL     0.025  0.236    0.261    104204   2
../resource_allocation/data/rap_instance_r10_c20__4.txt  10  20  2   0.1   RESULT  CCG   OPTIMAL     0.007  0.227    0.234    106184   2
../resource_allocation/data/rap_instance_r10_c20__4.txt  10  20  3   0.1   RESULT  CCG   OPTIMAL     0.007  0.261    0.268    108067   2
../resource_allocation/data/rap_instance_r10_c20__4.txt  10  20  4   0.1   RESULT  CCG   OPTIMAL     0.01   0.281    0.291    109935   2
../resource_allocation/data/rap_instance_r10_c20__4.txt  10  20  5   0.1   RESULT  CCG   OPTIMAL     0.009  0.262    0.271    111508   2
../resource_allocation/data/rap_instance_r10_c30__0.txt  10  30  1   0.05  RESULT  GBD  OPTIMAL     0      23.339   23.339   192538   209
../resource_allocation/data/rap_instance_r10_c30__0.txt  10  30  3   0.05  RESULT  GBD  OPTIMAL     0      40.545   40.545   194973   238
../resource_allocation/data/rap_instance_r10_c30__0.txt  10  30  4   0.05  RESULT  GBD  OPTIMAL     0      52.177   52.177   196039   260
../resource_allocation/data/rap_instance_r10_c30__0.txt  10  30  6   0.05  RESULT  GBD  OPTIMAL     0      577.324  577.324  197963   226
../resource_allocation/data/rap_instance_r10_c30__0.txt  10  30  7   0.05  RESULT  GBD  OPTIMAL     0      109.167  109.167  198922   267
../resource_allocation/data/rap_instance_r10_c30__0.txt  10  30  1   0.1   RESULT  GBD  OPTIMAL     0      26.397   26.397   194170   233
../resource_allocation/data/rap_instance_r10_c30__0.txt  10  30  3   0.1   RESULT  GBD  OPTIMAL     0      49.859   49.859   199008   235
../resource_allocation/data/rap_instance_r10_c30__0.txt  10  30  4   0.1   RESULT  GBD  OPTIMAL     0      61.92    61.92    201152   242
../resource_allocation/data/rap_instance_r10_c30__0.txt  10  30  6   0.1   RESULT  GBD  OPTIMAL     0      883.594  883.594  205132   227
../resource_allocation/data/rap_instance_r10_c30__0.txt  10  30  7   0.1   RESULT  GBD  OPTIMAL     0      111.601  111.601  207054   197
../resource_allocation/data/rap_instance_r10_c30__0.txt  10  30  1   0.05  RESULT  CCG   OPTIMAL     0.007  0.133    0.14     192668   1
../resource_allocation/data/rap_instance_r10_c30__0.txt  10  30  3   0.05  RESULT  CCG   OPTIMAL     0.01   0.264    0.274    194904   1
