instance_2_20_75__1.txt,Optimal,Proved,-6919,0.009889,1
instance_2_20_75__2.txt,Optimal,Proved,-7789,0.009907,1
instance_2_20_75__3.txt,Optimal,Proved,-7184,0.009961,1
instance_2_20_75__4.txt,Optimal,Proved,-5644,0.009921,1
instance_2_20_75__5.txt,Optimal,Proved,-5130,0.00984,1
instance_2_20_75__6.txt,Optimal,Proved,-7229,0.009903,1
instance_2_20_75__7.txt,Optimal,Proved,-5532,0.009922,1
instance_2_20_75__8.txt,Optimal,Proved,-5792,0.009917,1
instance_2_20_75__9.txt,Optimal,Proved,-5255,0.00966,1
instance_3_10_25__0.txt,Optimal,Proved,-1492,0.365434,23
instance_3_10_25__1.txt,Optimal,Proved,-1326,0.171597,15
instance_3_10_25__2.txt,Optimal,Proved,-1973,191.677,8521
instance_3_10_25__3.txt,Optimal,Proved,-1247,0.350858,11
instance_3_10_25__4.txt,Optimal,Proved,-1748,21.1807,791
instance_3_10_25__5.txt,Optimal,Proved,-1906,0.48362,17
instance_3_10_25__6.txt,Optimal,Proved,-1836,77.7799,3181
instance_3_10_25__7.txt,Optimal,Proved,-1393,70.0828,4463
instance_3_10_25__8.txt,Optimal,Proved,-2013,87.016,3853
instance_3_10_25__9.txt,Optimal,Proved,-2354,0.006809,1
instance_3_10_50__0.txt,Optimal,Proved,-2093,0.014371,3
instance_3_10_50__1.txt,Optimal,Proved,-1747,0.014039,3
instance_3_10_50__2.txt,Optimal,Proved,-2123,0.014808,3
instance_3_10_50__3.txt,Optimal,Proved,-2352,0.014447,3
instance_3_10_50__4.txt,Optimal,Proved,-2962,0.014807,3
instance_3_10_50__5.txt,Optimal,Proved,-2672,0.014816,3
instance_3_10_50__6.txt,Optimal,Proved,-2452,0.007028,1
instance_3_10_50__7.txt,Optimal,Proved,-2736,0.01465,3
instance_3_10_50__8.txt,Optimal,Proved,-2781,0.014037,3
instance_3_10_50__9.txt,Optimal,Proved,-2823,0.014838,3
instance_3_10_75__0.txt,Optimal,Proved,-2044,0.014435,3
instance_3_10_75__1.txt,Optimal,Proved,-2126,0.014362,3
instance_3_10_75__2.txt,Optimal,Proved,-1825,0.016832,3
instance_3_10_75__3.txt,Optimal,Proved,-2192,0.004226,1
instance_3_10_75__4.txt,Optimal,Proved,-1539,0.014757,3
instance_3_10_75__5.txt,Optimal,Proved,-1061,0.014272,3
instance_3_10_75__6.txt,Optimal,Proved,-2737,0.016651,3
instance_3_10_75__7.txt,Optimal,Proved,-2220,0.014094,3
instance_3_10_75__8.txt,Optimal,Proved,-1114,0.01712,3
instance_3_10_75__9.txt,Optimal,Proved,-2998,0.014483,3
instance_3_15_25__0.txt,Fail,NotSpecified,-3809,300.001,3535
instance_3_15_25__1.txt,Optimal,Proved,-2315,40.0863,737
instance_3_15_25__2.txt,Optimal,Proved,-3141,0.04358,1
instance_3_15_25__3.txt,Feasible,TimeLimit,-3580,300.002,4945
instance_3_15_25__4.txt,Fail,NotSpecified,-4849,300.002,915
instance_3_15_25__5.txt,Fail,NotSpecified,-5506,300.002,679
instance_3_15_25__6.txt,Optimal,Proved,-4162,32.0741,577
instance_3_15_25__7.txt,Fail,NotSpecified,-4240,300.001,4425
instance_3_15_25__8.txt,Optimal,Proved,-4687,4.78126,137
instance_3_15_25__9.txt,Optimal,Proved,-3940,195.182,5101
instance_3_15_50__0.txt,Optimal,Proved,-5276,0.010062,1
instance_3_15_50__1.txt,Optimal,Proved,-2013,0.01005,1
instance_3_15_50__2.txt,Optimal,Proved,-3663,0.010112,1
instance_3_15_50__3.txt,Optimal,Proved,-4752,0.010062,1
instance_3_15_50__4.txt,Optimal,Proved,-3703,0.010056,1
instance_3_15_50__5.txt,Optimal,Proved,-3705,0.010079,1
instance_3_15_50__6.txt,Optimal,Proved,-4583,0.010144,1
instance_3_15_50__7.txt,Optimal,Proved,-5007,0.010172,1
instance_3_15_50__8.txt,Optimal,Proved,-4303,0.010112,1
instance_3_15_50__9.txt,Optimal,Proved,-5012,0.010044,1
instance_3_15_75__0.txt,Optimal,Proved,-5558,0.010083,1
instance_3_15_75__1.txt,Optimal,Proved,-4791,0.009803,1
instance_3_15_75__2.txt,Optimal,Proved,-5131,0.009939,1
instance_3_15_75__3.txt,Optimal,Proved,-3282,0.009816,1
instance_3_15_75__4.txt,Optimal,Proved,-4713,0.009811,1
instance_3_15_75__5.txt,Optimal,Proved,-2623,0.010078,1
instance_3_15_75__6.txt,Optimal,Proved,-4105,0.009898,1
instance_3_15_75__7.txt,Optimal,Proved,-4899,0.009859,1
instance_3_15_75__8.txt,Optimal,Proved,-6841,0.009841,1
instance_3_15_75__9.txt,Optimal,Proved,-3805,0.009872,1
instance_3_20_25__0.txt,Optimal,Proved,-6340,257.515,937
instance_3_20_25__1.txt,Fail,NotSpecified,-6793,300.002,323
instance_3_20_25__2.txt,Fail,NotSpecified,-5601,300.002,813
instance_3_20_25__3.txt,Fail,NotSpecified,-4866,300.002,3079
instance_3_20_25__4.txt,Fail,NotSpecified,-7244,300.008,33
instance_3_20_25__5.txt,Fail,NotSpecified,-6165,300.291,167
instance_3_20_25__6.txt,Optimal,Proved,-4463,5.44316,11
