instance_name,n,p,k,ntoll,seed,method,upper_level_objective,total_time,iterations,objective_value,fail
n3_p32_k1_ntoll22_seed29,3,32,1,22,29,consensus,nonlinear,0.0010559558868408203,0,0,
n3_p32_k1_ntoll22_seed29,3,32,1,22,29,enhanced,nonlinear,0.0013141632080078125,0,0,
n3_p34_k2_ntoll19_seed30,3,34,2,19,30,consensus,nonlinear,0.0015680789947509766,0,0,
n3_p34_k2_ntoll19_seed30,3,34,2,19,30,enhanced,nonlinear,0.0019478797912597656,0,0,
n3_p20_k3_ntoll18_seed52,3,20,3,18,52,unknown,nonlinear,,,,Cannot take a larger sample than population when replace is False
n4_p28_k1_ntoll19_seed45,4,28,1,19,45,consensus,nonlinear,0.0017518997192382812,0,0,
n4_p28_k1_ntoll19_seed45,4,28,1,19,45,enhanced,nonlinear,0.002165079116821289,0,0,
n5_p36_k2_ntoll25_seed69,5,36,2,25,69,consensus,nonlinear,0.04256725311279297,0,0.0,
n5_p36_k2_ntoll25_seed69,5,36,2,25,69,enhanced,nonlinear,0.01279306411743164,0,0.0,
n4_p20_k3_ntoll19_seed32,4,20,3,19,32,unknown,nonlinear,,,,Cannot take a larger sample than population when replace is False
n4_p24_k3_ntoll16_seed87,4,24,3,16,87,unknown,nonlinear,,,,Cannot take a larger sample than population when replace is False
n4_p38_k2_ntoll15_seed4,4,38,2,15,4,consensus,nonlinear,0.00782012939453125,0,0,
n4_p38_k2_ntoll15_seed4,4,38,2,15,4,enhanced,nonlinear,0.0035600662231445312,0,0,
n4_p26_k1_ntoll23_seed78,4,26,1,23,78,consensus,nonlinear,0.0016236305236816406,0,3.6250000000000004,
n4_p26_k1_ntoll23_seed78,4,26,1,23,78,enhanced,nonlinear,0.006120920181274414,1,10.0,
n4_p37_k1_ntoll25_seed90,4,37,1,25,90,consensus,nonlinear,0.0016620159149169922,0,3.6250000000000004,
n4_p37_k1_ntoll25_seed90,4,37,1,25,90,enhanced,nonlinear,0.005232095718383789,1,10.0,
n5_p27_k2_ntoll24_seed36,5,27,2,24,36,consensus,nonlinear,0.05173993110656738,0,0.0,
n5_p27_k2_ntoll24_seed36,5,27,2,24,36,enhanced,nonlinear,0.016492128372192383,0,0.0,
n4_p25_k3_ntoll21_seed44,4,25,3,21,44,consensus,nonlinear,0.03354525566101074,1,3.8271452145214524,
n4_p25_k3_ntoll21_seed44,4,25,3,21,44,enhanced,nonlinear,0.016926050186157227,1,10.0,
n5_p24_k1_ntoll20_seed14,5,24,1,20,14,consensus,nonlinear,0.01160287857055664,0,3.624999999951322,
n5_p24_k1_ntoll20_seed14,5,24,1,20,14,enhanced,nonlinear,0.010409116744995117,1,10.0,
n4_p32_k1_ntoll20_seed45,4,32,1,20,45,consensus,nonlinear,0.025195598602294922,0,3.6250000000000004,
n4_p32_k1_ntoll20_seed45,4,32,1,20,45,enhanced,nonlinear,0.005418062210083008,1,10.0,
n5_p21_k3_ntoll22_seed69,5,21,3,22,69,consensus,nonlinear,0.09954595565795898,1,7.65607569803273,
n5_p21_k3_ntoll22_seed69,5,21,3,22,69,enhanced,nonlinear,0.03130912780761719,1,20.0,
n4_p32_k1_ntoll23_seed38,4,32,1,23,38,consensus,nonlinear,0.0030727386474609375,0,0.0,
n4_p32_k1_ntoll23_seed38,4,32,1,23,38,enhanced,nonlinear,0.003000020980834961,0,0.0,
n5_p38_k1_ntoll16_seed6,5,38,1,16,6,consensus,nonlinear,0.02951812744140625,0,0.0,
n5_p38_k1_ntoll16_seed6,5,38,1,16,6,enhanced,nonlinear,0.006732940673828125,0,0.0,
n4_p29_k1_ntoll18_seed13,4,29,1,18,13,consensus,nonlinear,0.0016360282897949219,0,0,
n4_p29_k1_ntoll18_seed13,4,29,1,18,13,enhanced,nonlinear,0.0021810531616210938,0,0,
n5_p28_k2_ntoll25_seed47,5,28,2,25,47,consensus,nonlinear,0.2187039852142334,1,7.862623762451692,
