"total_time","ecdf_value","log_total_time"
0.114545,0.00625,-0.941023863434883
0.430433,0.0125,-0.366094440017076
0.466017,0.01875,-0.331598240238053
0.480088,0.025,-0.318679149267065
0.630407,0.03125,-0.200378973112894
0.643863,0.0375,-0.191206531201596
0.865285,0.04375,-0.0628408248573619
0.900901,0.05,-0.0453229310142671
0.93646,0.05625,-0.0285107683691287
1.022662,0.0625,0.00973211876568403
1.212981,0.06875,0.0838539981792013
1.639508,0.075,0.214713540155966
1.656235,0.08125,0.219121958030028
1.807077,0.0875,0.256976658350992
2.087449,0.09375,0.319615873717726
2.18254,0.1,0.338962211882802
2.285449,0.10625,0.358971534413053
2.368512,0.1125,0.374475589410431
2.627586,0.11875,0.419556939244227
2.845885,0.125,0.454217346600514
3.098404,0.13125,0.491138044647019
3.142529,0.1375,0.497279294148564
3.279341,0.14375,0.515786578828046
3.446318,0.15,0.537355348350948
3.798255,0.15625,0.579584118214402
4.784885,0.1625,0.679871504398006
5.06663,0.16875,0.704719190293145
5.114347,0.175,0.70879019085354
5.31653,0.18125,0.725628268847445
5.449907,0.1875,0.736389091316747
5.663556,0.19375,0.753089199076453
5.87053,0.2,0.768677311756095
6.959656,0.20625,0.842587773950519
7.109342,0.2125,0.851829406778556
7.295345,0.21875,0.863045834687785
8.154285,0.225,0.911385886385737
8.213744,0.23125,0.914541162953971
8.234302,0.2375,0.915626791071518
8.794299,0.24375,0.94420122724259
9.750466,0.25,0.989025372251596
10.148186,0.25625,1.0063884185451
13.669556,0.2625,1.1357544085048
13.841216,0.26875,1.14117424611001
13.962383,0.275,1.14495954689951
14.759975,0.28125,1.16908562189277
15.448888,0.2875,1.18889722467709
19.041768,0.29375,1.27970726952098
20.15374,0.3,1.3043556515016
23.076547,0.30625,1.36317082480275
24.741786,0.3125,1.39343104622069
24.946102,0.31875,1.39700269376119
25.19207,0.325,1.40126385438347
25.42562,0.33125,1.4052715519309
25.661036,0.3375,1.40927418594385
26.979165,0.34375,1.43102850421268
28.856531,0.35,1.46024412100174
29.233248,0.35625,1.46587707092061
29.311024,0.3625,1.46703099106829
30.35852,0.36875,1.48228059556665
35.835864,0.375,1.55431787973925
37.756203,0.38125,1.5769883124517
49.879124,0.3875,1.69791881759506
50.453448,0.39375,1.70289085136985
52.049925,0.4,1.71642010806155
56.705989,0.40625,1.75362892930376
66.360897,0.4125,1.82191224774891
66.561756,0.41875,1.82322477078042
71.839636,0.425,1.85636412316382
71.858916,0.43125,1.85648066153591
72.08066,0.4375,1.85781875456709
72.546909,0.44375,1.86061891321978
73.012174,0.45,1.86339528012339
74.839525,0.45625,1.87413102240716
77.497791,0.4625,1.8892893235362
80.21578,0.46875,1.90425981083784
83.678345,0.475,1.92261308208157
85.85531,0.48125,1.93376716067787
91.628812,0.4875,1.96203205581974
91.940478,0.49375,1.96350675732404
92.698804,0.5,1.96707413091309
93.135637,0.50625,1.96911588926339
101.429706,0.5125,2.00616516665902
117.261354,0.51875,2.06915490461369
123.178865,0.525,2.09053619807776
128.153419,0.53125,2.10773019720014
130.079425,0.5375,2.11420860850923
143.53542,0.54375,2.15695908443175
146.241065,0.55,2.16506934114919
147.613127,0.55625,2.16912498032013
160.686309,0.5625,2.20597887502687
178.205781,0.56875,2.25092178845325
182.894279,0.575,2.2622001207985
197.975643,0.58125,2.29661176217374
238.487953,0.5875,2.37746644594316
241.095084,0.59375,2.38218835507493
248.758393,0.6,2.39577774257191
286.014752,0.60625,2.45638843364293
293.396312,0.6125,2.46745465044756
305.60758,0.61875,2.48516412186487
308.813993,0.625,2.48969697088974
342.834077,0.63125,2.53508398337227
346.357685,0.6375,2.53952482822539
347.791838,0.64375,2.54131938573698
381.475477,0.65,2.58146662473941
386.763398,0.65625,2.58744536717214
493.657023,0.6625,2.69342531987421
525.159655,0.66875,2.72029135434833
565.533889,0.675,2.75245863466327
577.426763,0.68125,2.76149690901103
626.005595,0.6875,2.79657821478674
629.022217,0.69375,2.79866598495259
642.823432,0.7,2.80809169914735
666.991276,0.70625,2.82412015354198
799.28049,0.7125,2.90269921220827
1194.510408,0.71875,3.07718993819412
1229.041757,0.725,3.08956663840038
1425.318394,0.73125,3.15391188982641
2628.902671,0.7375,3.41977450766206
2988.509043,0.74375,3.4754545743136
4989.687916,0.75,3.69807338317898
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
