"total_time","ecdf_value","log_total_time"
0.374941,0.00625,-0.426037066646546
1.397525,0.0125,0.145359585621026
1.66689,0.01875,0.221906941178184
1.78425,0.025,0.251455705428966
2.865636,0.03125,0.457221024431513
3.179981,0.0375,0.502424525135437
3.976669,0.04375,0.599519443775531
7.683849,0.05,0.885578821687948
8.178782,0.05625,0.912688632514273
8.205647,0.0625,0.914112830051122
10.749594,0.06875,1.03139206175029
11.17363,0.075,1.04819428617407
14.898892,0.08125,1.17315397202446
16.118433,0.0875,1.20732281832935
16.323173,0.09375,1.21280458348945
17.651524,0.1,1.24678220752653
17.752545,0.10625,1.2492606221926
23.852069,0.1125,1.37752605701598
34.942195,0.11875,1.54335018302944
46.72736,0.125,1.66957124496996
63.758041,0.13125,1.8045349646622
68.987243,0.1375,1.83876878918762
72.325528,0.14375,1.8592916128233
76.705579,0.15,1.88482695248613
85.810242,0.15625,1.93353912676038
86.468639,0.1625,1.93685862331653
95.241939,0.16875,1.97882822848451
101.895351,0.175,2.00815436966781
123.494216,0.18125,2.09164661736809
155.140221,0.1875,2.19072440576881
155.6247,0.19375,2.19207852724482
170.789094,0.2,2.232460134697
170.946018,0.20625,2.2328589888368
200.774811,0.2125,2.30270922575435
224.456627,0.21875,2.35113243231305
225.21316,0.225,2.35259376428053
245.788538,0.23125,2.39056162631521
254.269879,0.2375,2.40529491637361
270.054319,0.24375,2.43145112737862
290.297855,0.25,2.46284382685784
302.446993,0.25625,2.48064927100571
309.936651,0.2625,2.49127293598721
580.041206,0.26875,2.76345884684356
698.746189,0.275,2.84431945223504
753.926119,0.28125,2.87732878926141
803.923278,0.2875,2.905214604058
826.385984,0.29375,2.91718294268015
877.035471,0.3,2.94301715841512
1014.117647,0.30625,3.00608834008523
1167.752808,0.3125,3.06735092027362
1192.826802,0.31875,3.07657738885367
1236.373663,0.325,3.09214974523016
1367.459245,0.33125,3.1359143917255
1448.896238,0.3375,3.16103728479651
1474.960547,0.34375,3.16878040373835
1498.523827,0.35,3.17566365275537
1723.855746,0.35625,3.23650092080576
1730.093851,0.3625,3.23806966258885
1740.88877,0.36875,3.24077102377764
1994.19383,0.375,3.29976736822253
2083.760817,0.38125,3.31884786730575
2225.987753,0.3875,3.34752277059206
2294.176679,0.39375,3.36062686071438
2540.836143,0.4,3.40497665856258
2547.162686,0.40625,3.40605668401965
2563.526609,0.4125,3.40883782970772
2621.409177,0.41875,3.41853481546915
2997.883734,0.425,3.47681478572995
4420.784041,0.43125,3.64549929977517
4490.215132,0.4375,3.65226714911073
5173.909097,0.44375,3.71381879411031
5349.904899,0.45,3.72834606198261
5516.597517,0.45625,3.74167129961439
6513.471807,0.4625,3.81381253767897
7079.602705,0.46875,3.85000888652204
8456.104869,0.475,3.92717036026739
9104.974659,0.48125,3.95927874140257
9258.236285,0.4875,3.96652826047813
9424.688957,0.49375,3.974267026094
10154.23146,0.5,4.00664705868008
10544.23766,0.50625,4.02301518606475
10575.60947,0.5125,4.02430540506181
10641.57357,0.51875,4.02700585185365
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
10800,1,4.03342375548695
