"total_time","ecdf_value"
1,0.625
11.8098098098098,4.6875
22.6196196196196,6.5625
33.4294294294294,8.4375
44.2392392392392,9.375
55.049049049049,10.625
65.8588588588589,10.9375
76.6686686686687,11.25
87.4784784784785,12.5
98.2882882882883,13.75
109.098098098098,14.6875
119.907907907908,14.6875
130.717717717718,15.3125
141.527527527528,16.25
152.337337337337,16.25
163.147147147147,16.5625
173.956956956957,16.5625
184.766766766767,17.1875
195.576576576577,17.5
206.386386386386,17.5
217.196196196196,17.8125
228.006006006006,17.8125
238.815815815816,18.4375
249.625625625626,19.375
260.435435435435,19.375
271.245245245245,19.6875
282.055055055055,19.6875
292.864864864865,19.6875
303.674674674675,20
314.484484484484,20.625
325.294294294294,20.9375
336.104104104104,21.25
346.913913913914,21.25
357.723723723724,21.5625
368.533533533534,21.875
379.343343343343,22.1875
390.153153153153,22.5
400.962962962963,22.5
411.772772772773,22.5
422.582582582583,22.5
433.392392392392,22.5
444.202202202202,22.5
455.012012012012,23.125
465.821821821822,23.125
476.631631631632,23.125
487.441441441441,23.125
498.251251251251,23.125
509.061061061061,23.125
519.870870870871,23.4375
530.680680680681,23.4375
541.490490490491,23.4375
552.3003003003,23.75
563.11011011011,23.75
573.91991991992,23.75
584.72972972973,24.0625
595.53953953954,24.0625
606.349349349349,24.0625
617.159159159159,24.375
627.968968968969,24.6875
638.778778778779,24.6875
649.588588588589,24.6875
660.398398398398,25
671.208208208208,25.3125
682.018018018018,25.3125
692.827827827828,25.625
703.637637637638,25.625
714.447447447447,25.625
725.257257257257,25.625
736.067067067067,25.625
746.876876876877,25.625
757.686686686687,25.625
768.496496496497,25.625
779.306306306306,25.625
790.116116116116,25.625
800.925925925926,25.9375
811.735735735736,25.9375
822.545545545546,25.9375
833.355355355355,25.9375
844.165165165165,25.9375
854.974974974975,26.25
865.784784784785,26.25
876.594594594595,26.25
887.404404404404,26.25
898.214214214214,26.25
909.024024024024,26.25
919.833833833834,26.25
930.643643643644,26.25
941.453453453453,26.5625
952.263263263263,26.5625
963.073073073073,26.875
973.882882882883,26.875
984.692692692693,26.875
995.502502502502,26.875
1006.31231231231,26.875
1017.12212212212,27.1875
1027.93193193193,27.1875
1038.74174174174,27.1875
1049.55155155155,27.5
1060.36136136136,27.5
1071.17117117117,27.5
1081.98098098098,27.5
1092.79079079079,27.5
1103.6006006006,27.5
1114.41041041041,27.5
1125.22022022022,27.5
1136.03003003003,27.5
1146.83983983984,27.5
1157.64964964965,27.5
1168.45945945946,27.5
1179.26926926927,27.5
1190.07907907908,27.5
1200.88888888889,27.8125
1211.6986986987,27.8125
1222.50850850851,27.8125
1233.31831831832,27.8125
1244.12812812813,27.8125
1254.93793793794,28.125
1265.74774774775,28.125
1276.55755755756,28.125
1287.36736736737,28.125
1298.17717717718,28.125
1308.98698698699,28.4375
1319.7967967968,28.75
1330.60660660661,28.75
1341.41641641642,29.0625
1352.22622622623,29.0625
1363.03603603604,29.0625
1373.84584584585,29.0625
1384.65565565566,29.0625
1395.46546546547,29.6875
1406.27527527528,29.6875
1417.08508508508,29.6875
1427.89489489489,29.6875
1438.7047047047,29.6875
1449.51451451451,29.6875
1460.32432432432,29.6875
1471.13413413413,29.6875
1481.94394394394,29.6875
1492.75375375375,29.6875
1503.56356356356,29.6875
1514.37337337337,29.6875
1525.18318318318,29.6875
1535.99299299299,29.6875
1546.8028028028,30
