24.,323,LUBENETS Mikhail,flags/lux.png,1264765,1519142,940329,Finish,2:59:06,-,14.135,1,M45,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=323,323,,,,
25.,1545,SMANS Nick,flags/bel.png,1264343,1519314,940239,Finish,2:59:26,-,14.109,6,M40,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1545,1545,,,,
26.,220,VILAIN Ludovic,flags/bel.png,1239498,1497972,928606,Finish,2:59:34,-,14.098,8,M35,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=220,220,,,,
27.,705,POGGI Elio,flags/bel.png,1236475,1469804,915860,Finish,2:59:38,-,14.093,9,M35,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=705,705,,,,
28.,190,VASBECK Daniel,flags/ger.png,1261211,1522051,916789,Finish,3:00:55,-,13.994,10,M35,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=190,190,,,,
29.,211,QUEMENER Frédéric,flags/fra.png,1216320,1469682,939812,Finish,3:01:34,-,13.943,11,M35,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=211,211,,,,
30.,1565,KUUSELA Antti,flags/fin.png,1268632,1515800,940960,Finish,3:02:37,-,13.863,7,M30,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1565,1565,,,,
31.,276,VAZQUEZ VILLALTA Manuel David,flags/esp.png,1273860,1538884,971652,Finish,3:02:53,-,13.843,2,M45,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=276,276,,,,
32.,851,HÉTROY Louis,flags/fra.png,1234976,1516742,940156,Finish,3:04:57,-,13.688,4,M20,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=851,851,,,,
33.,1532,TIRELLO Simon,flags/fra.png,1173666,1444144,945637,Finish,3:05:05,-,13.678,1,M25,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1532,1532,,,,
