slurm-15878126_1046.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/interKP-100-100-2-3.aux,PADM,adapt,2,100,0.791025,Feasible,Proved,1604,1,3,1604,-3208,1604
slurm-15878126_1048.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/interKP-100-100-2-4.aux,PADM,adapt,2,100,0.141011,Feasible,Proved,2099,1,3,2099,-4198,2099
slurm-15878126_104.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-general/enigma-0.900000.aux,PADM,adapt,2,100,1.19306,Feasible,Proved,0,1,2,8,-16,8
slurm-15878126_1050.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/interKP-100-100-2-5.aux,PADM,adapt,2,100,0.160435,Feasible,Proved,2577,1,3,2577,-5154,2577
slurm-15878126_1052.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/interKP-100-100-2-6.aux,PADM,adapt,2,100,0.094593,Feasible,Proved,3039,1,3,3039,-6078,3039
slurm-15878126_1054.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/interKP-100-100-2-7.aux,PADM,adapt,2,100,0.099518,Feasible,Proved,3489,1,3,3489,-6978,3489
slurm-15878126_1056.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/interKP-100-100-2-8.aux,PADM,adapt,2,100,0.096438,Feasible,Proved,3922,1,3,3922,-7844,3922
slurm-15878126_1058.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/interKP-100-100-2-9.aux,PADM,adapt,2,100,0.109194,Feasible,Proved,4346,1,3,4346,-8692,4346
slurm-15878126_1060.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/interKP-100-100-3-10.aux,PADM,adapt,2,100,0.115375,Feasible,Proved,5111,1,3,5111,-10222,5111
slurm-15878126_1062.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/interKP-100-100-3-1.aux,PADM,adapt,2,100,0.485732,Feasible,Proved,696,1,3,696,-1392,696
slurm-15878126_1064.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/interKP-100-100-3-2.aux,PADM,adapt,2,100,0.548354,Feasible,Proved,1242,1,3,1242,-2484,1242
slurm-15878126_1066.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/interKP-100-100-3-3.aux,PADM,adapt,2,100,0.28271,Feasible,Proved,1768,1,3,1768,-3536,1768
slurm-15878126_1068.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/interKP-100-100-3-4.aux,PADM,adapt,2,100,0.133621,Feasible,Proved,2264,1,3,2264,-4528,2264
slurm-15878126_106.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-general/ex10_0_100.aux,PADM,adapt,2,100,3600.25,Infeasible,TimeLimit,1e+20,1,2,8840,-17680,8840
slurm-15878126_1070.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/interKP-100-100-3-5.aux,PADM,adapt,2,100,0.07863,Feasible,Proved,2760,1,3,2760,-5520,2760
slurm-15878126_1072.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/interKP-100-100-3-6.aux,PADM,adapt,2,100,0.333696,Feasible,Proved,3237,1,3,3237,-6474,3237
slurm-15878126_1074.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/interKP-100-100-3-7.aux,PADM,adapt,2,100,0.145935,Feasible,Proved,3722,1,3,3722,-7444,3722
slurm-15878126_1076.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/interKP-100-100-3-8.aux,PADM,adapt,2,100,0.193166,Feasible,Proved,4189,1,3,4189,-8378,4189
slurm-15878126_1078.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/interKP-100-100-3-9.aux,PADM,adapt,2,100,0.109858,Feasible,Proved,4655,1,3,4655,-9310,4655
slurm-15878126_1080.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/interKP-100-100-4-10.aux,PADM,adapt,2,100,0.067145,Feasible,Proved,4300,1,3,4300,-8600,4300
slurm-15878126_1082.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/interKP-100-100-4-1.aux,PADM,adapt,2,100,0.1072,Feasible,Proved,457,1,3,457,-914,457
slurm-15878126_1084.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/interKP-100-100-4-2.aux,PADM,adapt,2,100,0.137872,Feasible,Proved,914,1,3,914,-1828,914
