"","x","1","2"
"1",1.017169,0.000451263537906137,
"2",1.017457,0.000902527075812274,
"3",1.017493,0.00135379061371841,
"4",1.017749,0.00180505415162455,
"5",1.018055,0.00225631768953069,
"6",1.018345,0.00270758122743682,
"7",1.018599,0.00315884476534296,
"8",1.018631,0.0036101083032491,
"9",1.018762,0.00406137184115523,
"10",1.018913,0.00451263537906137,
"11",1.019028,0.00496389891696751,
"12",1.019155,0.00541516245487365,
"13",1.019387,0.00586642599277978,
"14",1.019524,0.00631768953068592,
"15",1.019751,0.00676895306859206,
"16",1.019882,0.0072202166064982,
"17",1.019931,0.00767148014440433,
"18",1.020497,0.00812274368231047,
"19",1.020601,0.00857400722021661,
"20",1.020674,0.00902527075812274,
"21",1.020825,0.00947653429602888,
"22",1.021379,0.00992779783393502,
"23",1.021469,0.0103790613718412,
"24",1.021498,,0.00053248136315229
"25",1.021553,0.0108303249097473,
"26",1.021555,0.0112815884476534,
"27",1.021871,0.0117328519855596,
"28",1.021971,0.0121841155234657,
"29",1.022021,0.0126353790613718,
"30",1.022069,,0.00106496272630458
"31",1.022284,,0.00159744408945687
"32",1.022377,0.013086642599278,
"33",1.02249,0.0135379061371841,
"34",1.022536,0.0139891696750903,
"35",1.022702,0.0144404332129964,
"36",1.022854,0.0148916967509025,
"37",1.02286,0.0153429602888087,
"38",1.023094,0.0157942238267148,
"39",1.023454,0.0162454873646209,
"40",1.023562,,0.00212992545260916
"41",1.023687,0.0166967509025271,
"42",1.023699,0.0171480144404332,
"43",1.023733,,0.00266240681576145
"44",1.023811,0.0175992779783394,
"45",1.023812,0.0180505415162455,
"46",1.024016,,0.00319488817891374
"47",1.024226,0.0185018050541516,
"48",1.024373,0.0189530685920578,
"49",1.024613,0.0194043321299639,
"50",1.024624,0.01985559566787,
"51",1.02466,0.0203068592057762,
"52",1.024781,,0.00372736954206603
"53",1.02545,0.0207581227436823,
"54",1.025928,0.0212093862815884,
"55",1.02619,,0.00425985090521832
"56",1.026439,0.0216606498194946,
"57",1.026559,0.0221119133574007,
"58",1.026614,0.0225631768953069,
"59",1.026644,0.023014440433213,
"60",1.0267,0.0234657039711191,
"61",1.026924,0.0239169675090253,
"62",1.026925,,0.00479233226837061
"63",1.026986,0.0243682310469314,
"64",1.027036,0.0248194945848375,
"65",1.027151,0.0252707581227437,
"66",1.027349,0.0257220216606498,
"67",1.027509,0.026173285198556,
"68",1.027571,0.0266245487364621,
"69",1.027615,0.0270758122743682,
"70",1.027653,0.0275270758122744,
