"","x","1","2","3","4","5","6"
"127",1.022267,,,,,0.0126353790613718,
"128",1.022311,,,,,0.013086642599278,
"129",1.022365,,,,,0.0135379061371841,
"130",1.022377,,,,,,0.013086642599278
"131",1.022394,,,,0.0279783393501805,,
"132",1.02249,,,,,,0.0135379061371841
"133",1.022497,,,,,0.0139891696750903,
"134",1.022536,,,,,,0.0139891696750903
"135",1.022702,,,,,,0.0144404332129964
"136",1.022755,,,,0.0284296028880866,,
"137",1.022852,,,,,0.0144404332129964,
"138",1.022854,,,,,,0.0148916967509025
"139",1.02286,,,,,,0.0153429602888087
"140",1.022967,,,,0.0288808664259928,,
"141",1.022985,,,0.00451263537906137,,,
"142",1.023005,,,,,0.0148916967509025,
"143",1.023094,,,,,,0.0157942238267148
"144",1.02318,,,,,0.0153429602888087,
"145",1.023212,,,,,0.0157942238267148,
"146",1.023282,,,,0.0293321299638989,,
"147",1.023405,,,,,0.0162454873646209,
"148",1.023414,,,,0.0297833935018051,,
"149",1.02345,,,,0.0302346570397112,,
"150",1.023454,,,,,,0.0162454873646209
"151",1.023528,,,,,0.0166967509025271,
"152",1.023532,,,,,0.0171480144404332,
"153",1.02364,,,,0.0306859205776173,,
"154",1.023687,,,,,,0.0166967509025271
"155",1.023699,,,,,,0.0171480144404332
"156",1.023811,,,,,,0.0175992779783394
"157",1.023812,,,,,,0.0180505415162455
"158",1.023874,,,,,0.0175992779783394,
"159",1.024046,,,,0.0311371841155235,,
"160",1.024058,,,0.00496389891696751,,,
"161",1.024149,,,,0.0315884476534296,,
"162",1.024226,,,,,,0.0185018050541516
"163",1.024291,,,,,0.0180505415162455,
"164",1.024373,,,,,,0.0189530685920578
"165",1.024376,,,0.00541516245487365,,,
"166",1.024522,,,,,0.0185018050541516,
"167",1.024568,,,,0.0320397111913357,,
"168",1.024613,,,,,,0.0194043321299639
"169",1.024624,,,,,,0.01985559566787
"170",1.02466,,,,,,0.0203068592057762
"171",1.024831,,,,,0.0189530685920578,
"172",1.024899,,,0.00586642599277978,,,
