"","x","1","2"
"1",-1.4298390620273e-07,0.00149253731343284,
"2",0,0.0611940298507463,0.0327868852459016
"3",8.99349979548622e-08,0.0626865671641791,
"4",2.8969815495764e-07,0.0641791044776119,
"5",2.81362017253119e-06,0.0671641791044776,
"6",2.88414804923e-06,0.0686567164179104,
"7",1.13401828037468e-05,0.0701492537313433,
"8",4.91585691579136e-05,0.0716417910447761,
"9",0.000146486759224597,0.073134328358209,
"10",0.000213020466350959,0.0746268656716418,
"11",0.000762892889838255,0.0761194029850746,
"12",0.000895484201100155,0.0776119402985075,
"13",0.000966528485506164,0.0805970149253731,
"14",0.00156069652313627,0.082089552238806,
"15",0.0039999999999984,0.0835820895522388,
"16",0.00458295142071452,0.0850746268656716,
"17",0.00499168053244589,0.0865671641791045,
"18",0.0052356020942381,0.0880597014925373,
"19",0.00578034682080591,0.091044776119403,
"20",0.00956937799042604,0.0925373134328358,
"21",0.00961743962385104,0.0940298507462687,
"22",0.0100719424460417,0.0955223880597015,
"23",0.0124954613638281,0.0970149253731343,
"24",0.0147058823529195,0.0985074626865672,
"25",0.0185185185184842,0.1,
"26",0.0223713646532388,0.101492537313433,0.0348360655737705
"27",0.0289017341040295,0.102985074626866,
"28",0.030048465266558,0.104477611940299,
"29",0.0330935251798514,0.105970149253731,
"30",0.0382165605095298,0.107462686567164,
"31",0.047304730473047,0.108955223880597,
"32",0.0503597122301796,0.11044776119403,
"33",0.0552147239263465,0.111940298507463,
"34",0.0588235294114187,,0.0368852459016393
"35",0.0624999999996094,,0.0389344262295082
"36",0.0634920634920299,0.113432835820896,
"37",0.0740740740739369,0.114925373134328,
"38",0.0799999999999467,0.116417910447761,
"39",0.090322580645103,0.117910447761194,
"40",0.0917782026768467,,0.040983606557377
"41",0.0974358974358475,0.119402985074627,
"42",0.10256410256384,,0.0430327868852459
"43",0.103250478011453,0.12089552238806,
"44",0.103626943005128,0.122388059701493,
"45",0.105263157894183,,0.0450819672131148
"46",0.111111111109877,,0.0491803278688525
"47",0.117647058822837,,0.0512295081967213
"48",0.11827956989241,0.123880597014925,
"49",0.119496855345837,0.125373134328358,
"50",0.121212121212029,0.126865671641791,
"51",0.124999999998437,,0.0532786885245902
"52",0.125581395348779,0.128358208955224,
"53",0.127817285622907,0.129850746268657,
"54",0.131979695431405,0.13134328358209,
"55",0.135135135134953,,0.055327868852459
"56",0.135646687697139,,0.0573770491803279
"57",0.137931034482521,,0.0594262295081967
"58",0.141732283464455,0.132835820895522,
"59",0.142857142855102,,0.0614754098360656
"60",0.142857142856916,,0.0635245901639344
"61",0.15384615384497,,0.0676229508196721
"62",0.157142857142843,0.134328358208955,
"63",0.157894736841898,0.135820895522388,0.069672131147541
"64",0.158974358974277,0.137313432835821,
"65",0.166666666663889,,0.0737704918032787
"66",0.166666666665741,,0.0778688524590164
"67",0.166666666666204,,0.0799180327868853
"68",0.16666666666658,0.138805970149254,
"69",0.16811955168119,,0.0819672131147541
"70",0.170588235294017,0.140298507462687,
"71",0.184210526315305,,0.084016393442623
"72",0.184873949579677,0.141791044776119,
"73",0.187499999998828,,0.0881147540983607
"74",0.189781021897672,0.143283582089552,
"75",0.19337016574575,0.144776119402985,
"76",0.194594594594489,0.146268656716418,
"77",0.195945945945814,0.147761194029851,
"78",0.199999999998667,,0.0901639344262295
"79",0.199999999999333,,0.0922131147540984
"80",0.19999999999984,0.149253731343284,
"81",0.205882352940571,,0.0942622950819672
"82",0.208333333332899,,0.0963114754098361
"83",0.210526315788366,0.150746268656716,
"84",0.214285714284949,,0.0983606557377049
"85",0.214953271027836,0.152238805970149,
"86",0.218749999999316,,0.100409836065574
"87",0.222222222219753,,0.102459016393443
"88",0.222222222221728,,0.104508196721311
"89",0.228571428570776,,0.10655737704918
"90",0.229166666666189,,0.108606557377049
"91",0.229508196720935,,0.110655737704918
"92",0.230153846153832,,0.112704918032787
"93",0.235294117645675,,0.118852459016393
"94",0.23809523809486,0.153731343283582,
"95",0.240740740740295,,0.120901639344262
"96",0.24210164835164,,0.122950819672131
"97",0.243902439023795,,0.125
"98",0.24999999999375,,0.127049180327869
"99",0.249999999999219,0.155223880597015,
"100",0.249999999999306,0.156716417910448,
"101",0.25480769230757,0.158208955223881,
"102",0.266666666664889,,0.129098360655738
"103",0.268733850129185,,0.131147540983607
"104",0.269230769229734,,0.133196721311475
"105",0.272727272724793,,0.135245901639344
"106",0.277777777776235,0.161194029850746,
"107",0.277777777777006,0.162686567164179,
"108",0.278688524589707,0.164179104477612,
"109",0.282051282050559,0.165671641791045,
"110",0.285714285713265,,0.137295081967213
"111",0.285714285713775,,0.139344262295082
"112",0.291666666666059,0.167164179104478,0.141393442622951
