instance,method,time,best_obj
p0282-0.100000,MibS-First,82.0,262349.0
weish27.dat-50,MibS-First,2.0,6170.0
plusBCPIns_8_7_4,MibS-First,0.0,4.0
OR10x250-0.50_2.dat-0,MibS-First,3600,1e+20
general20-30-20-20-20-9,MibS-First,0.0,299920.0
plusBCPIns_10_7_10,MibS-First,0.0,5.0
general20-30-20-20-20-8,MibS-First,0.0,299988.0
plusBCPIns_8_7_5,MibS-First,0.0,4.0
K5010W17.KNP,MibS-First,0.0,2417.0
plusBCPIns_15_7_8,MibS-First,0.0,6.0
OR10x100-0.50_4.dat-0,MibS-First,985.0,39729.0
OR30x250-0.25_5.dat-50,MibS-First,3600,1e+20
plusBCPIns_15_7_9,MibS-First,0.0,7.0
stein27-0.900000,MibS-First,0.0,26.0
reblock115_100_0,MibS-First,3600,1e+20
OR10x500-0.75_10.dat-0,MibS-First,3600,1e+20
trento1_50_50,MibS-First,3600,1e+20
snp-02-004-104_50_50,MibS-First,3600,1e+20
K5030W18.KNP,MibS-First,0.0,7070.0
OR10x500-0.50_2.dat-0,MibS-First,3600,1e+20
neos-1122047_100_0,MibS-First,3600,1e+20
s250r10_0_100,MibS-First,3600,1e+20
tree-25_3-3-3_010,MibS-First,0.0,21.0
lotsize_100_0,MibS-First,3600,1e+20
OR5x100-0.75_4.dat-50,MibS-First,6.0,21502.0
interKP-200-100-3-1,MibS-First,0.0,1327.0
BCPIns_10_7_7.txt_trad.txt_K8,MibS-First,0.0,5.0
OR10x500-0.50_5.dat-50,MibS-First,3600,1e+20
OR30x100-0.50_4.dat-100,MibS-First,3.0,29659.0
interKP-500-100-2-10,MibS-First,119.0,5335.0
OR5x500-0.50_6.dat-50,MibS-First,399.0,171190.0
bmilplib_160_4,MibS-First,0.0,-35.7847
OR5x100-0.25_7.dat-100,MibS-First,2.0,26905.0
bmilplib_160_5,MibS-First,0.0,-94.0022
bab6_50_50,MibS-First,3600,1e+20
K5010W10.KNP,MibS-First,0.0,1081.0
iis-bupa-cov_0_100,MibS-First,3600,1e+20
plusBCPIns_12_7_8,MibS-First,0.0,6.0
gen-ip054_100_0,MibS-First,3600,1e+20
OR10x100-0.75_7.dat-50,MibS-First,20.0,24276.0
plusBCPIns_12_7_9,MibS-First,0.0,6.0
OR30x500-0.75_4.dat-50,MibS-First,3600,1e+20
normalClique50-90-10,MibS-First,0.0,20.0
OR5x500-0.25_5.dat-0,MibS-First,473.0,128192.0
neos-827175_100_0,MibS-First,3600,1e+20
bmilplib_460_10,MibS-First,2.0,-45.0805
K5040W08.KNP,MibS-First,1.0,9519.0
OR30x500-0.25_8.dat-100,MibS-First,26.0,123281.0
OR10x250-0.50_4.dat-100,MibS-First,23.0,79136.0
interKP-500-100-1-4,MibS-First,46.0,11038.0
neos-3216931-puriri_100_0,MibS-First,3600,1e+20
OR5x500-0.75_2.dat-0,MibS-First,3600,1e+20
eilA101-2_100_0,MibS-First,3600,1e+20
OR30x100-0.50_6.dat-50,MibS-First,125.0,41985.0
interKP-500-100-1-5,MibS-First,47.0,11621.0
OR10x500-0.75_4.dat-100,MibS-First,118.0,107776.0
bmilplib_10_3,MibS-First,0.0,-341.334
interKP-300-100-1-9,MibS-First,21.0,1923.0
interdiction45-1,MibS-First,0.0,579.0
bmilplib_10_2,MibS-First,0.0,-201.857
interKP-200-100-7-10,MibS-First,6.0,300.0
mine-90-10_0_100,MibS-First,3600,1e+20
biella1_50_50,MibS-First,3600,1e+20
interKP-300-100-1-8,MibS-First,22.0,3278.0
s100_50_50,MibS-First,3600,1e+20
hp2.dat-0,MibS-First,1.0,3279.0
OR5x250-0.75_2.dat-0,MibS-First,586.0,56341.0
OR5x250-0.50_1.dat-100,MibS-First,18.0,78954.0
plusBCPIns_15_9_10,MibS-First,0.0,8.0
OR5x500-0.75_1.dat-100,MibS-First,106.0,105670.0
bmilplib_410_10,MibS-First,4.0,-37.132
BCPIns_15_9_1.txt_trad.txt_K24,MibS-First,0.0,9.0
OR5x100-0.75_4.dat-0,MibS-First,23.0,19864.0
OR5x250-0.25_5.dat-0,MibS-First,1398.0,56278.0
neos-957323_50_50,MibS-First,3600,1e+20
weish08.dat-0,MibS-First,0.0,3717.0
OR5x100-0.25_3.dat-0,MibS-First,31.0,21738.0
OR30x250-0.25_2.dat-100,MibS-First,7.0,63145.0
interdiction55-8,MibS-First,0.0,1321.0
