instance,method,time,best_obj
OR10x100-0.75_3.dat-0,MibS-First,395.0,19579.0
neos-1445765_0_100,MibS-First,3600,1e+20
BCPIns_15_7_8.txt_trad.txt_K19,MibS-First,0.0,6.0
OR10x100-0.75_2.dat-100,MibS-First,4.0,22990.0
interKP-500-100-9-4,MibS-First,0.0,14685.0
xuLarge600-3,MibS-First,5.0,-96.0
xuLarge600-2,MibS-First,6.0,12.113
interKP-500-100-9-5,MibS-First,0.0,17289.0
uct-subprob_0_100,MibS-First,3600,1e+20
OR10x250-0.75_5.dat-0,MibS-First,3600,1e+20
interKP-300-100-4-3,MibS-First,0.0,4621.0
irish-electricity_50_50,MibS-First,3600,1e+20
interKP-100-100-4-6,MibS-First,0.0,2682.0
miblp_20_20_50_0110_5_20,MibS-First,0.0,-438.0
weing7.dat-50,MibS-First,1.0,787514.0
interKP-100-100-4-7,MibS-First,0.0,3109.0
OR10x100-0.25_4.dat-0,MibS-First,148.0,22737.0
interKP-300-100-4-2,MibS-First,0.0,3084.0
bmilplib_60_6,MibS-First,0.0,-115.161
interdiction35-5,MibS-First,0.0,1075.0
OR10x250-0.25_2.dat-0,MibS-First,1500.0,59305.0
bmilplib_60_7,MibS-First,0.0,-181.72
interdiction35-4,MibS-First,0.0,620.0
interKP-300-100-3-5,MibS-First,18.0,8191.0
BCPIns_15_9_6.txt_trad.txt_K24,MibS-First,0.0,9.0
OR5x100-0.25_3.dat-100,MibS-First,3.0,23345.0
interKP-100-100-3-1,MibS-First,0.0,606.0
interKP-300-100-3-4,MibS-First,12.0,6707.0
K5050W10.KNP,MibS-First,1.0,9827.0
rndgraph-80_1-3-3_007,MibS-First,0.0,4.0
interKP-500-100-3-8,MibS-First,75.0,12207.0
sp150x300d_100_0,MibS-First,3600,1e+20
opm2-z7-s2_50_50,MibS-First,3600,1e+20
interKP-500-100-3-9,MibS-First,95.0,7514.0
OR10x500-0.50_3.dat-0,MibS-First,3600,1e+20
interKP-300-100-2-10,MibS-First,24.0,957.0
OR30x250-0.50_9.dat-50,MibS-First,3600,1e+20
miblp_20_20_50_0110_5_14,MibS-First,0.0,-923.0
BCPIns_8_9_9.txt_trad.txt_K7,MibS-First,0.0,5.0
xuLarge500-6,MibS-First,7.0,-84.3118
xuLarge500-7,MibS-First,0.0,-101.6
air05-0.100000,MibS-First,3600,1e+20
miblp_20_20_50_0110_5_15,MibS-First,0.0,-500.0
general30-30-30-20-20-1,MibS-First,0.0,199824.0
miblp_20_20_50_0110_15_5,MibS-First,1.0,-38.0
interKP-100-100-2-8,MibS-First,0.0,3922.0
OR10x100-0.50_5.dat-0,MibS-First,26.0,42133.0
T1-10-3,MibS-First,0.0,-194.0
interKP-100-100-2-9,MibS-First,0.0,4346.0
miblp_20_20_50_0110_15_4,MibS-First,4.0,-422.0
neos-5114902-kasavu_50_50,MibS-First,3600,1e+20
K5050W17.KNP,MibS-First,1.0,11101.0
T1-10-2,MibS-First,13.0,-192.0
OR10x500-0.25_9.dat-50,MibS-First,3600,1e+20
interdiction50-2,MibS-First,0.0,1000.0
OR30x100-0.50_1.dat-50,MibS-First,632.0,40966.0
OR10x250-0.50_3.dat-0,MibS-First,3600,1e+20
interdiction50-3,MibS-First,0.0,872.0
interKP-500-100-2-1,MibS-First,0.0,2852.0
general20-30-20-20-20-10,MibS-First,0.0,399873.0
OR10x500-0.25_10.dat-50,MibS-First,3600,1e+20
OR10x100-0.25_6.dat-100,MibS-First,1.0,27184.0
neos-2657525-crna_0_100,MibS-First,3600,1e+20
mine-166-5_0_100,MibS-First,3600,1e+20
OR30x250-0.75_10.dat-100,MibS-First,19.0,54269.0
seymour-0.500000,MibS-First,3600,1e+20
neos-933966_100_0,MibS-First,3600,1e+20
OR30x500-0.75_3.dat-50,MibS-First,3600,1e+20
neos-3754480-nidda_0_100,MibS-First,3600,1e+20
atlanta-ip_100_0,MibS-First,3600,1e+20
weing8.dat-50,MibS-First,0.0,592122.0
OR5x100-0.25_2.dat-0,MibS-First,34.0,22491.0
supportcase19_100_0,MibS-First,3600,1e+20
weish09.dat-0,MibS-First,0.0,2933.0
K5020W07.KNP,MibS-First,0.0,4623.0
mik-250-20-75-4_0_100,MibS-First,3600,1e+20
OR30x250-0.25_6.dat-100,MibS-First,7.0,64184.0
OR5x250-0.25_4.dat-0,MibS-First,2998.0,55907.0
bmilplib_360_10,MibS-First,1.0,-94.815
OR5x500-0.50_1.dat-50,MibS-First,109.0,212771.0
plusBCPIns_12_9_6,MibS-First,0.0,8.0
plusBCPIns_12_9_7,MibS-First,0.0,8.0
OR5x100-0.75_5.dat-0,MibS-First,14.0,26174.0
OR10x500-0.50_2.dat-50,MibS-First,3600,1e+20
OR5x250-0.50_5.dat-100,MibS-First,22.0,80304.0
square41_0_100,MibS-First,3600,1e+20
OR5x100-0.75_3.dat-50,MibS-First,5.0,21550.0
T1-1-3,MibS-First,0.0,-177.0
supportcase6_0_100,MibS-First,512.0,52163.1
brazil3_100_0,MibS-First,3600,1e+20
OR5x250-0.75_3.dat-0,MibS-First,924.0,138520.0
OR5x500-0.75_5.dat-100,MibS-First,117.0,106674.0
hp2.dat-50,MibS-First,2.0,3297.0
T1-1-2,MibS-First,36.0,-127.0
cmflsp50-24-8-8_100_0,MibS-First,3600,1e+20
2AP05-8,MibS-First,0.0,-33.0
bmilplib_210_4,MibS-First,0.0,-83.0923
OR30x250-0.25_2.dat-50,MibS-First,3600,1e+20
normalClique60-70-1,MibS-First,0.0,12.0
bmilplib_210_5,MibS-First,0.0,-23.8
2AP05-9,MibS-First,0.0,-27.0
n3div36_100_0,MibS-First,3600,1e+20
interKP-400-100-7-10,MibS-First,139.0,252.0
plusBCPIns_12_9_10,MibS-First,0.0,7.0
bmilplib_310_10,MibS-First,0.0,-81.8289
weish20.dat-50,MibS-First,0.0,9313.0
OR5x500-0.75_3.dat-0,MibS-First,3600,1e+20
OR10x250-0.75_8.dat-50,MibS-First,1940.0,55497.0
neos-934278_100_0,MibS-First,3600,1e+20
plusBCPIns_15_9_6,MibS-First,0.0,10.0
plusBCPIns_15_9_7,MibS-First,0.0,10.0
xuLarge700-10,MibS-First,7.0,29.5911
OR5x500-0.25_4.dat-0,MibS-First,3600,1e+20
BCPIns_10_9_2.txt_trad.txt_K10,MibS-First,0.0,7.0
interKP-400-100-1-1,MibS-First,6.0,5893.0
rndgraph-80_2-2-2_009,MibS-First,0.0,2.0
interKP-300-100-4-9,MibS-First,0.0,13460.0
seymour-0.100000,MibS-First,3600,1e+20
neos-3627168-kasai_0_100,MibS-First,3600,1e+20
interKP-300-100-4-8,MibS-First,0.0,12066.0
interdiction40-1,MibS-First,0.0,469.0
OR10x250-0.25_1.dat-50,MibS-First,3600,1e+20
interKP-500-100-4-4,MibS-First,0.0,9990.0
OR30x250-0.25_10.dat-100,MibS-First,17.0,60515.0
K5010W20.KNP,MibS-First,0.0,2107.0
interKP-500-100-4-5,MibS-First,0.0,12449.0
interKP-300-100-9-3,MibS-First,0.0,7010.0
interKP-100-100-9-6,MibS-First,0.0,4023.0
irp_0_100,MibS-First,1864.0,12212.6
weish04.dat-50,MibS-First,0.0,4745.0
OR5x500-0.50_2.dat-0,MibS-First,3600,1e+20
interKP-100-100-9-7,MibS-First,0.0,4407.0
interKP-300-100-9-2,MibS-First,0.0,4909.0
weish14.dat-100,MibS-First,0.0,6339.0
xuLarge600-9,MibS-First,1.0,-92.7143
OR10x100-0.50_3.dat-100,MibS-First,4.0,32551.0
OR5x250-0.25_2.dat-50,MibS-First,32.0,57851.0
xuLarge600-8,MibS-First,3.0,-21.746
K5050W02.KNP,MibS-First,1.0,12572.0
interKP-300-100-5-1,MibS-First,1.0,2047.0
OR5x250-0.75_10.dat-50,MibS-First,39.0,55150.0
OR30x100-0.75_3.dat-50,MibS-First,75.0,57319.0
interKP-100-100-5-4,MibS-First,1.0,2234.0
interKP-100-100-5-5,MibS-First,2.0,2745.0
OR10x100-0.75_9.dat-100,MibS-First,3.0,23641.0
OR5x250-0.50_2.dat-0,MibS-First,2975.0,98064.0
air05-0.500000,MibS-First,3600,1e+20
OR5x500-0.50_10.dat-50,MibS-First,431.0,170240.0
OR5x100-0.50_6.dat-100,MibS-First,5.0,29205.0
OR5x100-0.50_4.dat-0,MibS-First,33.0,34296.0
interKP-200-100-2-10,MibS-First,0.0,9525.0
neos-1396125_100_0,MibS-First,3600,1e+20
OR30x100-0.25_5.dat-100,MibS-First,1.0,27587.0
OR10x100-0.25_9.dat-50,MibS-First,63.0,21027.0
OR30x500-0.50_1.dat-50,MibS-First,3600,1e+20
interKP-500-100-8-6,MibS-First,44.0,15894.0
tree-50_1-3-3_014,MibS-First,0.0,42.0
interKP-500-100-8-7,MibS-First,54.0,15584.0
K5050W05.KNP,MibS-First,0.0,10279.0
weish01.dat-0,MibS-First,0.0,2654.0
weish14.dat-0,MibS-First,0.0,4784.0
OR10x250-0.25_5.dat-0,MibS-First,3600,1e+20
OR5x500-0.75_3.dat-50,MibS-First,195.0,108375.0
OR10x250-0.25_5.dat-100,MibS-First,7.0,64965.0
OR10x100-0.25_3.dat-0,MibS-First,39.0,22211.0
OR10x100-0.50_2.dat-50,MibS-First,329.0,35980.0
tree-80_3-3-1_015,MibS-First,0.0,75.0
neos8_50_50,MibS-First,3600,1e+20
OR10x250-0.75_2.dat-0,MibS-First,3600,1e+20
OR5x100-0.50_1.dat-50,MibS-First,8.0,33553.0
interKP-200-100-7-9,MibS-First,3.0,8404.0
K5020W15.KNP,MibS-First,0.0,4943.0
bmilplib_460_1,MibS-First,0.0,-36.3178
OR30x500-0.50_9.dat-100,MibS-First,73.0,147501.0
interKP-200-100-7-8,MibS-First,5.0,7492.0
OR10x100-0.75_4.dat-0,MibS-First,99.0,19784.0
stein45-0.900000,MibS-First,2.0,43.0
interKP-400-100-7-4,MibS-First,0.0,7732.0
interKP-500-100-7-10,MibS-First,0.0,23474.0
OR30x250-0.75_9.dat-100,MibS-First,25.0,54326.0
interKP-400-100-7-5,MibS-First,0.0,9666.0
normalClique50-90-8,MibS-First,0.0,22.0
OR5x250-0.50_9.dat-50,MibS-First,84.0,86609.0
OR10x500-0.75_2.dat-0,MibS-First,3600,1e+20
normalClique50-90-9,MibS-First,0.0,21.0
OR30x250-0.50_3.dat-100,MibS-First,17.0,77225.0
lectsched-4-obj_50_50,MibS-First,3600,1e+20
m100n500k4r1_100_0,MibS-First,3600,1e+20
OR30x500-0.75_3.dat-100,MibS-First,98.0,101429.0
OR10x500-0.25_5.dat-0,MibS-First,3600,1e+20
K5020W12.KNP,MibS-First,0.0,5494.0
interKP-200-100-6-1,MibS-First,0.0,927.0
general20-20-10-20-20-9,MibS-First,0.0,199977.0
n5-3_50_50,MibS-First,3600,1e+20
bmilplib_360_1,MibS-First,2.0,-0.327506
general20-20-10-20-20-8,MibS-First,0.0,199874.0
neos-860300_100_0,MibS-First,3600,1e+20
BCPIns_8_7_4.txt_trad.txt_K5,MibS-First,0.0,3.0
rndgraph-25_2-2-2_004,MibS-First,0.0,22.0
mod010-0.100000,MibS-First,0.0,6554.0
OR10x250-0.50_4.dat-50,MibS-First,3600,1e+20
interKP-500-100-4-10,MibS-First,0.0,23980.0
OR5x500-0.25_6.dat-0,MibS-First,3600,1e+20
normalClique40-70-1,MibS-First,0.0,10.0
OR30x250-0.25_3.dat-100,MibS-First,7.0,61552.0
tree-50_3-3-1_015,MibS-First,0.0,43.0
neos-2657525-crna_100_0,MibS-First,3600,1e+20
mine-166-5_100_0,MibS-First,3600,1e+20
neos-933966_0_100,MibS-First,3600,1e+20
OR5x500-0.75_1.dat-0,MibS-First,3600,1e+20
OR5x500-0.50_8.dat-0,MibS-First,3600,1e+20
neos-3754480-nidda_100_0,MibS-First,3600,1e+20
OR5x250-0.50_7.dat-50,MibS-First,94.0,84404.0
OR10x500-0.50_10.dat-100,MibS-First,77.0,155420.0
K5050W08.KNP,MibS-First,2.0,11197.0
sp98ar_50_50,MibS-First,3600,1e+20
air03-0.100000,MibS-First,12.0,403332.0
OR30x500-0.25_9.dat-100,MibS-First,34.0,121264.0
OR5x100-0.75_7.dat-0,MibS-First,15.0,55215.0
interKP-200-100-1-1,MibS-First,2.0,2742.0
OR5x250-0.50_8.dat-0,MibS-First,2443.0,98898.0
fast0507-0.100000,MibS-First,3600,1e+20
plusBCPIns_8_9_7,MibS-First,0.0,6.0
OR5x250-0.75_1.dat-0,MibS-First,601.0,54315.0
sp150x300d_0_100,MibS-First,3600,1e+20
hp1.dat-0,MibS-First,1.0,3300.0
plusBCPIns_8_9_6,MibS-First,0.0,6.0
momentum1_50_50,MibS-First,3600,1e+20
bmilplib_210_9,MibS-First,0.0,-83.472
2AP05-5,MibS-First,0.0,-29.0
OR30x500-0.25_4.dat-50,MibS-First,3600,1e+20
rndgraph-50_1-5-3_011,MibS-First,0.0,48.0
OR10x500-0.75_5.dat-100,MibS-First,99.0,103229.0
cost266-UUE_50_50,MibS-First,3600,1e+20
2AP05-4,MibS-First,0.0,-15.0
bmilplib_210_8,MibS-First,0.0,-13.0
OR5x250-0.25_6.dat-0,MibS-First,1707.0,58972.0
p0033-0.500000,MibS-First,0.0,3095.0
weish30.dat-100,MibS-First,0.0,9954.0
OR10x250-0.50_5.dat-100,MibS-First,18.0,77958.0
OR10x100-0.25_9.dat-0,MibS-First,119.0,21552.0
OR30x100-0.50_5.dat-100,MibS-First,5.0,30790.0
OR10x100-0.25_7.dat-50,MibS-First,148.0,21309.0
n3div36_0_100,MibS-First,3600,1e+20
cov1075_50_50,MibS-First,9.0,70.0
tree-25_1-3-3_015,MibS-First,0.0,23.0
miblp_20_20_50_0110_5_19,MibS-First,0.0,-431.0
mitre-0.100000,MibS-First,105.0,122310.0
miblp_20_20_50_0110_5_18,MibS-First,0.0,-386.0
moore90_2,MibS-First,0.0,5.0
tree-25_1-3-3_014,MibS-First,0.0,23.0
K5020W18.KNP,MibS-First,0.0,5146.0
interKP-300-100-3-8,MibS-First,22.0,5755.0
neos-934278_0_100,MibS-First,3600,1e+20
general30-20-10-20-20-6,MibS-First,1.0,499943.0
OR5x100-0.25_4.dat-50,MibS-First,7.0,23239.0
interKP-300-100-3-9,MibS-First,21.0,3052.0
OR10x500-0.25_10.dat-0,MibS-First,3600,1e+20
OR10x100-0.50_7.dat-0,MibS-First,71.0,43937.0
general30-20-10-20-20-7,MibS-First,0.0,99850.0
BCPIns_8_9_4.txt_trad.txt_K7,MibS-First,0.0,4.0
interKP-500-100-3-5,MibS-First,50.0,13337.0
pb1.dat-50,MibS-First,1.0,2316.0
cvs16r128-89_50_50,MibS-First,3600,1e+20
interKP-500-100-3-4,MibS-First,27.0,10922.0
OR5x500-0.25_10.dat-50,MibS-First,231.0,114455.0
OR10x250-0.50_1.dat-0,MibS-First,3600,1e+20
OR5x100-0.25_6.dat-100,MibS-First,2.0,24483.0
OR10x250-0.75_8.dat-0,MibS-First,3600,1e+20
pet6.dat-50,MibS-First,1.0,8105.0
general30-20-20-20-20-1,MibS-First,0.0,100084.0
OR30x250-0.50_10.dat-0,MibS-First,3600,1e+20
atlanta-ip_0_100,MibS-First,3600,1e+20
supportcase19_0_100,MibS-First,3600,1e+20
p0548-0.100000,MibS-First,3600,1e+20
OR10x100-0.25_3.dat-100,MibS-First,1.0,27090.0
mik-250-20-75-4_100_0,MibS-First,3600,1e+20
OR10x500-0.75_8.dat-0,MibS-First,3600,1e+20
OR30x250-0.75_5.dat-50,MibS-First,3600,1e+20
OR10x500-0.50_1.dat-0,MibS-First,3600,1e+20
interKP-100-100-2-5,MibS-First,2.0,2522.0
miblp_20_20_50_0110_15_8,MibS-First,1.0,-257.0
miblp_20_20_50_0110_15_9,MibS-First,0.0,-584.0
interKP-300-100-2-1,MibS-First,0.0,1737.0
interKP-100-100-2-4,MibS-First,0.0,2099.0
interKP-200-100-1-10,MibS-First,11.0,135.0
square41_100_0,MibS-First,3600,1e+20
miblp_20_15_50_0110_10_6,MibS-First,11.0,-194.0
bab5_50_50,MibS-First,3600,1e+20
supportcase6_100_0,MibS-First,3600,1e+20
brazil3_0_100,MibS-First,3600,1e+20
miblp_20_15_50_0110_10_7,MibS-First,0.0,-260.0
xuLarge900-10,MibS-First,15.0,-11.4325
cmflsp50-24-8-8_0_100,MibS-First,3600,1e+20
weish13.dat-50,MibS-First,1.0,3507.0
xuLarge800-7,MibS-First,11.0,-52.4637
p0033-0.100000,MibS-First,0.0,3089.0
interKP-200-100-7-4,MibS-First,0.0,3746.0
interKP-200-100-7-5,MibS-First,0.0,4682.0
xuLarge800-6,MibS-First,14.0,53.5828
OR10x500-0.25_7.dat-0,MibS-First,3600,1e+20
T1-6-2,MibS-First,0.0,-136.0
interKP-400-100-7-9,MibS-First,43.0,4010.0
T1-6-3,MibS-First,41.0,-107.0
OR10x250-0.75_6.dat-50,MibS-First,1017.0,58062.0
fiball_50_50,MibS-First,3600,1e+20
interKP-400-100-7-8,MibS-First,38.0,7410.0
neos-1396125_0_100,MibS-First,3600,1e+20
interKP-100-100-8-10,MibS-First,1.0,1590.0
general20-20-20-20-20-3,MibS-First,0.0,-204.0
fast0507-0.500000,MibS-First,3600,1e+20
OR5x250-0.75_5.dat-50,MibS-First,33.0,59084.0
OR10x500-0.50_9.dat-0,MibS-First,3600,1e+20
general20-20-20-20-20-2,MibS-First,0.0,500086.0
air03-0.500000,MibS-First,12.0,675800.0
OR5x250-0.50_10.dat-0,MibS-First,851.0,104655.0
pet4.dat-100,MibS-First,0.0,6385.0
miblp_20_20_50_0110_5_3,MibS-First,0.0,-440.0
OR5x250-0.25_5.dat-100,MibS-First,8.0,59118.0
neos-3627168-kasai_100_0,MibS-First,3600,1e+20
air04_50_50,MibS-First,3600,1e+20
general20-20-10-20-20-4,MibS-First,0.0,99738.0
miblp_20_20_50_0110_5_2,MibS-First,0.0,-591.0
OR10x250-0.50_9.dat-0,MibS-First,3600,1e+20
OR5x100-0.50_10.dat-100,MibS-First,4.0,31184.0
general20-20-10-20-20-5,MibS-First,0.0,199865.0
plusBCPIns_10_7_1,MibS-First,0.0,6.0
OR30x100-0.25_4.dat-50,MibS-First,24.0,23309.0
interKP-400-100-6-1,MibS-First,0.0,1916.0
OR10x100-0.75_6.dat-0,MibS-First,176.0,56816.0
OR30x500-0.75_6.dat-100,MibS-First,105.0,102144.0
interKP-400-100-4-10,MibS-First,0.0,19698.0
normalClique50-90-5,MibS-First,0.0,20.0
bmilplib_110_6,MibS-First,0.0,-116.405
OR30x100-0.75_10.dat-50,MibS-First,123.0,61256.0
irp_100_0,MibS-First,3600,1e+20
bmilplib_110_7,MibS-First,0.0,-79.1707
normalClique50-90-4,MibS-First,0.0,21.0
OR10x250-0.25_7.dat-0,MibS-First,3600,1e+20
OR30x250-0.50_6.dat-100,MibS-First,19.0,75033.0
mod010-0.500000,MibS-First,3.0,7024.0
BCPIns_8_7_9.txt_trad.txt_K5,MibS-First,0.0,3.0
weing6.dat-50,MibS-First,0.0,108803.0
OR10x100-0.25_1.dat-0,MibS-First,612.0,21555.0
BCPIns_10_9_7.txt_trad.txt_K10,MibS-First,0.0,5.0
OR10x500-0.50_10.dat-50,MibS-First,3600,1e+20
sento1.dat-50,MibS-First,0.0,5345.0
BCPIns_15_9_3.txt_trad.txt_K24,MibS-First,0.0,8.0
OR10x100-0.50_6.dat-100,MibS-First,4.0,30654.0
interKP-300-100-1-10,MibS-First,21.0,608.0
milp_10_20_50_2310,MibS-First,0.0,-92861.0
weish11.dat-100,MibS-First,0.0,5603.0
weish03.dat-0,MibS-First,0.0,3348.0
xuLarge600-4,MibS-First,5.0,50.5881
weish16.dat-0,MibS-First,0.0,6234.0
OR10x250-0.75_10.dat-50,MibS-First,599.0,54363.0
OR5x100-0.25_8.dat-0,MibS-First,0.0,24696.0
interKP-500-100-9-3,MibS-First,0.0,11692.0
m100n500k4r1_0_100,MibS-First,3600,1e+20
OR10x100-0.25_10.dat-0,MibS-First,121.0,22816.0
OR5x100-0.75_9.dat-100,MibS-First,6.0,24661.0
OR5x500-0.25_4.dat-50,MibS-First,214.0,116473.0
interKP-500-100-9-2,MibS-First,0.0,8141.0
xuLarge600-5,MibS-First,2.0,-95.7778
interKP-100-100-4-1,MibS-First,0.0,457.0
interKP-300-100-4-4,MibS-First,0.0,6138.0
K5040W20.KNP,MibS-First,0.0,6726.0
OR5x250-0.75_9.dat-0,MibS-First,605.0,56817.0
interKP-300-100-4-5,MibS-First,0.0,7645.0
OR10x500-0.25_7.dat-50,MibS-First,3600,1e+20
neos-860300_0_100,MibS-First,3600,1e+20
interKP-500-100-4-9,MibS-First,0.0,21880.0
OR5x100-0.50_6.dat-0,MibS-First,50.0,35264.0
interdiction35-2,MibS-First,0.0,601.0
bmilplib_60_1,MibS-First,0.0,-120.706
interKP-500-100-4-8,MibS-First,0.0,19620.0
rndgraph-50_1-3-3_007,MibS-First,0.0,48.0
interdiction35-3,MibS-First,0.0,783.0
p0548-0.500000,MibS-First,3600,1e+20
interKP-100-100-8-3,MibS-First,1.0,1592.0
interKP-300-100-8-6,MibS-First,17.0,9752.0
OR5x500-0.75_9.dat-0,MibS-First,3600,1e+20
neos-662469_50_50,MibS-First,3600,1e+20
interKP-300-100-8-7,MibS-First,14.0,8704.0
interKP-100-100-8-2,MibS-First,1.0,1110.0
pet2.dat-0,MibS-First,0.0,80500.0
OR30x250-0.50_7.dat-50,MibS-First,3600,1e+20
neos-4763324-toguru_50_50,MibS-First,3600,1e+20
gmu-35-50_50_50,MibS-First,3600,1e+20
interKP-100-100-5-9,MibS-First,2.0,4834.0
interKP-100-100-5-8,MibS-First,2.0,4318.0
OR5x100-0.50_3.dat-100,MibS-First,4.0,29887.0
mitre-0.500000,MibS-First,101.0,147120.0
interKP-500-100-5-1,MibS-First,4.0,3385.0
miblp_20_20_50_0110_15_2,MibS-First,0.0,-645.0
miblp_20_20_50_0110_15_3,MibS-First,2.0,-248.0
OR5x250-0.25_1.dat-0,MibS-First,186.0,60891.0
interdiction50-5,MibS-First,0.0,1330.0
interKP-500-100-2-7,MibS-First,73.0,15261.0
OR10x100-0.25_10.dat-100,MibS-First,1.0,26228.0
OR10x100-0.75_1.dat-50,MibS-First,29.0,22632.0
interKP-500-100-2-6,MibS-First,58.0,13740.0
interdiction50-4,MibS-First,1.0,1017.0
weish19.dat-0,MibS-First,0.0,7481.0
OR5x100-0.25_7.dat-0,MibS-First,44.0,22905.0
neos-4722843-widden_50_50,MibS-First,3600,1e+20
OR5x100-0.75_2.dat-50,MibS-First,6.0,26357.0
enigma-0.500000,MibS-First,0.0,0.0
K5030W06.KNP,MibS-First,0.0,6137.0
iis-pima-cov_0_100,MibS-First,3600,1e+20
OR5x250-0.75_6.dat-0,MibS-First,513.0,59865.0
pigeon-10_50_50,MibS-First,3600,1e+20
lseu-0.500000,MibS-First,2.0,2274.0
BCPIns_8_7_5.txt_trad.txt_K5,MibS-First,0.0,3.0
OR10x500-0.50_3.dat-50,MibS-First,3600,1e+20
OR5x100-0.50_9.dat-0,MibS-First,72.0,36980.0
interKP-100-100-3-7,MibS-First,2.0,3313.0
rndgraph-80_1-3-3_001,MibS-First,0.0,3.0
interKP-300-100-3-2,MibS-First,5.0,3658.0
K5010W09.KNP,MibS-First,0.0,271.0
interKP-300-100-3-3,MibS-First,8.0,5202.0
interKP-100-100-3-6,MibS-First,3.0,2887.0
OR10x100-0.25_8.dat-100,MibS-First,1.0,27247.0
weish21.dat-50,MibS-First,0.0,9313.0
OR5x500-0.75_6.dat-0,MibS-First,3600,1e+20
OR30x250-0.25_3.dat-50,MibS-First,3600,1e+20
K5030W01.KNP,MibS-First,0.0,6772.0
OR5x500-0.75_10.dat-100,MibS-First,96.0,99318.0
OR30x100-0.75_4.dat-100,MibS-First,2.0,22224.0
OR5x500-0.25_1.dat-0,MibS-First,3600,1e+20
neos-787933_50_50,MibS-First,3600,1e+20
xuLarge500-1,MibS-First,4.0,24.6415
general30-30-30-20-20-7,MibS-First,0.0,400006.0
miblp_20_20_50_0110_5_13,MibS-First,0.0,-519.0
OR10x250-0.75_9.dat-50,MibS-First,897.0,54081.0
general30-30-30-20-20-6,MibS-First,0.0,300052.0
miblp_20_20_50_0110_5_12,MibS-First,0.0,-853.0
ran16x16_100_0,MibS-First,3600,1e+20
OR10x500-0.50_4.dat-100,MibS-First,77.0,145580.0
normalClique60-70-7,MibS-First,0.0,12.0
OR10x500-0.25_8.dat-0,MibS-First,3600,1e+20
nw04-0.500000,MibS-First,3600,1e+20
bmilplib_210_3,MibS-First,0.0,-108.0
bab2_50_50,MibS-First,3600,1e+20
normalClique60-70-6,MibS-First,0.0,12.0
bmilplib_210_2,MibS-First,0.0,4.81284
OR10x250-0.75_4.dat-100,MibS-First,17.0,51994.0
interKP-200-100-8-10,MibS-First,7.0,324.0
BCPIns_12_7_2.txt_trad.txt_K12,MibS-First,0.0,5.0
OR30x250-0.50_8.dat-50,MibS-First,3600,1e+20
OR10x500-0.50_6.dat-0,MibS-First,3600,1e+20
beasleyC3_50_50,MibS-First,3600,1e+20
plusBCPIns_15_9_1,MibS-First,0.0,9.0
seymour_0_100,MibS-First,3600,1e+20
interKP-400-100-1-7,MibS-First,47.0,7650.0
harp2-0.100000,MibS-First,3600,1e+20
OR30x250-0.25_8.dat-100,MibS-First,9.0,60743.0
K5040W11.KNP,MibS-First,0.0,8176.0
interKP-400-100-1-6,MibS-First,42.0,9007.0
comp07-2idx_50_50,MibS-First,3600,1e+20
OR10x500-0.25_8.dat-50,MibS-First,2989.0,127902.0
OR10x250-0.50_6.dat-0,MibS-First,3600,1e+20
neos-1456979_50_50,MibS-First,3600,1e+20
OR10x100-0.75_9.dat-0,MibS-First,144.0,20065.0
sp98ic_0_100,MibS-First,3600,1e+20
supportcase42_50_50,MibS-First,3600,1e+20
OR30x500-0.25_2.dat-100,MibS-First,27.0,121733.0
plusBCPIns_12_9_1,MibS-First,0.0,7.0
OR10x250-0.25_8.dat-0,MibS-First,3600,1e+20
weish05.dat-100,MibS-First,0.0,4046.0
OR5x500-0.50_1.dat-100,MibS-First,81.0,152117.0
OR30x500-0.75_2.dat-50,MibS-First,3600,1e+20
BCPIns_10_9_10.txt_trad.txt_K10,MibS-First,0.0,6.0
neos5_50_50,MibS-First,65.0,41.0
K5040W16.KNP,MibS-First,0.0,8528.0
OR5x250-0.75_1.dat-100,MibS-First,21.0,59755.0
interKP-100-100-5-3,MibS-First,2.0,1733.0
neos-848589_50_50,MibS-First,3600,1e+20
OR5x100-0.75_2.dat-100,MibS-First,5.0,22283.0
neos-2746589-doon_0_100,MibS-First,3600,1e+20
interKP-300-100-5-6,MibS-First,13.0,9355.0
OR10x100-0.50_3.dat-50,MibS-First,139.0,38243.0
OR10x100-0.25_6.dat-0,MibS-First,367.0,22861.0
interKP-300-100-5-7,MibS-First,20.0,9451.0
interKP-100-100-5-2,MibS-First,0.0,1232.0
weish24.dat-100,MibS-First,1.0,8180.0
BCPIns_8_7_1.txt_trad.txt_K5,MibS-First,0.0,4.0
K5030W14.KNP,MibS-First,0.0,4733.0
OR5x500-0.75_2.dat-50,MibS-First,175.0,111926.0
OR5x500-0.25_10.dat-100,MibS-First,36.0,120334.0
interKP-100-100-8-9,MibS-First,1.0,4498.0
BCPIns_15_7_5.txt_trad.txt_K19,MibS-First,0.0,6.0
OR10x100-0.75_1.dat-0,MibS-First,13.0,57596.0
OR10x100-0.50_8.dat-0,MibS-First,225.0,35825.0
OR10x500-0.75_1.dat-50,MibS-First,3600,1e+20
interKP-100-100-8-8,MibS-First,2.0,2812.0
interKP-500-100-8-1,MibS-First,4.0,3406.0
OR10x250-0.75_7.dat-0,MibS-First,3600,1e+20
nexp-150-20-8-5_0_100,MibS-First,3600,1e+20
