"","x","1","2","3","4"
"1",1e-04,0.310520939734423,0.202247191011236,0.033197139938713,0.0326864147088866
"2",0.00100049024021771,0.311031664964249,,,
"3",0.010008407061932,,,0.0337078651685393,0.033197139938713
"4",0.010533866380413,,,0.0342185903983657,0.0337078651685393
"5",0.011340099592757,,,0.034729315628192,0.0342185903983657
"6",0.0125216624760836,0.311542390194076,,,
"7",0.0149988000959923,0.312053115423902,,,
"8",0.0190612820216998,0.312563840653728,,,
"9",0.0210224940686535,,,0.0352400408580184,0.034729315628192
"10",0.0245120108853338,,,0.0357507660878447,
"11",0.0277057317484319,0.313074565883555,,,
"12",0.0300236185799495,,,0.0362614913176711,0.0352400408580184
"13",0.0320118443824215,,,,0.0357507660878447
"14",0.0370324033529338,,,0.0367722165474974,0.0362614913176711
"15",0.0385188742483817,,,,0.0367722165474974
"16",0.045048201575686,0.313585291113381,,,
"17",0.0645616563818446,,,0.0372829417773238,0.0372829417773238
"18",0.0650393488060276,0.314096016343207,,,
"19",0.0677395996356076,,,0.0377936670071502,0.0377936670071502
"20",0.0690694147618356,,,0.0383043922369765,0.0383043922369765
"21",0.0706391591435127,,,0.0388151174668029,0.0388151174668029
"22",0.0731631538330476,0.314606741573034,,,
"23",0.0732284728352459,0.31511746680286,,,
"24",0.0744134518164557,0.315628192032686,,,
"25",0.0765673792937785,0.316138917262513,,,
"26",0.0820783848575389,0.316649642492339,,,
"27",0.0832597704839097,,,0.0393258426966292,0.0393258426966292
"28",0.0839999999999999,0.317160367722165,,,
"29",0.0946168518119878,,,0.0398365679264556,0.0398365679264556
"30",0.09958265360249,,,0.0403472931562819,0.0403472931562819
"31",0.106105043993554,,,0.0408580183861083,
"32",0.110566892970247,,,,0.0408580183861083
"33",0.111307207893787,,,0.0413687436159346,0.0413687436159346
"34",0.112110989879981,,,,0.041879468845761
"35",0.117348525119605,,,0.041879468845761,0.0423901940755873
"36",0.119057147430767,,,0.0423901940755873,
"37",0.119189511322999,0.317671092951992,,0.0429009193054137,0.0429009193054137
"38",0.119498307944127,,,0.04341164453524,0.04341164453524
"39",0.12224326409555,,,0.0439223697650664,0.0439223697650664
"40",0.131129818520335,0.318181818181818,,,
"41",0.133155792276962,0.318692543411645,,0.0444330949948928,0.0444330949948928
"42",0.13668110246076,0.319203268641471,,,
"43",0.137293808750726,,,,0.0449438202247191
"44",0.141926198376844,0.319713993871297,,,
"45",0.154356718376166,0.320224719101124,,,
"46",0.157095828455358,0.32073544433095,,,
"47",0.164351712665103,,,0.0449438202247191,
"48",0.178562471786126,,,,0.0454545454545455
"49",0.212178229712959,,,0.0454545454545455,0.0459652706843718
"50",0.216872695727603,0.321246169560776,,0.0459652706843718,0.0464759959141982
"51",0.225977598742383,0.321756894790603,,0.0464759959141982,0.0469867211440245
"52",0.238284352660832,0.322267620020429,0.202757916241062,0.0469867211440245,0.0474974463738509
"53",0.244828008324149,0.322778345250255,0.203268641470889,0.0474974463738509,0.0480081716036772
"54",0.247561965662053,0.323289070480082,,,
"55",0.260719586057518,,,0.0480081716036772,
"56",0.308993332249141,0.323799795709908,,0.0485188968335036,0.0485188968335036
"57",0.321470228443002,0.324310520939734,,,
"58",0.335795836131621,,0.203779366700715,,
"59",0.35336396488383,,,,0.0490296220633299
"60",0.360016000711141,0.324821246169561,,,
"61",0.385604113110515,0.325331971399387,,,
"62",0.416946468483457,,,0.0490296220633299,
"63",0.458085203847905,0.325842696629214,,,
"64",0.650618087182781,0.32635342185904,0.204290091930541,0.0495403472931563,0.0495403472931563
"65",0.651678071032889,,0.204800817160368,,
"66",0.671591672263241,0.326864147088866,,0.0500510725229826,0.0500510725229826
"67",0.692840646651254,0.327374872318693,,,
"68",0.760070939954376,0.327885597548519,0.205311542390194,0.050561797752809,0.050561797752809
"69",1.10619469026536,0.328396322778345,0.20582226762002,0.0510725229826353,0.0510725229826353
"70",1.22774708410065,,0.206332992849847,,
"71",1.23180291153409,0.328907048008172,0.206843718079673,0.0515832482124617,0.0515832482124617
"72",1.30335614206578,0.329417773237998,,0.052093973442288,0.052093973442288
"73",1.33630289532279,0.329928498467824,,,
"74",1.35957792207791,0.330439223697651,,0.0526046986721144,0.0526046986721144
"75",1.43237159811743,0.330949948927477,,0.0531154239019408,0.0531154239019408
"76",1.47814910025697,,0.207354443309499,,
"77",1.47874306839181,0.331460674157303,,,
"78",1.49142431021615,0.33197139938713,0.207865168539326,0.0536261491317671,0.0536261491317671
"79",1.49198060425212,0.332482124616956,,,
"80",1.50150150150147,0.332992849846782,,,
"81",1.69587337478798,0.333503575076609,,,
"82",1.71356272519734,0.334014300306435,,,
"83",1.80586907449202,0.334525025536262,0.208375893769152,0.0541368743615935,0.0541368743615935
"84",2.13143872113639,,0.208886618998979,,
"85",2.38549618320607,0.335035750766088,,,
"86",2.45494095711615,0.335546475995914,,,
"87",2.46272959393788,,0.209397344228805,,
"88",2.48667850799245,0.336057201225741,,0.0546475995914198,0.0546475995914198
"89",2.53685857837079,0.336567926455567,,0.0551583248212462,0.0551583248212462
"90",2.54937988056953,0.337078651685393,,,
"91",2.68647281921614,0.33758937691522,,,
"92",2.69664975547327,0.338100102145046,,,
"93",2.79129600261365,0.338610827374872,,,
"94",2.82485875706206,0.339121552604699,,,
"95",2.84213977933468,,,0.0556690500510725,0.0556690500510725
"96",2.8685258964143,0.339632277834525,,,
"97",2.92095752138904,,,0.0561797752808989,0.0561797752808989
"98",3.08483290488412,,,0.0566905005107252,0.0566905005107252
