x,BigM - Optimality KKT SOS1_2,BigM - Optimality KKT BigM_2,BigM - Optimality KKT BigM_3,BigM - Optimality KKT SOS1_3,BigM - MibS_3,BigM - MibS_2
0,0.367777777777778,0.517777777777778,0.172222222222222,0.15,0.0111111111111111,0.0111111111111111
0.0101010101010101,0.376666666666667,0.582222222222222,0.196666666666667,0.155555555555556,0.0111111111111111,0.0122222222222222
0.0202020202020201,0.381111111111111,0.608888888888889,0.21,0.157777777777778,0.0111111111111111,0.0122222222222222
0.0303030303030302,0.387777777777778,0.631111111111111,0.233333333333333,0.16,0.0111111111111111,0.0133333333333333
0.0404040404040402,0.393333333333333,0.651111111111111,0.242222222222222,0.164444444444444,0.0111111111111111,0.0144444444444444
0.0505050505050503,0.404444444444444,0.674444444444444,0.261111111111111,0.17,0.0111111111111111,0.0144444444444444
0.0606060606060604,0.414444444444444,0.701111111111111,0.284444444444444,0.174444444444444,0.0133333333333333,0.0144444444444444
0.0707070707070704,0.426666666666667,0.723333333333333,0.31,0.182222222222222,0.0144444444444444,0.0155555555555556
0.0808080808080805,0.443333333333333,0.744444444444444,0.335555555555556,0.2,0.0177777777777778,0.0155555555555556
0.0909090909090906,0.467777777777778,0.772222222222222,0.363333333333333,0.22,0.0211111111111111,0.0166666666666667
0.101010101010101,0.481111111111111,0.793333333333333,0.402222222222222,0.238888888888889,0.0244444444444444,0.0177777777777778
0.111111111111111,0.501111111111111,0.807777777777778,0.434444444444444,0.26,0.0277777777777778,0.0177777777777778
0.121212121212121,0.513333333333333,0.824444444444444,0.466666666666667,0.273333333333333,0.0377777777777778,0.02
0.131313131313131,0.533333333333333,0.84,0.504444444444444,0.298888888888889,0.05,0.0233333333333333
0.141414141414141,0.551111111111111,0.85,0.531111111111111,0.317777777777778,0.06,0.0277777777777778
0.151515151515151,0.558888888888889,0.855555555555556,0.568888888888889,0.338888888888889,0.0711111111111111,0.03
0.161616161616161,0.572222222222222,0.861111111111111,0.597777777777778,0.365555555555556,0.0888888888888889,0.0322222222222222
0.171717171717171,0.582222222222222,0.867777777777778,0.628888888888889,0.39,0.103333333333333,0.0344444444444444
0.181818181818181,0.586666666666667,0.873333333333333,0.651111111111111,0.413333333333333,0.12,0.0377777777777778
0.191919191919191,0.592222222222222,0.881111111111111,0.666666666666667,0.427777777777778,0.128888888888889,0.0411111111111111
0.202020202020201,0.601111111111111,0.888888888888889,0.692222222222222,0.443333333333333,0.14,0.0488888888888889
0.212121212121211,0.605555555555556,0.892222222222222,0.707777777777778,0.451111111111111,0.148888888888889,0.0544444444444444
0.222222222222221,0.607777777777778,0.897777777777778,0.725555555555556,0.461111111111111,0.157777777777778,0.0588888888888889
0.232323232323231,0.612222222222222,0.9,0.743333333333333,0.476666666666667,0.167777777777778,0.0666666666666667
0.242424242424241,0.614444444444444,0.905555555555556,0.77,0.5,0.187777777777778,0.0766666666666667
0.252525252525252,0.617777777777778,0.912222222222222,0.792222222222222,0.521111111111111,0.198888888888889,0.0822222222222222
0.262626262626262,0.622222222222222,0.925555555555556,0.81,0.532222222222222,0.211111111111111,0.09
0.272727272727272,0.625555555555556,0.932222222222222,0.83,0.546666666666667,0.23,0.0955555555555556
0.282828282828282,0.631111111111111,0.935555555555556,0.844444444444444,0.562222222222222,0.242222222222222,0.11
0.292929292929292,0.642222222222222,0.94,0.857777777777778,0.575555555555556,0.257777777777778,0.124444444444444
0.303030303030302,0.65,0.942222222222222,0.87,0.597777777777778,0.273333333333333,0.14
0.313131313131312,0.66,0.943333333333333,0.88,0.611111111111111,0.291111111111111,0.156666666666667
0.323232323232322,0.67,0.946666666666667,0.893333333333333,0.625555555555556,0.318888888888889,0.18
0.333333333333332,0.678888888888889,0.95,0.902222222222222,0.634444444444444,0.338888888888889,0.2
0.343434343434342,0.686666666666667,0.952222222222222,0.91,0.641111111111111,0.36,0.205555555555556
0.353535353535352,0.692222222222222,0.954444444444444,0.915555555555556,0.648888888888889,0.377777777777778,0.217777777777778
0.363636363636362,0.697777777777778,0.957777777777778,0.92,0.66,0.394444444444444,0.227777777777778
0.373737373737372,0.705555555555556,0.958888888888889,0.928888888888889,0.672222222222222,0.413333333333333,0.241111111111111
0.383838383838382,0.708888888888889,0.961111111111111,0.932222222222222,0.684444444444444,0.434444444444444,0.256666666666667
0.393939393939392,0.711111111111111,0.961111111111111,0.934444444444444,0.69,0.445555555555556,0.271111111111111
0.404040404040402,0.715555555555556,0.963333333333333,0.937777777777778,0.702222222222222,0.462222222222222,0.285555555555556
0.414141414141413,0.721111111111111,0.965555555555556,0.937777777777778,0.714444444444444,0.477777777777778,0.303333333333333
0.424242424242423,0.728888888888889,0.966666666666667,0.937777777777778,0.723333333333333,0.488888888888889,0.32
0.434343434343433,0.734444444444444,0.97,0.94,0.728888888888889,0.496666666666667,0.338888888888889
0.444444444444443,0.737777777777778,0.973333333333333,0.943333333333333,0.735555555555556,0.505555555555556,0.352222222222222
0.454545454545453,0.74,0.975555555555556,0.944444444444444,0.74,0.511111111111111,0.36
0.464646464646463,0.745555555555556,0.975555555555556,0.945555555555556,0.74,0.516666666666667,0.366666666666667
0.474747474747473,0.746666666666667,0.976666666666667,0.946666666666667,0.746666666666667,0.53,0.378888888888889
0.484848484848483,0.747777777777778,0.976666666666667,0.947777777777778,0.748888888888889,0.533333333333333,0.387777777777778
0.494949494949493,0.748888888888889,0.976666666666667,0.95,0.751111111111111,0.538888888888889,0.397777777777778
0.505050505050503,0.751111111111111,0.977777777777778,0.951111111111111,0.754444444444444,0.554444444444444,0.406666666666667
