x,BigM - Optimality KKT BigM_2,BigM - Optimality KKT SOS1_2,BigM - Optimality KKT SOS1_3,BigM - Optimality KKT BigM_3,BigM - MibS_3,BigM - MibS_2
0,0,0,0,0,0,0
109.090909090909,0.0895833333333333,0.0458333333333333,0,0,0,0
218.181818181818,0.183333333333333,0.0666666666666667,0.00416666666666667,0.00625,0,0.00208333333333333
327.272727272727,0.275,0.09375,0.00625,0.0104166666666667,0,0.00208333333333333
436.363636363636,0.335416666666667,0.120833333333333,0.00625,0.0145833333333333,0,0.00208333333333333
545.454545454545,0.385416666666667,0.14375,0.0145833333333333,0.025,0,0.00208333333333333
654.545454545455,0.4375,0.172916666666667,0.0229166666666667,0.03125,0,0.00208333333333333
763.636363636364,0.477083333333333,0.1875,0.0270833333333333,0.04375,0,0.00208333333333333
872.727272727273,0.545833333333333,0.19375,0.0354166666666667,0.05625,0,0.00416666666666667
981.818181818182,0.577083333333333,0.204166666666667,0.0458333333333333,0.0666666666666667,0,0.00416666666666667
1090.90909090909,0.602083333333333,0.229166666666667,0.0479166666666667,0.0729166666666667,0,0.00416666666666667
1200,0.61875,0.23125,0.0541666666666667,0.0770833333333333,0,0.00416666666666667
1309.09090909091,0.635416666666667,0.245833333333333,0.0583333333333333,0.0875,0,0.00416666666666667
1418.18181818182,0.65625,0.252083333333333,0.0645833333333333,0.09375,0.00208333333333333,0.00416666666666667
1527.27272727273,0.670833333333333,0.25625,0.0708333333333333,0.102083333333333,0.00208333333333333,0.00416666666666667
1636.36363636364,0.683333333333333,0.2625,0.0791666666666667,0.11875,0.00208333333333333,0.00416666666666667
1745.45454545455,0.697916666666667,0.270833333333333,0.0895833333333333,0.133333333333333,0.00208333333333333,0.00416666666666667
1854.54545454545,0.7125,0.272916666666667,0.0958333333333333,0.1375,0.00208333333333333,0.00416666666666667
1963.63636363636,0.727083333333333,0.275,0.108333333333333,0.139583333333333,0.00208333333333333,0.00416666666666667
2072.72727272727,0.7375,0.28125,0.1125,0.14375,0.00208333333333333,0.00416666666666667
2181.81818181818,0.752083333333333,0.289583333333333,0.1125,0.147916666666667,0.00208333333333333,0.00416666666666667
2290.90909090909,0.7625,0.291666666666667,0.116666666666667,0.152083333333333,0.00208333333333333,0.00416666666666667
2400,0.766666666666667,0.29375,0.11875,0.15625,0.00208333333333333,0.00416666666666667
2509.09090909091,0.775,0.29375,0.120833333333333,0.160416666666667,0.00208333333333333,0.00416666666666667
2618.18181818182,0.78125,0.302083333333333,0.120833333333333,0.172916666666667,0.00416666666666667,0.00416666666666667
2727.27272727273,0.7875,0.308333333333333,0.127083333333333,0.177083333333333,0.00416666666666667,0.00416666666666667
2836.36363636364,0.791666666666667,0.314583333333333,0.13125,0.183333333333333,0.00416666666666667,0.00416666666666667
2945.45454545455,0.8,0.316666666666667,0.133333333333333,0.1875,0.00416666666666667,0.00416666666666667
3054.54545454545,0.80625,0.31875,0.133333333333333,0.191666666666667,0.00416666666666667,0.00416666666666667
3163.63636363636,0.810416666666667,0.320833333333333,0.135416666666667,0.191666666666667,0.00416666666666667,0.00625
3272.72727272727,0.81875,0.322916666666667,0.135416666666667,0.195833333333333,0.00416666666666667,0.00833333333333333
3381.81818181818,0.825,0.329166666666667,0.135416666666667,0.197916666666667,0.00625,0.00833333333333333
3490.90909090909,0.833333333333333,0.335416666666667,0.135416666666667,0.2,0.00833333333333333,0.00833333333333333
3600,0.839583333333333,0.3375,0.1375,0.20625,0.00833333333333333,0.00833333333333333
3709.09090909091,0.841666666666667,0.341666666666667,0.1375,0.21875,0.00833333333333333,0.00833333333333333
3818.18181818182,0.84375,0.341666666666667,0.1375,0.222916666666667,0.00833333333333333,0.00833333333333333
3927.27272727273,0.85,0.341666666666667,0.141666666666667,0.2375,0.00833333333333333,0.00833333333333333
4036.36363636364,0.852083333333333,0.341666666666667,0.14375,0.239583333333333,0.00833333333333333,0.00833333333333333
4145.45454545455,0.854166666666667,0.347916666666667,0.147916666666667,0.239583333333333,0.00833333333333333,0.00833333333333333
4254.54545454545,0.854166666666667,0.35,0.15,0.239583333333333,0.00833333333333333,0.00833333333333333
4363.63636363636,0.854166666666667,0.35,0.15,0.241666666666667,0.00833333333333333,0.00833333333333333
4472.72727272727,0.85625,0.352083333333333,0.15625,0.24375,0.00833333333333333,0.00833333333333333
4581.81818181818,0.8625,0.352083333333333,0.15625,0.245833333333333,0.00833333333333333,0.00833333333333333
4690.90909090909,0.86875,0.352083333333333,0.15625,0.25625,0.00833333333333333,0.00833333333333333
4800,0.872916666666667,0.352083333333333,0.160416666666667,0.260416666666667,0.00833333333333333,0.00833333333333333
4909.09090909091,0.872916666666667,0.354166666666667,0.1625,0.266666666666667,0.00833333333333333,0.00833333333333333
5018.18181818182,0.877083333333333,0.354166666666667,0.164583333333333,0.277083333333333,0.00833333333333333,0.00833333333333333
5127.27272727273,0.88125,0.35625,0.164583333333333,0.28125,0.00833333333333333,0.00833333333333333
5236.36363636364,0.8875,0.35625,0.164583333333333,0.285416666666667,0.00833333333333333,0.00833333333333333
5345.45454545455,0.891666666666667,0.35625,0.164583333333333,0.291666666666667,0.00833333333333333,0.0104166666666667
5454.54545454545,0.89375,0.35625,0.164583333333333,0.295833333333333,0.00833333333333333,0.0104166666666667
5563.63636363636,0.895833333333333,0.3625,0.164583333333333,0.30625,0.00833333333333333,0.0104166666666667
5672.72727272727,0.895833333333333,0.3625,0.166666666666667,0.310416666666667,0.00833333333333333,0.0104166666666667
