x,BigM - Optimality KKT BigM_2,BigM - Optimality KKT SOS1_2,BigM - Optimality KKT SOS1_3,BigM - Optimality KKT BigM_3,BigM - MibS_3,BigM - MibS_2
0,0.910416666666667,0.391666666666667,0.235416666666667,0.45625,0.0125,0.0145833333333333
0.0202020202020202,0.966666666666667,0.395833333333333,0.245833333333333,0.50625,0.0125,0.0145833333333333
0.0404040404040404,0.972916666666667,0.40625,0.247916666666667,0.5375,0.0125,0.0145833333333333
0.0606060606060606,0.972916666666667,0.414583333333333,0.26875,0.570833333333333,0.0125,0.0166666666666667
0.0808080808080808,0.977083333333333,0.429166666666667,0.285416666666667,0.608333333333333,0.0125,0.0166666666666667
0.101010101010101,0.977083333333333,0.45,0.325,0.666666666666667,0.0145833333333333,0.0166666666666667
0.121212121212121,0.979166666666667,0.479166666666667,0.358333333333333,0.735416666666667,0.0145833333333333,0.01875
0.141414141414141,0.979166666666667,0.50625,0.4,0.78125,0.01875,0.0208333333333333
0.161616161616162,0.983333333333333,0.53125,0.43125,0.825,0.0208333333333333,0.0291666666666667
0.181818181818182,0.985416666666667,0.564583333333333,0.464583333333333,0.852083333333333,0.0270833333333333,0.0291666666666667
0.202020202020202,0.985416666666667,0.5875,0.49375,0.870833333333333,0.0270833333333333,0.03125
0.222222222222222,0.985416666666667,0.6125,0.522916666666667,0.897916666666667,0.0333333333333333,0.0333333333333333
0.242424242424242,0.985416666666667,0.627083333333333,0.55,0.914583333333333,0.0395833333333333,0.0395833333333333
0.262626262626263,0.985416666666667,0.64375,0.560416666666667,0.922916666666667,0.0416666666666667,0.0395833333333333
0.282828282828283,0.9875,0.658333333333333,0.566666666666667,0.925,0.0458333333333333,0.04375
0.303030303030303,0.9875,0.66875,0.58125,0.93125,0.0583333333333333,0.0458333333333333
0.323232323232323,0.9875,0.670833333333333,0.589583333333333,0.939583333333333,0.075,0.0520833333333333
0.343434343434343,0.9875,0.683333333333333,0.610416666666667,0.952083333333333,0.116666666666667,0.0541666666666667
0.363636363636364,0.9875,0.6875,0.625,0.9625,0.1625,0.0645833333333333
0.383838383838384,0.9875,0.6875,0.641666666666667,0.970833333333333,0.229166666666667,0.0708333333333333
0.404040404040404,0.9875,0.691666666666667,0.6625,0.979166666666667,0.297916666666667,0.08125
0.424242424242424,0.9875,0.697916666666667,0.68125,0.983333333333333,0.364583333333333,0.116666666666667
0.444444444444444,0.989583333333333,0.702083333333333,0.722916666666667,0.983333333333333,0.433333333333333,0.179166666666667
0.464646464646465,0.989583333333333,0.7125,0.75,0.983333333333333,0.470833333333333,0.233333333333333
0.484848484848485,0.991666666666667,0.727083333333333,0.752083333333333,0.983333333333333,0.502083333333333,0.322916666666667
0.505050505050505,0.991666666666667,0.747916666666667,0.75625,0.983333333333333,0.50625,0.385416666666667
0.525252525252525,0.991666666666667,0.754166666666667,0.75625,0.983333333333333,0.5125,0.447916666666667
0.545454545454546,0.991666666666667,0.760416666666667,0.758333333333333,0.983333333333333,0.520833333333333,0.4625
0.565656565656566,0.99375,0.772916666666667,0.760416666666667,0.985416666666667,0.535416666666667,0.483333333333333
0.585858585858586,0.995833333333333,0.777083333333333,0.7625,0.985416666666667,0.545833333333333,0.5
