"time","5_w0","10_w0","1_w0"
0.004602,0,0,0.000822368421052632
0.018682,0.00657894736842105,0.00904605263157895,0.00904605263157895
0.024596,0.0205592105263158,0.0123355263157895,0.0164473684210526
0.028133,0.0328947368421053,0.0172697368421053,0.0230263157894737
0.03106,0.0427631578947368,0.0296052631578947,0.0254934210526316
0.034061,0.0518092105263158,0.0411184210526316,0.0296052631578947
0.036627,0.0583881578947368,0.0534539473684211,0.0345394736842105
0.043681,0.0608552631578947,0.0674342105263158,0.0427631578947368
0.049865,0.0657894736842105,0.0715460526315789,0.0583881578947368
0.05601,0.078125,0.078125,0.0633223684210526
0.062047,0.0879934210526316,0.0888157894736842,0.0674342105263158
0.07406,0.09375,0.0986842105263158,0.0756578947368421
0.081839,0.108552631578947,0.104440789473684,0.0797697368421053
0.091235,0.118421052631579,0.114309210526316,0.0847039473684211
0.096278,0.120888157894737,0.127467105263158,0.0929276315789474
0.108667,0.129934210526316,0.135690789473684,0.100328947368421
0.119304,0.141447368421053,0.143914473684211,0.105263157894737
0.127171,0.150493421052632,0.150493421052632,0.113486842105263
0.138154,0.162006578947368,0.157894736842105,0.119243421052632
0.147093,0.176809210526316,0.162828947368421,0.123355263157895
0.157967,0.1875,0.171875,0.128289473684211
0.1646,0.198190789473684,0.181743421052632,0.132401315789474
0.173622,0.203125,0.199835526315789,0.133223684210526
0.184792,0.212171052631579,0.213815789473684,0.134868421052632
0.197712,0.21875,0.225328947368421,0.141447368421053
0.20978,0.224506578947368,0.236842105263158,0.148026315789474
0.219794,0.229440789473684,0.248355263157895,0.15625
0.231628,0.240131578947368,0.255756578947368,0.162006578947368
0.249039,0.248355263157895,0.268092105263158,0.166118421052632
0.261446,0.255756578947368,0.282894736842105,0.168585526315789
0.27133,0.263980263157895,0.294407894736842,0.172697368421053
0.282325,0.271381578947368,0.306743421052632,0.177631578947368
0.305341,0.28125,0.314967105263158,0.184210526315789
0.33958,0.292763157894737,0.322368421052632,0.189144736842105
0.381864,0.297697368421053,0.336348684210526,0.194901315789474
0.469928,0.305921052631579,0.347039473684211,0.199835526315789
0.502973,0.314144736842105,0.354440789473684,0.208881578947368
0.522859,0.320723684210526,0.361842105263158,0.219572368421053
0.536177,0.328947368421053,0.370888157894737,0.226151315789474
0.549429,0.336348684210526,0.379934210526316,0.234375
0.565532,0.347861842105263,0.385690789473684,0.241776315789474
0.60459,0.351973684210526,0.394736842105263,0.252467105263158
0.640196,0.364309210526316,0.403782894736842,0.255756578947368
0.666889,0.375822368421053,0.415296052631579,0.256578947368421
0.732051,0.380756578947368,0.429276315789474,0.262335526315789
0.769539,0.391447368421053,0.4375,0.268092105263158
0.803052,0.400493421052632,0.447368421052632,0.273026315789474
0.84177,0.407072368421053,0.462993421052632,0.275493421052632
1.00307,0.414473684210526,0.474506578947368,0.28125
1.12637,0.425164473684211,0.481085526315789,0.287828947368421
1.20297,0.433388157894737,0.489309210526316,0.296052631578947
1.24403,0.444078947368421,0.497532894736842,0.300986842105263
1.27658,0.453947368421053,0.505756578947368,0.307565789473684
1.29884,0.462171052631579,0.517269736842105,0.3125
1.33166,0.472039473684211,0.524671052631579,0.319078947368421
1.37584,0.479440789473684,0.535361842105263,0.325657894736842
1.43936,0.486842105263158,0.547697368421053,0.330592105263158
1.54382,0.494243421052632,0.553453947368421,0.341282894736842
1.66896,0.505756578947368,0.564144736842105,0.34375
1.83872,0.516447368421053,0.572368421052632,0.348684210526316
1.9867,0.523026315789474,0.581414473684211,0.357730263157895
2.13784,0.532072368421053,0.591282894736842,0.363486842105263
2.26565,0.537828947368421,0.602796052631579,0.370065789473684
2.43006,0.546875,0.615131578947368,0.373355263157895
2.97052,0.554276315789474,0.628289473684211,0.377467105263158
3.423,0.564967105263158,0.634868421052632,0.384046052631579
3.74305,0.573190789473684,0.643092105263158,0.392269736842105
4.14898,0.581414473684211,0.653782894736842,0.397203947368421
4.53811,0.588815789473684,0.660361842105263,0.407894736842105
4.87835,0.595394736842105,0.671875,0.414473684210526
5.61783,0.605263157894737,0.682565789473684,0.417763157894737
8.35755,0.615131578947368,0.694078947368421,0.421052631578947
11.3982,0.621710526315789,0.702302631578947,0.430921052631579
12.8195,0.630756578947368,0.713815789473684,0.434210526315789
14.7223,0.636513157894737,0.722861842105263,0.444078947368421
15.9625,0.648848684210526,0.726151315789474,0.452302631578947
17.3541,0.65625,0.734375,0.461348684210526
18.6503,0.663651315789474,0.744243421052632,0.46875
19.7297,0.673519736842105,0.754111842105263,0.472861842105263
20.699,0.680098684210526,0.763980263157895,0.481085526315789
22.7082,0.688322368421053,0.773848684210526,0.487664473684211
24.1129,0.697368421052632,0.785361842105263,0.490953947368421
26.856,0.704769736842105,0.796052631578947,0.497532894736842
32.8548,0.715460526315789,0.806743421052632,0.5
38.3443,0.723684210526316,0.818256578947368,0.504934210526316
43.4349,0.726973684210526,0.831414473684211,0.513157894736842
47.2872,0.736842105263158,0.840460526315789,0.518092105263158
50.4723,0.742598684210526,0.854440789473684,0.523026315789474
53.4867,0.75,0.865131578947368,0.529605263157895
62.6697,0.759868421052632,0.875,0.533717105263158
69.3685,0.768092105263158,0.883223684210526,0.541940789473684
74.4877,0.777138157894737,0.893092105263158,0.546875
78.7669,0.784539473684211,0.902138157894737,0.555098684210526
91.3548,0.795230263157895,0.911184210526316,0.560032894736842
119.735,0.800986842105263,0.924342105263158,0.564967105263158
161.618,0.810032894736842,0.9375,0.567434210526316
342.384,0.819078947368421,0.945723684210526,0.574835526315789
