"time","5_NLP_0","5_PADM_1","5_NLP-first_0","5_PADM_0","10_NLP_0","10_PADM_1","10_NLP-first_0","10_PADM_0","1_NLP_0","1_PADM_1","1_NLP-first_0","1_PADM_0"
0.006393,0,0,0,0,0,0,0,0,0,0,0.00177304964539007,0
0.019014,0.00177304964539007,0.00354609929078014,0.00709219858156028,0.00531914893617021,0,0.00886524822695036,0,0.00886524822695036,0.00531914893617021,0.00177304964539007,0.0159574468085106,0.00886524822695036
0.02702,0.00354609929078014,0.00354609929078014,0.0195035460992908,0.0124113475177305,0,0.0106382978723404,0.00531914893617021,0.0106382978723404,0.0106382978723404,0.00354609929078014,0.0354609929078014,0.0195035460992908
0.03508,0.00531914893617021,0.00531914893617021,0.0301418439716312,0.0301418439716312,0,0.0106382978723404,0.0159574468085106,0.0212765957446809,0.0124113475177305,0.00886524822695036,0.0372340425531915,0.024822695035461
0.041956,0.00531914893617021,0.00886524822695036,0.0354609929078014,0.0407801418439716,0,0.0106382978723404,0.0230496453900709,0.0390070921985816,0.0141843971631206,0.0106382978723404,0.0372340425531915,0.0425531914893617
0.049691,0.00886524822695036,0.0106382978723404,0.0407801418439716,0.0514184397163121,0,0.0124113475177305,0.0301418439716312,0.0443262411347518,0.0195035460992908,0.0141843971631206,0.0390070921985816,0.0638297872340425
0.057935,0.0141843971631206,0.0159574468085106,0.0478723404255319,0.0673758865248227,0.00177619893428064,0.0141843971631206,0.0336879432624113,0.0567375886524823,0.0212765957446809,0.0230496453900709,0.0407801418439716,0.0656028368794326
0.069871,0.0141843971631206,0.0319148936170213,0.0478723404255319,0.0709219858156028,0.0088809946714032,0.0195035460992908,0.0407801418439716,0.0726950354609929,0.0212765957446809,0.024822695035461,0.0425531914893617,0.0726950354609929
0.081627,0.0141843971631206,0.0407801418439716,0.0478723404255319,0.0780141843971631,0.0106571936056838,0.0390070921985816,0.0443262411347518,0.0726950354609929,0.024822695035461,0.0319148936170213,0.0425531914893617,0.0886524822695035
0.091817,0.0141843971631206,0.0478723404255319,0.049645390070922,0.0904255319148936,0.0106571936056838,0.0514184397163121,0.0460992907801418,0.074468085106383,0.024822695035461,0.0478723404255319,0.0443262411347518,0.101063829787234
0.103099,0.0141843971631206,0.0549645390070922,0.0531914893617021,0.099290780141844,0.0106571936056838,0.0549645390070922,0.0549645390070922,0.0815602836879433,0.024822695035461,0.0656028368794326,0.0443262411347518,0.109929078014184
0.121348,0.0141843971631206,0.0691489361702128,0.0549645390070922,0.109929078014184,0.0106571936056838,0.0602836879432624,0.0585106382978723,0.0957446808510638,0.024822695035461,0.0691489361702128,0.0460992907801418,0.122340425531915
0.134946,0.0141843971631206,0.0709219858156028,0.0585106382978723,0.120567375886525,0.0106571936056838,0.074468085106383,0.0585106382978723,0.104609929078014,0.0283687943262411,0.074468085106383,0.0478723404255319,0.140070921985816
0.152042,0.0159574468085106,0.074468085106383,0.0620567375886525,0.136524822695035,0.0142095914742451,0.0833333333333333,0.0620567375886525,0.113475177304965,0.0301418439716312,0.0797872340425532,0.049645390070922,0.147163120567376
0.170715,0.0159574468085106,0.0797872340425532,0.0638297872340425,0.152482269503546,0.0142095914742451,0.0833333333333333,0.0638297872340425,0.132978723404255,0.0336879432624113,0.0851063829787234,0.0514184397163121,0.159574468085106
0.181832,0.0177304964539007,0.0851063829787234,0.0638297872340425,0.168439716312057,0.0142095914742451,0.0833333333333333,0.0656028368794326,0.147163120567376,0.0372340425531915,0.0975177304964539,0.0549645390070922,0.168439716312057
0.197068,0.0195035460992908,0.0957446808510638,0.0673758865248227,0.171985815602837,0.0142095914742451,0.0886524822695035,0.0709219858156028,0.161347517730496,0.0372340425531915,0.106382978723404,0.0567375886524823,0.179078014184397
0.211275,0.0212765957446809,0.099290780141844,0.0726950354609929,0.186170212765957,0.0159857904085258,0.0904255319148936,0.0709219858156028,0.173758865248227,0.0390070921985816,0.115248226950355,0.0585106382978723,0.193262411347518
0.234377,0.024822695035461,0.109929078014184,0.076241134751773,0.203900709219858,0.0159857904085258,0.099290780141844,0.0797872340425532,0.180851063829787,0.0407801418439716,0.117021276595745,0.0602836879432624,0.195035460992908
0.245335,0.0265957446808511,0.115248226950355,0.0797872340425532,0.205673758865248,0.0159857904085258,0.104609929078014,0.0868794326241135,0.202127659574468,0.0407801418439716,0.124113475177305,0.0638297872340425,0.203900709219858
0.266448,0.0265957446808511,0.127659574468085,0.0833333333333333,0.209219858156028,0.0213143872113677,0.108156028368794,0.0921985815602837,0.205673758865248,0.0443262411347518,0.140070921985816,0.0726950354609929,0.205673758865248
0.304689,0.0265957446808511,0.138297872340426,0.0921985815602837,0.212765957446809,0.024866785079929,0.122340425531915,0.0939716312056738,0.212765957446809,0.0478723404255319,0.145390070921986,0.074468085106383,0.212765957446809
0.331934,0.0283687943262411,0.156028368794326,0.0939716312056738,0.219858156028369,0.0266429840142096,0.134751773049645,0.0957446808510638,0.218085106382979,0.0478723404255319,0.150709219858156,0.076241134751773,0.221631205673759
0.370301,0.0283687943262411,0.166666666666667,0.0957446808510638,0.226950354609929,0.0266429840142096,0.150709219858156,0.0975177304964539,0.225177304964539,0.049645390070922,0.164893617021277,0.0780141843971631,0.226950354609929
0.403019,0.0283687943262411,0.175531914893617,0.0975177304964539,0.228723404255319,0.0284191829484902,0.177304964539007,0.102836879432624,0.234042553191489,0.0531914893617021,0.171985815602837,0.0797872340425532,0.226950354609929
