slurm-13211117.out,result,instance_N15_R10_D1__1.txt,18000,3,true,inf,STD,Optimal,Proved,0,12,0.775299,0.415169,0.205193,-119.436,-119.436,7.13898e-13,8.52651e-13,-321.78,71.1675,,0.00,16.00
slurm-13211118.out,result,instance_N15_R10_D1__1.txt,0,4,true,0.000000,CG,Optimal,Proved,1,10,2.61617,2.33705,0.140236,-119.436,-119.436,4.75932e-14,5.68434e-14,-301.448,64.8599,,0.00,16.00
slurm-13211119.out,result,instance_N15_R10_D1__1.txt,18000,4,true,inf,STD,Optimal,Proved,0,10,0.513248,0.242593,0.125632,-119.436,-119.436,4.75932e-14,5.68434e-14,-301.448,64.8599,,0.00,16.00
slurm-13211120.out,result,instance_N15_R10_D1__2.txt,0,3,true,0.000000,CG,Optimal,Proved,1,6,0.634918,0.508678,0.07578,-206.116,-206.116,0,0,-318.025,51.4446,,0.00,16.00
slurm-13211121.out,result,instance_N15_R10_D1__2.txt,18000,3,true,inf,STD,Optimal,Proved,0,6,0.238102,0.094769,0.103757,-206.116,-206.116,0,0,-318.025,51.4446,,0.00,16.00
slurm-13211122.out,result,instance_N15_R10_D1__2.txt,0,4,true,0.000000,CG,Optimal,Proved,1,6,0.62685,0.502009,0.07341,-206.116,-206.116,0,0,-318.025,51.4446,,0.00,16.00
slurm-13211123.out,result,instance_N15_R10_D1__2.txt,18000,4,true,inf,STD,Optimal,Proved,0,6,0.161462,0.048206,0.074044,-206.116,-206.116,0,0,-318.025,51.4446,,0.00,16.00
slurm-13211124.out,result,instance_N15_R10_D1__3.txt,0,3,true,0.000000,CG,Optimal,Proved,1,6,0.947174,0.822972,0.073416,-124.776,-124.776,0,0,-274.839,54.1319,,0.00,16.00
slurm-13211125.out,result,instance_N15_R10_D1__3.txt,18000,3,true,inf,STD,Optimal,Proved,0,6,0.209899,0.055432,0.08861,-124.776,-124.776,0,0,-274.839,54.1319,,0.00,16.00
slurm-13211126.out,result,instance_N15_R10_D1__3.txt,0,4,true,0.000000,CG,Optimal,Proved,1,6,0.952526,0.82871,0.073117,-124.776,-124.776,0,0,-274.839,54.1319,,0.00,16.00
slurm-13211127.out,result,instance_N15_R10_D1__3.txt,18000,4,true,inf,STD,Optimal,Proved,0,6,0.181339,0.053977,0.087649,-124.776,-124.776,1.23002e-12,1.53477e-12,-274.839,54.1319,,0.00,16.00
