"total_time","ecdf_value","log_total_time"
0.077675,0.003125,-1.10971873807299
0.083055,0.00625,-1.08063421743239
0.105864,0.009375,-0.975251700509987
0.123157,0.0125,-0.909540898684999
0.171739,0.015625,-0.765131070235168
0.234096,0.01875,-0.630606007032846
0.24472,0.021875,-0.611330536023378
0.246651,0.025,-0.607917119433133
0.267013,0.028125,-0.573467593725972
0.273048,0.03125,-0.563761000202032
0.308004,0.034375,-0.511443643348103
0.314047,0.0375,-0.503005350929447
0.356177,0.040625,-0.448334128375267
0.380839,0.04375,-0.419258583876011
0.38339,0.046875,-0.416359219056958
0.393171,0.05,-0.405418522895969
0.40657,0.053125,-0.390864670250689
0.406881,0.05625,-0.390532589792363
0.463172,0.059375,-0.334257702763016
0.4683,0.0625,-0.32947584221792
0.474905,0.065625,-0.323393257958562
0.488353,0.06875,-0.311266140023745
0.500032,0.071875,-0.301002201706536
0.514773,0.075,-0.288384240047606
0.527536,0.078125,-0.277747897986915
0.530862,0.08125,-0.275018361079942
0.547773,0.084375,-0.261399378142655
0.548457,0.0875,-0.260857416210995
0.549341,0.090625,-0.260157986252145
0.552804,0.09375,-0.257428823138122
0.55709,0.096875,-0.25407463723935
0.574248,0.1,-0.24090050869798
0.579474,0.103125,-0.236966045308399
0.60033,0.10625,-0.221609953314275
0.616352,0.109375,-0.210171190438423
0.62685,0.1125,-0.202836369800693
0.634918,0.115625,-0.197282360451459
0.675212,0.11875,-0.170559847947164
0.685404,0.121875,-0.164053365367403
0.688979,0.125,-0.161794015136075
0.697017,0.128125,-0.156756629482827
0.722518,0.13125,-0.141151328912871
0.749755,0.134375,-0.125080629316126
0.764409,0.1375,-0.116674208289804
0.781624,0.140625,-0.107002113941865
0.804577,0.14375,-0.0944323865247055
0.828916,0.146875,-0.0814894773928443
0.879893,0.15,-0.05557013732134
0.947174,0.153125,-0.0235702318748574
0.949114,0.15625,-0.022681620452085
0.952526,0.159375,-0.0211231610566261
0.959465,0.1625,-0.0179708631214296
1.01159,0.165625,0.0050045275068028
1.12999,0.16875,0.0530746001524147
1.14778,0.171875,0.0598586529206858
1.17432,0.175,0.0697864574715443
1.24075,0.178125,0.093684283869361
1.25219,0.18125,0.0976702311835167
1.33416,0.184375,0.125207915750166
1.46527,0.1875,0.165917657936516
1.59305,0.190625,0.202229406926881
1.62763,0.19375,0.211555686043858
1.65199,0.196875,0.218007414075184
1.7462,0.2,0.242093983883883
1.77305,0.203125,0.248720982875545
1.79172,0.20625,0.25327014151131
1.82524,0.209375,0.261319977736457
1.83695,0.2125,0.264097335391481
1.84192,0.215625,0.265270763584474
1.92439,0.21875,0.284293091446021
1.94002,0.221875,0.287806207169848
1.98979,0.225,0.298807243920412
2.01176,0.228125,0.303576168783148
2.05568,0.23125,0.312955510590531
2.05939,0.234375,0.313738599560783
2.09729,0.2375,0.321658486112403
2.13594,0.240625,0.329589048901978
2.24567,0.24375,0.3513459372733
2.31569,0.246875,0.364680420210627
2.43578,0.25,0.386638060192078
2.47141,0.253125,0.392944799617731
2.49538,0.25625,0.397136689974174
2.5622,0.259375,0.408613026855303
2.58578,0.2625,0.412591572033001
2.61617,0.265625,0.417665961235989
2.64551,0.26875,0.422509407499756
