"time","5_w0","5_w1","10_w0","10_w1","1_w0","1_w1"
0.007352,0,0,0,0,0.000880281690140845,0
0.026212,0.0096830985915493,0.00440140845070423,0.00792253521126761,0.0096830985915493,0.011443661971831,0.00264084507042254
0.034721,0.022887323943662,0.00792253521126761,0.0176056338028169,0.0096830985915493,0.0255281690140845,0.00704225352112676
0.041626,0.0316901408450704,0.011443661971831,0.0316901408450704,0.0096830985915493,0.0387323943661972,0.0132042253521127
0.049663,0.0413732394366197,0.0237676056338028,0.0360915492957746,0.011443661971831,0.051056338028169,0.0176056338028169
0.056323,0.0528169014084507,0.034330985915493,0.039612676056338,0.0184859154929577,0.0545774647887324,0.0264084507042254
0.063799,0.0554577464788732,0.0466549295774648,0.0536971830985915,0.0299295774647887,0.0580985915492958,0.028169014084507
0.070487,0.0580985915492958,0.0554577464788732,0.0607394366197183,0.0492957746478873,0.0616197183098592,0.0316901408450704
0.078053,0.0660211267605634,0.0660211267605634,0.0625,0.0616197183098592,0.0660211267605634,0.039612676056338
0.088184,0.0704225352112676,0.0704225352112676,0.0633802816901408,0.0783450704225352,0.0765845070422535,0.0484154929577465
0.099931,0.0765845070422535,0.0730633802816901,0.0713028169014085,0.0809859154929577,0.0836267605633803,0.0669014084507042
0.118084,0.0827464788732394,0.0845070422535211,0.0801056338028169,0.0862676056338028,0.0889084507042254,0.0748239436619718
0.134083,0.0880281690140845,0.0994718309859155,0.085387323943662,0.0950704225352113,0.096830985915493,0.0783450704225352
0.154999,0.0941901408450704,0.105633802816901,0.090669014084507,0.109154929577465,0.104753521126761,0.0836267605633803
0.167355,0.10387323943662,0.117957746478873,0.0941901408450704,0.117077464788732,0.110035211267606,0.0897887323943662
0.183342,0.112676056338028,0.125880281690141,0.104753521126761,0.121478873239437,0.113556338028169,0.100352112676056
0.19793,0.117957746478873,0.13556338028169,0.113556338028169,0.130281690140845,0.123239436619718,0.102992957746479
0.211919,0.125880281690141,0.140845070422535,0.120598591549296,0.139964788732394,0.131161971830986,0.110035211267606
0.228688,0.133802816901408,0.148767605633803,0.132922535211268,0.150528169014085,0.132922535211268,0.115316901408451
0.246463,0.138204225352113,0.161091549295775,0.141725352112676,0.162852112676056,0.13556338028169,0.119718309859155
0.261844,0.141725352112676,0.176056338028169,0.148767605633803,0.170774647887324,0.138204225352113,0.128521126760563
0.292009,0.14612676056338,0.192781690140845,0.152288732394366,0.180457746478873,0.140845070422535,0.137323943661972
0.319887,0.152288732394366,0.212147887323944,0.15580985915493,0.191021126760563,0.145246478873239,0.138204225352113
0.340827,0.15580985915493,0.220070422535211,0.159330985915493,0.210387323943662,0.148767605633803,0.145246478873239
0.367609,0.160211267605634,0.231514084507042,0.162852112676056,0.231514084507042,0.152288732394366,0.147007042253521
0.399065,0.16637323943662,0.23943661971831,0.169014084507042,0.251760563380282,0.153169014084507,0.150528169014085
0.433174,0.167253521126761,0.243838028169014,0.174295774647887,0.264084507042254,0.154049295774648,0.171654929577465
0.471128,0.168133802816901,0.261443661971831,0.175176056338028,0.277288732394366,0.158450704225352,0.180457746478873
0.496328,0.171654929577465,0.276408450704225,0.176056338028169,0.294014084507042,0.162852112676056,0.184859154929577
0.514771,0.176056338028169,0.284330985915493,0.178697183098592,0.308978873239437,0.171654929577465,0.191021126760563
0.542457,0.181338028169014,0.292253521126761,0.183978873239437,0.327464788732394,0.176056338028169,0.195422535211268
0.573203,0.191021126760563,0.303697183098592,0.191021126760563,0.335387323943662,0.182218309859155,0.19806338028169
0.617862,0.197183098591549,0.311619718309859,0.201584507042254,0.341549295774648,0.193661971830986,0.200704225352113
0.670537,0.20862676056338,0.316901408450704,0.211267605633803,0.348591549295775,0.198943661971831,0.207746478873239
0.728156,0.216549295774648,0.324823943661972,0.223591549295775,0.355633802816901,0.203345070422535,0.213028169014085
0.81125,0.221830985915493,0.330105633802817,0.235035211267606,0.367957746478873,0.20862676056338,0.21830985915493
0.905603,0.22887323943662,0.338908450704225,0.237676056338028,0.386443661971831,0.211267605633803,0.224471830985915
0.994295,0.233274647887324,0.349471830985915,0.23943661971831,0.397887323943662,0.214788732394366,0.237676056338028
1.04074,0.236795774647887,0.363556338028169,0.243838028169014,0.404929577464789,0.217429577464789,0.250880281690141
1.09896,0.240316901408451,0.375,0.25,0.414612676056338,0.220070422535211,0.263204225352113
1.165794,0.241197183098592,0.388204225352113,0.252640845070423,0.427816901408451,0.224471830985915,0.273767605633803
1.23536,0.249119718309859,0.401408450704225,0.26056338028169,0.436619718309859,0.22887323943662,0.276408450704225
1.287302,0.255281690140845,0.407570422535211,0.265845070422535,0.446302816901408,0.240316901408451,0.283450704225352
1.3483,0.268485915492958,0.413732394366197,0.27112676056338,0.454225352112676,0.250880281690141,0.285211267605634
1.402205,0.279049295774648,0.422535211267606,0.279929577464789,0.460387323943662,0.26056338028169,0.286091549295775
1.48088,0.284330985915493,0.430457746478873,0.288732394366197,0.479753521126761,0.263204225352113,0.287852112676056
1.55583,0.29137323943662,0.435739436619718,0.294894366197183,0.493838028169014,0.267605633802817,0.295774647887324
1.619188,0.297535211267606,0.447183098591549,0.30193661971831,0.508802816901408,0.268485915492958,0.300176056338028
1.75073,0.308978873239437,0.455105633802817,0.310739436619718,0.520246478873239,0.273767605633803,0.301056338028169
