"time","1_w0","1_w1","5_w0","5_w1","10_w0","10_w1"
0.013721,0,0.0009000900090009,0,0,0,0
0.045592,0.0081008100810081,0.0063006300630063,0.0081008100810081,0.0054005400540054,0.0054005400540054,0.009000900090009
0.072216,0.018001800180018,0.0117011701170117,0.0198019801980198,0.0063006300630063,0.018001800180018,0.0099009900990099
0.086227,0.0243024302430243,0.0261026102610261,0.0234023402340234,0.0189018901890189,0.0198019801980198,0.0126012601260126
0.098068,0.0351035103510351,0.0288028802880288,0.0324032403240324,0.0261026102610261,0.0297029702970297,0.0144014401440144
0.114413,0.0441044104410441,0.0306030603060306,0.0369036903690369,0.0414041404140414,0.0369036903690369,0.018001800180018
0.129174,0.0459045904590459,0.0378037803780378,0.0477047704770477,0.0513051305130513,0.0414041404140414,0.0252025202520252
0.149681,0.0504050405040504,0.0405040504050405,0.0522052205220522,0.0576057605760576,0.0531053105310531,0.0378037803780378
0.173447,0.0531053105310531,0.0495049504950495,0.0558055805580558,0.0666066606660666,0.0585058505850585,0.0495049504950495
0.197758,0.0648064806480648,0.0576057605760576,0.0594059405940594,0.072007200720072,0.0612061206120612,0.0594059405940594
0.222856,0.072007200720072,0.0675067506750675,0.0693069306930693,0.0765076507650765,0.0657065706570657,0.0648064806480648
0.246537,0.0783078307830783,0.0747074707470747,0.0729072907290729,0.0891089108910891,0.0729072907290729,0.0693069306930693
0.269694,0.0864086408640864,0.0783078307830783,0.0855085508550855,0.0927092709270927,0.0801080108010801,0.0756075607560756
0.304924,0.0999099909990999,0.081008100810081,0.09000900090009,0.0999099909990999,0.0873087308730873,0.0819081908190819
0.345182,0.102610261026103,0.0864086408640864,0.100810081008101,0.106210621062106,0.099009900990099,0.0873087308730873
0.374249,0.106210621062106,0.0972097209720972,0.104410441044104,0.114311431143114,0.105310531053105,0.0963096309630963
0.411631,0.10981098109811,0.107110711071107,0.111611161116112,0.121512151215122,0.108910891089109,0.106210621062106
0.435593,0.115211521152115,0.117911791179118,0.116111611161116,0.12961296129613,0.117911791179118,0.10981098109811
0.465844,0.120612061206121,0.130513051305131,0.118811881188119,0.136813681368137,0.120612061206121,0.120612061206121
0.51109,0.126912691269127,0.134113411341134,0.126912691269127,0.148514851485149,0.123312331233123,0.12961296129613
0.554882,0.131413141314131,0.141314131413141,0.132313231323132,0.155715571557156,0.132313231323132,0.138613861386139
0.599933,0.135013501350135,0.152115211521152,0.136813681368137,0.167416741674167,0.136813681368137,0.144914491449145
0.64096,0.136813681368137,0.159315931593159,0.137713771377138,0.184518451845185,0.13951395139514,0.156615661566157
0.67706,0.143114311431143,0.165616561656166,0.142214221422142,0.197119711971197,0.143114311431143,0.164716471647165
0.728586,0.15031503150315,0.167416741674167,0.147614761476148,0.207020702070207,0.146714671467147,0.178217821782178
0.792618,0.153015301530153,0.172817281728173,0.151215121512151,0.220522052205221,0.15031503150315,0.190819081908191
0.845792,0.155715571557156,0.18001800180018,0.154815481548155,0.235823582358236,0.156615661566157,0.197119711971197
0.884999,0.16021602160216,0.187218721872187,0.161116111611161,0.246624662466247,0.16021602160216,0.207020702070207
0.935456,0.164716471647165,0.192619261926193,0.164716471647165,0.256525652565257,0.163816381638164,0.221422142214221
1.012743,0.165616561656166,0.201620162016202,0.165616561656166,0.267326732673267,0.171017101710171,0.234023402340234
1.09494,0.168316831683168,0.207920792079208,0.168316831683168,0.284428442844284,0.172817281728173,0.244824482448245
1.16564,0.171017101710171,0.212421242124212,0.173717371737174,0.296129612961296,0.173717371737174,0.261026102610261
1.22459,0.178217821782178,0.217821782178218,0.177317731773177,0.305130513051305,0.177317731773177,0.273627362736274
1.26553,0.185418541854185,0.222322232223222,0.183618361836184,0.312331233123312,0.181818181818182,0.286228622862286
1.31347,0.192619261926193,0.224122412241224,0.187218721872187,0.318631863186319,0.193519351935194,0.297029702970297
1.3918,0.196219621962196,0.228622862286229,0.191719171917192,0.325832583258326,0.200720072007201,0.311431143114311
1.48452,0.197119711971197,0.235823582358236,0.196219621962196,0.333933393339334,0.206120612061206,0.326732673267327
1.60755,0.200720072007201,0.243024302430243,0.201620162016202,0.34023402340234,0.207920792079208,0.343834383438344
1.713847,0.201620162016202,0.252925292529253,0.206120612061206,0.345634563456346,0.214221422142214,0.358235823582358
