"x","y"
1,0.0735294117647059
1.05,0.0772058823529412
1.1,0.0816176470588235
1.15,0.0860294117647059
1.2,0.0889705882352941
1.25,0.0911764705882353
1.3,0.0948529411764706
1.35,0.100735294117647
1.4,0.102941176470588
1.45,0.108088235294118
1.5,0.110294117647059
1.55,0.115441176470588
1.6,0.117647058823529
1.65,0.121323529411765
1.7,0.123529411764706
1.75,0.127941176470588
1.8,0.131617647058824
1.85,0.133823529411765
1.9,0.135294117647059
1.95,0.136029411764706
2,0.140441176470588
2.05,0.141176470588235
2.1,0.145588235294118
2.15,0.148529411764706
2.2,0.150735294117647
2.25,0.152941176470588
2.3,0.154411764705882
2.35,0.155882352941176
2.4,0.157352941176471
2.45,0.158088235294118
2.5,0.160294117647059
2.55,0.161764705882353
2.6,0.164705882352941
2.65,0.165441176470588
2.7,0.170588235294118
2.75,0.172058823529412
2.8,0.172794117647059
2.85,0.175735294117647
2.9,0.180147058823529
2.95,0.180147058823529
3,0.183823529411765
3.05,0.185294117647059
3.1,0.186764705882353
3.15,0.186764705882353
3.2,0.190441176470588
3.25,0.193382352941176
3.3,0.194852941176471
3.35,0.195588235294118
3.4,0.197058823529412
3.45,0.199264705882353
3.5,0.201470588235294
3.55,0.202205882352941
3.6,0.202941176470588
3.65,0.203676470588235
3.7,0.206617647058824
3.75,0.206617647058824
3.8,0.207352941176471
3.85,0.207352941176471
3.9,0.207352941176471
3.95,0.208088235294118
4,0.210294117647059
4.05,0.211029411764706
4.1,0.211764705882353
4.15,0.213235294117647
4.2,0.215441176470588
4.25,0.216911764705882
4.3,0.217647058823529
4.35,0.218382352941176
4.4,0.220588235294118
4.45,0.222058823529412
4.5,0.223529411764706
4.55,0.224264705882353
4.6,0.225
4.65,0.225735294117647
4.7,0.226470588235294
4.75,0.226470588235294
4.8,0.227941176470588
4.85,0.228676470588235
4.9,0.229411764705882
4.95,0.229411764705882
5,0.230882352941176
5.05,0.230882352941176
5.1,0.230882352941176
5.15,0.230882352941176
5.2,0.231617647058824
5.25,0.231617647058824
5.3,0.234558823529412
5.35,0.235294117647059
5.4,0.236029411764706
5.45,0.236764705882353
5.5,0.236764705882353
5.55,0.2375
5.6,0.238970588235294
5.65,0.240441176470588
5.7,0.244117647058824
5.75,0.244852941176471
5.8,0.244852941176471
5.85,0.244852941176471
5.9,0.246323529411765
5.95,0.246323529411765
6,0.247794117647059
6.05,0.247794117647059
6.1,0.248529411764706
6.15,0.25
6.2,0.252941176470588
6.25,0.253676470588235
6.3,0.255147058823529
6.35,0.256617647058824
6.4,0.258088235294118
6.45,0.259558823529412
6.5,0.259558823529412
6.55,0.259558823529412
6.6,0.260294117647059
6.65,0.261029411764706
6.7,0.2625
6.75,0.263235294117647
6.8,0.263235294117647
6.85,0.263235294117647
6.9,0.263235294117647
6.95,0.263970588235294
7,0.266911764705882
7.05,0.266911764705882
7.1,0.268382352941176
7.15,0.269117647058824
7.2,0.270588235294118
7.25,0.272058823529412
7.3,0.272794117647059
7.35,0.273529411764706
7.4,0.274264705882353
7.45,0.274264705882353
7.5,0.275
7.55,0.275
7.6,0.275
7.65,0.275
7.7,0.276470588235294
7.75,0.276470588235294
7.8,0.277941176470588
7.85,0.277941176470588
7.9,0.280147058823529
7.95,0.280147058823529
8,0.282352941176471
8.05,0.282352941176471
8.1,0.282352941176471
8.15,0.283088235294118
8.2,0.283088235294118
8.25,0.283088235294118
8.3,0.283088235294118
8.35,0.283823529411765
8.4,0.283823529411765
8.45,0.283823529411765
8.5,0.284558823529412
8.55,0.284558823529412
8.6,0.284558823529412
8.65,0.285294117647059
8.7,0.286764705882353
8.75,0.288235294117647
8.8,0.288235294117647
8.85,0.288235294117647
8.9,0.288235294117647
8.95,0.288235294117647
9,0.288235294117647
9.05,0.289705882352941
9.1,0.291176470588235
9.15,0.291176470588235
9.2,0.291911764705882
9.25,0.291911764705882
9.3,0.293382352941176
9.35,0.294117647058824
9.4,0.294117647058824
9.45,0.295588235294118
9.5,0.297058823529412
9.55,0.298529411764706
9.6,0.299264705882353
9.65,0.299264705882353
9.7,0.299264705882353
9.75,0.299264705882353
9.8,0.3
9.85,0.3
9.9,0.3
9.95,0.300735294117647
10,0.301470588235294
