architecture,instance,method,warm_start,time,objective,status,gap,best_bound,success
mnist_1layer_100hidden_acc97.7_delta_5,32760,gurobi_ReLUSOS1,ws,132.5762,4.86245652983771,OPTIMAL,0,4.86245652983771,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,32760,ipopt_ReLUQuadratic,nows,300.0993,40.5084039263074,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,32760,ipopt_ReLUQuadratic,ws,300.8034,45.588443356482,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,34865,gurobi_ReLUBigM,nows,300.8777,12.0758529864889,SUBOPTIMAL,0.760026,2.897884777918,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,34865,gurobi_ReLUBigM,ws,300.6853,,TIME_LIMIT,0.758256,2.83270579472087,FALSE
mnist_1layer_100hidden_acc97.7_delta_5,34865,gurobi_ReLUQuadratic,nows,301.2249,,TIME_LIMIT,0.738534,3.21672814226626,FALSE
mnist_1layer_100hidden_acc97.7_delta_5,34865,gurobi_ReLUQuadratic,ws,301.3521,12.0191534027694,SUBOPTIMAL,0.751171,2.99070868038302,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,34865,gurobi_ReLUSOS1,nows,302.06,,TIME_LIMIT,0.742224,3.17133189014937,FALSE
mnist_1layer_100hidden_acc97.7_delta_5,34865,gurobi_ReLUSOS1,ws,302.0012,12.0191534027694,SUBOPTIMAL,0.744237,3.07405951085292,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,34865,ipopt_ReLUQuadratic,nows,300.3931,38.2597430246945,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,34865,ipopt_ReLUQuadratic,ws,300.9386,45.1651457863389,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,3608,gurobi_ReLUBigM,nows,300.7811,6.82058613919811,SUBOPTIMAL,0.519332,3.27843659644505,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,3608,gurobi_ReLUBigM,ws,301.0178,7.12397679052297,SUBOPTIMAL,0.809369,1.35805029404984,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,3608,gurobi_ReLUQuadratic,nows,301.232,7.16231501936496,SUBOPTIMAL,0.766772,1.67045172821656,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,3608,gurobi_ReLUQuadratic,ws,301.2023,6.88123666678078,SUBOPTIMAL,0.765117,1.61628355088234,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,3608,gurobi_ReLUSOS1,nows,302.3615,7.16231501936496,SUBOPTIMAL,0.766772,1.67045172821656,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,3608,gurobi_ReLUSOS1,ws,302.5394,6.88123666678078,SUBOPTIMAL,0.761872,1.6386126620321,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,3608,ipopt_ReLUQuadratic,nows,300.9305,26.7407214195464,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,3608,ipopt_ReLUQuadratic,ws,300.4164,24.5937967843804,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,39703,gurobi_ReLUBigM,nows,301.0784,12.1704716039489,SUBOPTIMAL,0.715644,3.46075030097322,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,39703,gurobi_ReLUBigM,ws,300.752,12.1704716039489,SUBOPTIMAL,0.536472,5.64134992530122,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,39703,gurobi_ReLUQuadratic,nows,301.2213,12.2794692360533,SUBOPTIMAL,0.643543,4.37709998930835,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,39703,gurobi_ReLUQuadratic,ws,301.4787,12.1704716039489,SUBOPTIMAL,0.686676,3.81329899555116,TRUE
