"","x","1","2"
"1",0.017169,0.000451263537906137,
"2",0.017457,0.000902527075812274,
"3",0.017493,0.00135379061371841,
"4",0.017749,0.00180505415162455,
"5",0.018055,0.00225631768953069,
"6",0.018345,0.00270758122743682,
"7",0.018599,0.00315884476534296,
"8",0.018631,0.0036101083032491,
"9",0.018762,0.00406137184115523,
"10",0.018913,0.00451263537906137,
"11",0.019028,0.00496389891696751,
"12",0.019155,0.00541516245487365,
"13",0.019387,0.00586642599277978,
"14",0.019524,0.00631768953068592,
"15",0.019751,0.00676895306859206,
"16",0.019882,0.0072202166064982,
"17",0.019931,0.00767148014440433,
"18",0.020497,0.00812274368231047,
"19",0.020601,0.00857400722021661,
"20",0.020674,0.00902527075812274,
"21",0.020825,0.00947653429602888,
"22",0.021379,0.00992779783393502,
"23",0.021469,0.0103790613718412,
"24",0.021498,,0.00053248136315229
"25",0.021553,0.0108303249097473,
"26",0.021555,0.0112815884476534,
"27",0.021871,0.0117328519855596,
"28",0.021971,0.0121841155234657,
"29",0.022021,0.0126353790613718,
"30",0.022069,,0.00106496272630458
"31",0.022284,,0.00159744408945687
"32",0.022377,0.013086642599278,
"33",0.02249,0.0135379061371841,
"34",0.022536,0.0139891696750903,
"35",0.022702,0.0144404332129964,
"36",0.022854,0.0148916967509025,
"37",0.02286,0.0153429602888087,
"38",0.023094,0.0157942238267148,
"39",0.023454,0.0162454873646209,
"40",0.023562,,0.00212992545260916
"41",0.023687,0.0166967509025271,
"42",0.023699,0.0171480144404332,
"43",0.023733,,0.00266240681576145
"44",0.023811,0.0175992779783394,
"45",0.023812,0.0180505415162455,
"46",0.024016,,0.00319488817891374
"47",0.024226,0.0185018050541516,
"48",0.024373,0.0189530685920578,
"49",0.024613,0.0194043321299639,
"50",0.024624,0.01985559566787,
"51",0.02466,0.0203068592057762,
"52",0.024781,,0.00372736954206603
"53",0.02545,0.0207581227436823,
"54",0.025928,0.0212093862815884,
"55",0.02619,,0.00425985090521832
"56",0.026439,0.0216606498194946,
"57",0.026559,0.0221119133574007,
"58",0.026614,0.0225631768953069,
"59",0.026644,0.023014440433213,
"60",0.0267,0.0234657039711191,
"61",0.026924,0.0239169675090253,
"62",0.026925,,0.00479233226837061
"63",0.026986,0.0243682310469314,
"64",0.027036,0.0248194945848375,
"65",0.027151,0.0252707581227437,
"66",0.027349,0.0257220216606498,
"67",0.027509,0.026173285198556,
"68",0.027571,0.0266245487364621,
"69",0.027615,0.0270758122743682,
"70",0.027653,0.0275270758122744,
"71",0.027848,0.0279783393501805,
"72",0.027851,0.0284296028880866,
"73",0.027944,0.0288808664259928,
"74",0.027968,0.0293321299638989,
"75",0.028161,0.0297833935018051,
"76",0.028163,0.0302346570397112,
"77",0.028307,0.0306859205776173,
"78",0.028318,0.0311371841155235,
"79",0.028449,0.0315884476534296,
"80",0.028519,0.0320397111913357,
"81",0.02853,,0.0053248136315229
"82",0.028699,,0.00585729499467519
"83",0.028731,0.0324909747292419,
"84",0.028835,,0.00638977635782748
"85",0.028969,0.032942238267148,
"86",0.029079,0.0333935018050542,
"87",0.029081,,0.00692225772097977
"88",0.029088,,0.00745473908413206
"89",0.029098,0.0338447653429603,
"90",0.029176,0.0342960288808664,
"91",0.029179,0.0347472924187726,
"92",0.029213,0.0351985559566787,
"93",0.029283,0.0356498194945848,
"94",0.029315,0.036101083032491,
"95",0.029512,,0.00798722044728434
"96",0.02957,0.0365523465703971,
"97",0.029798,0.0370036101083032,
"98",0.0298,0.0374548736462094,
"99",0.029819,,0.00851970181043664
"100",0.029883,0.0379061371841155,
"101",0.03,0.0383574007220217,
"102",0.030031,0.0388086642599278,
"103",0.03005,0.0392599277978339,
"104",0.03009,0.0397111913357401,
"105",0.030232,,0.00905218317358892
"106",0.030245,0.0401624548736462,
"107",0.030282,0.0406137184115523,
"108",0.030286,,0.00958466453674121
"109",0.030293,0.0410649819494585,
"110",0.03056,0.0415162454873646,
"111",0.030574,0.0419675090252708,
"112",0.030752,0.0424187725631769,
"113",0.030813,,0.0101171458998935
"114",0.031125,0.042870036101083,
"115",0.031145,0.0433212996389892,
"116",0.03127,0.0437725631768953,
"117",0.03128,0.0442238267148014,
"118",0.031496,0.0446750902527076,
"119",0.03155,0.0451263537906137,
"120",0.031618,0.0455776173285199,
"121",0.031647,0.046028880866426,
"122",0.031841,0.0464801444043321,
"123",0.031878,,0.0106496272630458
"124",0.031963,0.0469314079422383,
"125",0.032129,,0.0111821086261981
"126",0.032248,0.0473826714801444,
"127",0.032587,,0.0117145899893504
"128",0.03264,0.0478339350180505,
"129",0.032658,0.0482851985559567,
"130",0.032748,0.0487364620938628,
"131",0.032803,0.049187725631769,
"132",0.032901,0.0496389891696751,
"133",0.033047,0.0500902527075812,
"134",0.033155,,0.0122470713525027
"135",0.033189,,0.012779552715655
"136",0.033199,,0.0133120340788072
"137",0.033208,,0.0138445154419595
"138",0.033275,0.0505415162454874,
"139",0.033357,0.0509927797833935,
"140",0.033713,,0.0143769968051118
"141",0.033844,0.0514440433212996,
"142",0.033948,0.0518953068592058,
"143",0.033984,0.0523465703971119,
"144",0.034068,0.0527978339350181,
"145",0.034085,0.0532490974729242,
"146",0.034159,0.0537003610108303,
"147",0.034374,0.0541516245487365,
"148",0.034928,,0.0149094781682641
"149",0.035092,0.0546028880866426,
"150",0.03536,,0.0154419595314164
"151",0.035399,0.0550541516245487,
"152",0.035501,0.0555054151624549,
"153",0.03568,0.055956678700361,
"154",0.035911,,0.0159744408945687
"155",0.03604,0.0564079422382671,
