slurm-16467097_10127.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/OR5x250-0.25_9.dat-0.aux,MILP,3600.03,Infeasible,TimeLimit,1e+20,1e+20,64153,-128306,64153
slurm-16467097_10133.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/OR5x250-0.25_9.dat-100.aux,MILP,3600.03,Infeasible,TimeLimit,1e+20,1e+20,89926,-179852,89926
slurm-16467097_10139.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/OR5x250-0.25_9.dat-50.aux,MILP,3600.04,Infeasible,TimeLimit,1e+20,1e+20,75130,-150260,75130
slurm-16467097_1013.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-general/toll-like_0_100.aux,MILP,3600.12,Infeasible,TimeLimit,1e+20,1e+20,615,-1377,468
slurm-16467097_10145.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/OR5x250-0.50_10.dat-0.aux,MILP,3600.02,Infeasible,TimeLimit,1e+20,1e+20,108278,-216556,108278
slurm-16467097_10151.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/OR5x250-0.50_10.dat-100.aux,MILP,3600,Infeasible,TimeLimit,1e+20,1e+20,127275,-254550,127275
slurm-16467097_10157.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/OR5x250-0.50_10.dat-50.aux,MILP,3600.01,Infeasible,TimeLimit,1e+20,1e+20,117313,-234626,117313
slurm-16467097_10163.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/OR5x250-0.50_1.dat-0.aux,MILP,3600.05,Infeasible,TimeLimit,1e+20,1e+20,111259,-222518,111259
slurm-16467097_10169.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/OR5x250-0.50_1.dat-100.aux,MILP,3600.03,Infeasible,TimeLimit,1e+20,1e+20,133624,-267248,133624
slurm-16467097_10175.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/OR5x250-0.50_1.dat-50.aux,MILP,3600.08,Infeasible,TimeLimit,1e+20,1e+20,121875,-243750,121875
slurm-16467097_1017.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-general/toll-like_50_50.aux,MILP,3600.01,Infeasible,TimeLimit,1e+20,1e+20,615,-1377,468
slurm-16467097_10181.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/OR5x250-0.50_2.dat-0.aux,MILP,3600.05,Infeasible,TimeLimit,1e+20,1e+20,111920,-223840,111920
slurm-16467097_10187.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/OR5x250-0.50_2.dat-100.aux,MILP,3600,Infeasible,TimeLimit,1e+20,1e+20,131707,-263414,131707
slurm-16467097_10193.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/OR5x250-0.50_2.dat-50.aux,MILP,3600.05,Infeasible,TimeLimit,1e+20,1e+20,119912,-239824,119912
slurm-16467097_10199.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/OR5x250-0.50_3.dat-0.aux,MILP,3600.05,Infeasible,TimeLimit,1e+20,1e+20,110389,-220778,110389
slurm-16467097_101.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-general/cap6000-0.900000.aux,MILP,3600,Infeasible,TimeLimit,1e+20,1e+20,2.38214e+06,-2.33631e+06,4.81012e+06
