instance_F10_C20__R150__0.txt,2,9,0.0,-0.0,1.5919229984283447,2,8,8,8
instance_F10_C20__R150__0.txt,3,5,0.0,-0.0,0.36826181411743164,2,6,3,3
instance_F10_C20__R150__0.txt,4,5,-1.000444171950221e-10,-0.0,0.34857177734375,2,3,3,3
instance_F10_C20__R150__1.txt,2,5,-446.70756685024804,-446.70756685024793,6.032639980316162,2,17,12,12
instance_F10_C20__R150__1.txt,3,8,-231.29110114839503,-231.2911011251599,18.659047842025757,2,22,6,37
instance_F10_C20__R150__1.txt,4,24,-1.0176581799470341e-10,-0.0,28.999082803726196,2,17,3,37
instance_F10_C20__R150__2.txt,2,7,-303.57271682086025,-303.57271682085997,9.632714986801147,2,17,12,12
instance_F10_C20__R150__2.txt,3,9,-80.84861048209996,-80.84861048209817,7.349090099334717,2,22,6,22
instance_F10_C20__R150__2.txt,4,11,-1.000017846308765e-10,-0.0,2.718526840209961,2,17,3,7
instance_F10_C20__R150__3.txt,2,7,-306.05993586803504,-306.05993586803504,8.418412923812866,2,17,12,17
instance_F10_C20__R150__3.txt,3,12,-136.79811002203502,-136.7981100220349,18.98363208770752,2,22,6,22
instance_F10_C20__R150__3.txt,4,17,4.440892098500626e-16,-0.0,12.469368934631348,2,17,3,7
instance_F10_C20__R150__4.txt,2,5,-482.8406593668101,-482.8406593184254,5.577177047729492,2,17,17,30
instance_F10_C20__R150__4.txt,3,9,-290.26698839471413,-290.26698839471203,16.154853105545044,2,22,22,37
instance_F10_C20__R150__4.txt,4,14,-103.63529829876599,-103.63529829876558,37.78796195983887,2,17,7,17
instance_F10_C20__R150__5.txt,2,5,-707.5417524179915,-707.5417524179898,9.281590223312378,2,12,17,30
instance_F10_C20__R150__5.txt,3,4,-444.8844376872701,-444.8844376872621,7.96000599861145,2,12,12,58
instance_F10_C20__R150__5.txt,4,7,-176.81536715751014,-176.81536715746188,11.077543020248413,2,7,3,7
instance_F10_C20__R150__6.txt,2,6,-368.3958903409799,-368.3958903409801,6.120942831039429,2,12,12,12
instance_F10_C20__R150__6.txt,3,13,-101.14592015234007,-101.14592015233937,7.535077095031738,2,12,6,6
instance_F10_C20__R150__6.txt,4,14,8.659739592076221e-15,-0.0,2.950990915298462,2,7,3,7
