instance_F10_C30__R300__4.txt,2,Optimal,Proved,-82.9367,68.4846,23,0,0,822,2
instance_F10_C30__R300__4.txt,2,Optimal,Proved,-82.9367,177.644,27,0,0,1748,3
instance_F10_C30__R300__4.txt,2,Optimal,Proved,-82.9367,350.519,25,0,0,2615,4
instance_F10_C30__R300__5.txt,2,Optimal,Proved,-248.187,3.25249,13,0,0,247,1
instance_F10_C30__R300__5.txt,2,Optimal,Proved,-248.187,11.4368,13,0,0,646,2
instance_F10_C30__R300__5.txt,2,Optimal,Proved,-248.187,26.3138,13,0,0,1560,3
instance_F10_C30__R300__5.txt,2,Optimal,Proved,-248.187,57.0278,13,0,0,3185,4
instance_F10_C30__R300__6.txt,2,Optimal,Proved,-200.336,19.9744,23,0,0,383,1
instance_F10_C30__R300__6.txt,2,Optimal,Proved,-200.336,105.069,27,0,0,1033,2
instance_F10_C30__R300__6.txt,2,Optimal,Proved,-200.336,249.422,27,0,0,2292,3
instance_F10_C30__R300__6.txt,2,Optimal,Proved,-200.336,597.777,27,0,0,4857,4
instance_F10_C30__R300__7.txt,2,Optimal,Proved,-109.548,9.85016,21,0,0,286,1
instance_F10_C30__R300__7.txt,2,Optimal,Proved,-109.548,22.9003,17,0,0,550,2
instance_F10_C30__R300__7.txt,2,Optimal,Proved,-109.548,60.1062,17,0,0,977,3
instance_F10_C30__R300__7.txt,2,Optimal,Proved,-109.548,78.3174,15,0,0,1370,4
instance_F10_C30__R300__8.txt,2,Optimal,Proved,-160.403,43.0271,53,0,0,910,1
instance_F10_C30__R300__8.txt,2,Optimal,Proved,-160.403,191.011,61,0,0,2618,2
instance_F10_C30__R300__8.txt,2,Optimal,Proved,-160.403,431.49,45,0,0,4165,3
instance_F10_C30__R300__8.txt,2,Optimal,Proved,-160.403,1275.23,53,0,0,10455,4
instance_F10_C30__R300__9.txt,2,Optimal,Proved,-240.4,42.2139,79,0,0,1270,1
instance_F10_C30__R300__9.txt,2,Optimal,Proved,-240.4,175.324,61,0,0,3181,2
instance_F10_C30__R300__9.txt,2,Optimal,Proved,-240.4,202.187,25,0,0,3318,3
instance_F10_C30__R300__9.txt,2,Optimal,Proved,-240.4,989.544,43,0,0,11568,4
instance_F10_C40__R300__0.txt,2,Optimal,Proved,-362.143,4.10285,11,0,0,167,1
instance_F10_C40__R300__0.txt,2,Optimal,Proved,-362.143,20.6262,9,6.27856e-16,2.27374e-13,407,2
instance_F10_C40__R300__0.txt,2,Optimal,Proved,-362.143,106.356,9,0,0,808,3
instance_F10_C40__R300__0.txt,2,Optimal,Proved,-362.143,125.683,9,0,0,1365,4
instance_F10_C40__R300__1.txt,2,Optimal,Proved,-213.27,39.7024,45,0,0,639,1
instance_F10_C40__R300__1.txt,2,Optimal,Proved,-213.27,462.562,37,0,0,1655,2
instance_F10_C40__R300__1.txt,2,Optimal,Proved,-213.27,1089.67,27,0,0,3478,3
instance_F10_C40__R300__1.txt,2,Optimal,Proved,-213.27,862.137,7,1.33266e-16,2.84217e-14,1926,4
instance_F10_C40__R300__2.txt,2,Optimal,Proved,-312.637,58.789,35,0,0,560,1
instance_F10_C40__R300__2.txt,2,Optimal,Proved,-312.637,733.748,21,0,0,1242,2
instance_F10_C40__R300__2.txt,2,Optimal,Proved,-312.637,2131.39,25,0,0,2748,3
instance_F10_C40__R300__2.txt,2,Fail,NotSpecified,-234.525,3600.01,5,0.442229,103.714,928,4
instance_F10_C40__R300__3.txt,2,Optimal,Proved,-0,2.46646,27,0,0,161,1
instance_F10_C40__R300__3.txt,2,Optimal,Proved,-0,9.67177,27,0,0,284,2
