slurm-9377767.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5010W17.KNP.aux,10,1,10,11,10,1,10,10,1.27973,0.853326,0.000314,0.000314,1465,1465,105,1,0,0,
slurm-9377768.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5010W18.KNP.aux,10,1,10,11,10,1,10,10,1.3577,0.927443,0.00032,0.00032,1580,1580,108,1,0,0,
slurm-9377769.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5010W19.KNP.aux,10,1,10,11,10,1,10,10,1.63413,1.15847,0.000253,0.000253,2055,2055,120,1,0,0,
slurm-9377770.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5010W20.KNP.aux,10,1,10,11,10,1,10,10,0.987745,0.627615,0.000291,0.000291,1998,1998,90,1,0,0,
slurm-9377771.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5020W01.KNP.aux,20,1,20,21,20,1,20,20,7203.92,6937.91,0.035448,0.035448,0,5972,7362,1,0,0,
slurm-9377772.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5020W02.KNP.aux,20,1,20,21,20,1,20,20,7203.19,6944.85,0.036273,0.036273,0,5704,7299,1,0,0,
slurm-9377773.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5020W03.KNP.aux,20,1,20,21,20,1,20,20,7204.11,6915.53,0.038198,0.038198,0,4775,7404,1,0,0,
slurm-9377774.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5020W04.KNP.aux,20,1,20,21,20,1,20,20,7203.85,6985.56,0.040874,0.040874,0,5507,6935,1,0,0,
slurm-9377775.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5020W05.KNP.aux,20,1,20,21,20,1,20,20,7203.88,6969.55,0.026927,0.026927,0,6223,7140,1,0,0,
slurm-9377776.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5020W06.KNP.aux,20,1,20,21,20,1,20,20,7202.51,6971.74,0.026036,0.026036,0,3958,7263,1,0,0,
slurm-9377777.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5020W07.KNP.aux,20,1,20,21,20,1,20,20,7202.68,6949.96,0.03501,0.03501,0,6381,7581,1,0,0,
slurm-9377778.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5020W08.KNP.aux,20,1,20,21,20,1,20,20,7203.43,6986.79,0.023541,0.023541,0,5987,6833,1,0,0,
slurm-9377779.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5020W09.KNP.aux,20,1,20,21,20,1,20,20,7204.13,6958.59,0.024139,0.024139,0,5230,7254,1,0,0,
slurm-9377780.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5020W10.KNP.aux,20,1,20,21,20,1,20,20,7203.78,6981.08,0.024098,0.024098,0,5954,6963,1,0,0,
slurm-9377781.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5020W11.KNP.aux,20,1,20,21,20,1,20,20,7202.68,6995.06,0.027644,0.027644,0,5000,6494,1,0,0,
slurm-9377782.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5020W12.KNP.aux,20,1,20,21,20,1,20,20,7203.46,6970.75,0.043113,0.043113,0,6038,6535,1,0,0,
slurm-9377783.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5020W13.KNP.aux,20,1,20,21,20,1,20,20,7203.78,6947.95,0.030213,0.030213,0,5960,6985,1,0,0,
slurm-9377784.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5020W14.KNP.aux,20,1,20,21,20,1,20,20,7203.08,6959.87,0.034613,0.034613,0,4648,7212,1,0,0,
slurm-9377785.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5020W15.KNP.aux,20,1,20,21,20,1,20,20,7202.43,6969.98,0.02666,0.02666,0,4538,6743,1,0,0,
slurm-9377786.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5020W16.KNP.aux,20,1,20,21,20,1,20,20,7204.75,6960.18,0.049506,0.049506,0,5914,7203,1,0,0,
slurm-9377787.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5020W17.KNP.aux,20,1,20,21,20,1,20,20,7204.24,6961.79,0.032214,0.032214,0,6047,7036,1,0,0,
slurm-9377788.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5020W18.KNP.aux,20,1,20,21,20,1,20,20,7203.31,6983.35,0.033419,0.033419,0,4411,6970,1,0,0,
slurm-9377789.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5020W19.KNP.aux,20,1,20,21,20,1,20,20,7203.7,6979.7,0.024644,0.024644,0,5751,6980,1,0,0,
slurm-9377790.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/K5020W20.KNP.aux,20,1,20,21,20,1,20,20,7203.83,6973.51,0.035282,0.035282,0,4976,7046,1,0,0,
slurm-9377791.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/knapsack.aux,7,1,7,8,7,1,7,7,0.042966,0.016833,0.000189,0.000189,0,0,1,1,0,0,
slurm-9377792.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/p0033-0.500000.aux,17,0,16,16,16,5,17,11,0.390512,0.376837,0.000236,0.000236,3095,3095,1,1,0,0,
slurm-9377793.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/pb5.dat-0.aux,20,1,20,29,20,9,20,20,7202.33,6925.28,0.069288,0.069288,0,1894,6822,1,0,0,
slurm-9377794.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/pb5.dat-100.aux,20,9,20,21,20,1,20,20,7203.71,6963.58,0.033724,0.033724,0,2418,7170,1,0,0,
slurm-9377795.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/pb5.dat-50.aux,20,5,20,25,20,5,20,20,7202.94,6960.84,0.050957,0.050957,0,1856,6365,1,0,0,
slurm-9377796.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/pet2.dat-0.aux,10,1,10,19,10,9,10,10,1.91452,1.28213,0.000298,0.000298,25295,25295,149,1,0,0,
slurm-9377797.out:result,/home/utr_lefebvre/AF-bilevel-ccg/code/data/milp/pet2.dat-100.aux,10,9,10,11,10,1,10,10,1.93338,1.37586,0.000272,0.000272,38833,38833,147,1,0,0,
