result,instance,standard_TL,method,status,reason,has_large_scaled,iteration,total_time,master_time,adver_time,best_bound,best_obj,rel_gap,abs_gap,adversarial_unexpected_status,with_heuristic,n_facilities,n_customers,Gamma,blank
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C40__R300__1.txt,60.000000,CG,   Optimal,   Proved,0,9,7.42054,6.81141,0.475788,0,0,0,0,,1,10,40,3,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C20__R200__5.txt,inf,STD,   Optimal,   Proved,0,9,17.6319,16.9172,0.644787,0,0,0,0,,0,10,20,4,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C30__R300__4.txt,120.000000,CG,   Optimal,   Proved,1,12,10800.46,10788.63,11.54,-2495.00,-1126.00,121.58,1369.00,,0,15,30,3.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C20__R200__7.txt,60.000000,CG,   Optimal,   Proved,1,11,543.66,502.14,41.40,-4174.00,-4174.00,0.00,0.00,,1,10,20,4.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C30__R200__9.txt,120.000000,CG,   Optimal,   Proved,0,9,6.10005,4.98846,1.00228,0,0,0,0,,0,10,30,3,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C20__R300__3.txt,60.000000,CG,   Optimal,   Proved,0,8,1.83449,1.16625,0.60009,-354,-354,1.2846e-13,4.54747e-13,,0,10,20,3,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C20__R200__4.txt,120.000000,CG,   Optimal,   Proved,1,11,4663.84,4658.01,5.65,-3034.00,-3034.00,0.00,0.00,,0,15,20,3.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C40__R200__9.txt,120.000000,CG,   Optimal,   Proved,1,4,5495.34,5483.77,11.48,-7860.00,-7860.00,0.00,0.00,,0,15,40,3.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C20__R200__8.txt,120.000000,CG,   Optimal,   Proved,1,16,10800.46,10798.91,1.30,-713.00,-261.00,173.18,452.00,,0,15,20,3.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C30__R300__9.txt,60.000000,CG,   Optimal,   Proved,0,13,27.5856,26.601,0.824898,0,0,0,0,,1,10,30,4,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C30__R200__3.txt,60.000000,CG,   Optimal,   Proved,0,12,47.4716,40.7182,6.59318,-988,-988,9.20541e-14,9.09495e-13,,1,10,30,4,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C20__R300__6.txt,60.000000,CG,   Optimal,   Proved,0,7,1.24898,0.82348,0.345784,0,0,0,0,,1,15,20,3,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C20__R300__7.txt,60.000000,CG,   Optimal,   Proved,1,33,10800.57,10788.13,12.03,-890.00,-890.00,0.00,0.00,,0,10,20,3.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C20__R300__1.txt,60.000000,CG,   Optimal,   Proved,1,9,1859.66,1853.80,5.72,-1686.00,-1686.00,0.00,0.00,,1,15,20,4.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C40__R200__3.txt,inf,STD,Infeasible,        -,1,3,10807.3,10806.8,0.425965,1e+20,-377,2.65252e+19,1e+20,,0,10,40,3,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C20__R300__5.txt,120.000000,CG,   Optimal,   Proved,0,11,117.778,116.965,0.724561,0,0,0,0,,0,10,20,4,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C20__R200__3.txt,120.000000,CG,   Optimal,   Proved,0,6,2.55022,2.29738,0.206878,0,0,0,0,,0,10,20,4,
