x,BigM - Optimality KKT BigM_2,BigM - Optimality KKT SOS1_2,BigM - Optimality KKT SOS1_3,BigM - Optimality KKT BigM_3
0,0.910416666666667,0.391666666666667,0.235416666666667,0.45625
0.01010101010101,0.958333333333333,0.39375,0.241666666666667,0.485416666666667
0.0202020202020201,0.966666666666667,0.395833333333333,0.245833333333333,0.50625
0.0303030303030301,0.970833333333333,0.4,0.245833333333333,0.520833333333333
0.0404040404040402,0.972916666666667,0.40625,0.247916666666667,0.5375
0.0505050505050502,0.972916666666667,0.4125,0.25625,0.558333333333333
0.0606060606060603,0.972916666666667,0.414583333333333,0.26875,0.570833333333333
0.0707070707070703,0.975,0.422916666666667,0.275,0.59375
0.0808080808080804,0.977083333333333,0.429166666666667,0.285416666666667,0.608333333333333
0.0909090909090904,0.977083333333333,0.435416666666667,0.302083333333333,0.639583333333333
0.1010101010101,0.977083333333333,0.45,0.325,0.666666666666667
0.111111111111111,0.979166666666667,0.464583333333333,0.341666666666667,0.695833333333333
0.121212121212121,0.979166666666667,0.479166666666667,0.358333333333333,0.735416666666667
0.131313131313131,0.979166666666667,0.489583333333333,0.379166666666667,0.758333333333333
0.141414141414141,0.979166666666667,0.50625,0.4,0.78125
0.151515151515151,0.98125,0.51875,0.4125,0.797916666666667
0.161616161616161,0.983333333333333,0.53125,0.43125,0.825
0.171717171717171,0.983333333333333,0.55,0.445833333333333,0.839583333333333
0.181818181818181,0.985416666666667,0.564583333333333,0.464583333333333,0.852083333333333
0.191919191919191,0.985416666666667,0.58125,0.483333333333333,0.8625
0.202020202020201,0.985416666666667,0.5875,0.49375,0.870833333333333
0.212121212121211,0.985416666666667,0.6,0.508333333333333,0.883333333333333
0.222222222222221,0.985416666666667,0.6125,0.522916666666667,0.897916666666667
0.232323232323231,0.985416666666667,0.616666666666667,0.535416666666667,0.9125
0.242424242424241,0.985416666666667,0.627083333333333,0.55,0.914583333333333
0.252525252525251,0.985416666666667,0.633333333333333,0.55625,0.91875
0.262626262626261,0.985416666666667,0.64375,0.560416666666667,0.922916666666667
0.272727272727271,0.985416666666667,0.65,0.564583333333333,0.922916666666667
0.282828282828281,0.9875,0.658333333333333,0.566666666666667,0.925
0.292929292929291,0.9875,0.666666666666667,0.575,0.927083333333333
0.303030303030301,0.9875,0.66875,0.58125,0.93125
0.313131313131311,0.9875,0.66875,0.589583333333333,0.939583333333333
0.323232323232322,0.9875,0.670833333333333,0.589583333333333,0.939583333333333
0.333333333333332,0.9875,0.679166666666667,0.6,0.947916666666667
0.343434343434342,0.9875,0.683333333333333,0.610416666666667,0.952083333333333
0.353535353535352,0.9875,0.6875,0.616666666666667,0.954166666666667
0.363636363636362,0.9875,0.6875,0.625,0.9625
0.373737373737372,0.9875,0.6875,0.639583333333333,0.96875
0.383838383838382,0.9875,0.6875,0.641666666666667,0.970833333333333
0.393939393939392,0.9875,0.691666666666667,0.652083333333333,0.975
0.404040404040402,0.9875,0.691666666666667,0.6625,0.979166666666667
0.414141414141412,0.9875,0.695833333333333,0.66875,0.979166666666667
0.424242424242422,0.9875,0.697916666666667,0.68125,0.983333333333333
0.434343434343432,0.9875,0.702083333333333,0.704166666666667,0.983333333333333
0.444444444444442,0.989583333333333,0.702083333333333,0.722916666666667,0.983333333333333
0.454545454545452,0.989583333333333,0.70625,0.739583333333333,0.983333333333333
0.464646464646462,0.989583333333333,0.7125,0.75,0.983333333333333
0.474747474747472,0.991666666666667,0.714583333333333,0.752083333333333,0.983333333333333
0.484848484848482,0.991666666666667,0.727083333333333,0.752083333333333,0.983333333333333
0.494949494949492,0.991666666666667,0.735416666666667,0.754166666666667,0.983333333333333
0.505050505050502,0.991666666666667,0.747916666666667,0.75625,0.983333333333333
0.515151515151512,0.991666666666667,0.75,0.75625,0.983333333333333
0.525252525252523,0.991666666666667,0.754166666666667,0.75625,0.983333333333333
0.535353535353533,0.991666666666667,0.758333333333333,0.75625,0.983333333333333
0.545454545454543,0.991666666666667,0.760416666666667,0.758333333333333,0.983333333333333
0.555555555555553,0.991666666666667,0.766666666666667,0.758333333333333,0.983333333333333
0.565656565656563,0.99375,0.772916666666667,0.760416666666667,0.985416666666667
0.575757575757573,0.995833333333333,0.775,0.760416666666667,0.985416666666667
0.585858585858583,0.995833333333333,0.777083333333333,0.7625,0.985416666666667
0.595959595959593,0.997916666666667,0.779166666666667,0.766666666666667,0.989583333333333
0.606060606060603,0.997916666666667,0.783333333333333,0.772916666666667,0.989583333333333
0.616161616161613,0.997916666666667,0.783333333333333,0.777083333333333,0.991666666666667
0.626262626262623,0.997916666666667,0.783333333333333,0.783333333333333,0.991666666666667
0.636363636363633,0.997916666666667,0.785416666666667,0.802083333333333,0.995833333333333
0.646464646464643,0.997916666666667,0.7875,0.820833333333333,0.995833333333333
0.656565656565653,0.997916666666667,0.7875,0.854166666666667,0.995833333333333
0.666666666666663,0.997916666666667,0.8,0.8875,0.997916666666667
0.676767676767673,0.997916666666667,0.814583333333333,0.916666666666667,0.997916666666667
0.686868686868683,0.997916666666667,0.829166666666667,0.9375,0.997916666666667
0.696969696969693,0.997916666666667,0.854166666666667,0.9625,0.997916666666667
0.707070707070703,0.997916666666667,0.895833333333333,0.983333333333333,0.997916666666667
0.717171717171713,0.997916666666667,0.939583333333333,0.997916666666667,0.997916666666667
0.727272727272724,0.997916666666667,0.952083333333333,1,0.997916666666667
0.737373737373733,0.997916666666667,0.9625,1,0.997916666666667
0.747474747474744,0.997916666666667,0.970833333333333,1,0.997916666666667
0.757575757575754,0.997916666666667,0.98125,1,0.997916666666667
0.767676767676764,0.997916666666667,0.98125,1,1
0.777777777777774,1,0.98125,1,1
0.787878787878784,1,0.98125,1,1
0.797979797979794,1,0.98125,1,1
0.808080808080804,1,0.98125,1,1
0.818181818181814,1,0.98125,1,1
0.828282828282824,1,0.98125,1,1
0.838383838383834,1,0.98125,1,1
0.848484848484844,1,0.98125,1,1
0.858585858585854,1,0.98125,1,1
0.868686868686864,1,0.98125,1,1
0.878787878787874,1,0.98125,1,1
0.888888888888884,1,0.98125,1,1
0.898989898989894,1,0.98125,1,1
0.909090909090904,1,0.98125,1,1
0.919191919191914,1,0.98125,1,1
0.929292929292924,1,0.98125,1,1
0.939393939393934,1,0.98125,1,1
