instance,problem,approach,n_jobs,gamma,k,time,objective,n_active_col,quality,gap,rule_for_branching
instance_n15_r20_d5_4.txt,2,colgen-ext,15,8,0,1.308,236.000,1,Optimal,0.00000,default
instance_n10_r10_d5_0.txt,2,colgen-ext,10,3,0,1.305,338.000,1,Optimal,0.00000,default
instance_n15_r5_d10_4.txt,2,colgen-ext,15,5,0,113.447,289.000,1,Optimal,0.00000,default
instance_n15_r10_d5_1.txt,2,colgen-ext,15,2,0,144.538,371.109,5,Optimal,0.00000,default
instance_n10_r30_d20_0.txt,2,colgen-ext,10,4,0,9.123,42.000,1,Optimal,0.00000,default
instance_n5_r30_d30_4.txt,2,colgen-ext,5,3,0,0.921,88.000,1,Optimal,0.00000,default
instance_n15_r5_d5_2.txt,2,colgen-ext,15,5,0,62.178,461.000,1,Optimal,0.00000,default
instance_n10_r10_d10_3.txt,2,colgen-ext,10,4,0,0.991,229.000,1,Optimal,0.00000,default
instance_n10_r20_d30_3.txt,2,colgen-ext,10,6,0,23.019,81.000,1,Optimal,0.00000,default
instance_n10_r5_d5_2.txt,2,colgen-ext,10,7,0,0.851,241.000,1,Optimal,0.00000,default
instance_n10_r10_d10_1.txt,2,colgen-ext,10,3,0,1.436,79.000,1,Optimal,0.00000,default
instance_n5_r5_d30_3.txt,2,colgen-ext,5,2,0,4.750,88.000,1,Optimal,0.00000,default
instance_n10_r20_d30_1.txt,2,colgen-ext,10,1,0,60.991,140.424,2,Optimal,0.00000,default
instance_n10_r30_d30_4.txt,2,colgen-ext,10,5,0,4.992,101.000,1,Optimal,0.00000,default
instance_n5_r30_d20_0.txt,2,colgen-ext,5,2,0,0.533,81.000,1,Optimal,0.00000,default
instance_n5_r10_d20_2.txt,2,colgen-ext,5,1,0,0.729,40.088,2,Optimal,0.00000,default
instance_n15_r30_d10_0.txt,2,colgen-ext,15,8,0,4.236,182.000,1,Optimal,0.00000,default
instance_n15_r20_d20_1.txt,2,colgen-ext,15,4,0,356.893,283.784,3,Optimal,0.00000,default
instance_n15_r20_d5_3.txt,2,colgen-ext,15,4,0,3.251,238.000,1,Optimal,0.00000,default
instance_n15_r30_d5_0.txt,2,colgen-ext,15,2,0,4.006,342.000,1,Optimal,0.00000,default
instance_n15_r5_d10_3.txt,2,colgen-ext,15,9,0,6.110,347.000,1,Optimal,0.00000,default
