result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/FLP/data/instance_F10_C20__R200__3.txt,0.000000,CG,Optimal,Proved,1,6,38.219,37.4702,0.44,0,0,0,0,-2365.13,2177.24,,0,10,20,4,
result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/FLP/data/instance_F10_C20__R200__3.txt,0.000000,CG,Optimal,Proved,1,6,28.5849,27.8911,0.418429,-6.02085e-10,-6.02085e-10,0,0,-2365.13,2177.24,,1,10,20,4,
result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/FLP/data/instance_F10_C20__R200__3.txt,inf,STD,Optimal,Proved,0,6,2.1739,1.54264,0.430599,0,0,0,0,-2365.13,2177.24,,0,10,20,4,
result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/FLP/data/instance_F10_C20__R200__4.txt,0.000000,CG,Optimal,Proved,1,5,26.1309,25.3936,0.487292,0,0,0,0,-2443.2,2008.82,,0,10,20,3,
result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/FLP/data/instance_F10_C20__R200__4.txt,0.000000,CG,Optimal,Proved,1,5,21.0896,20.3946,0.463265,-1.95826e-10,-1.95826e-10,0,0,-2443.2,2008.82,,1,10,20,3,
result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/FLP/data/instance_F10_C20__R200__4.txt,inf,STD,Optimal,Proved,0,5,1.47813,0.791098,0.470879,0,0,0,0,-2443.2,2008.82,,0,10,20,3,
result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/FLP/data/instance_F10_C20__R200__4.txt,0.000000,CG,Optimal,Proved,1,4,17.804,17.1457,0.510911,0,0,0,0,-1576.5,1926.9,,0,10,20,4,
result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/FLP/data/instance_F10_C20__R200__4.txt,0.000000,CG,Optimal,Proved,1,4,14.2184,13.6232,0.460265,-1.24328e-09,-1.24328e-09,0,0,-1576.5,1926.9,,1,10,20,4,
result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/FLP/data/instance_F10_C20__R200__4.txt,inf,STD,Optimal,Proved,0,4,1.1371,0.564485,0.462397,0,0,0,0,-1576.5,1926.9,,0,10,20,4,
result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/FLP/data/instance_F10_C20__R200__5.txt,0.000000,CG,Optimal,Proved,1,11,153.041,149.08,2.37961,-182,-182,0,0,-3670.4,1841.89,,0,10,20,3,
result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/FLP/data/instance_F10_C20__R200__5.txt,0.000000,CG,Optimal,Proved,1,11,138.034,134.242,2.30234,-182,-182,0,0,-3670.4,1841.89,,1,10,20,3,
result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/FLP/data/instance_F10_C20__R200__5.txt,inf,STD,Optimal,Proved,0,11,8.40281,4.40439,2.65311,-182,-182,0,0,-3670.4,1841.89,,0,10,20,3,
result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/FLP/data/instance_F10_C20__R200__5.txt,0.000000,CG,Optimal,Proved,1,9,83.8069,81.4914,1.61356,0,0,0,0,-2405.36,1965.58,,0,10,20,4,
result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/FLP/data/instance_F10_C20__R200__5.txt,0.000000,CG,Optimal,Proved,1,9,80.8558,78.4905,1.68004,-2.26692e-10,-2.26692e-10,0,0,-2405.36,1965.58,,1,10,20,4,
result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/FLP/data/instance_F10_C20__R200__5.txt,inf,STD,Optimal,Proved,0,9,4.69431,2.49488,1.70105,0,0,0,0,-2405.36,1965.58,,0,10,20,4,
result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/FLP/data/instance_F10_C20__R200__6.txt,0.000000,CG,Optimal,Proved,1,13,399.961,394.65,2.85269,-200,-200,1.00044e-11,2.00089e-11,-3625.46,1715.92,,0,10,20,3,
result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/FLP/data/instance_F10_C20__R200__6.txt,0.000000,CG,Optimal,Proved,1,13,363.795,358.252,3.11022,-200,-200,1.00044e-11,2.00089e-11,-3625.46,1715.92,,1,10,20,3,
