slurm-13210567.out,result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/GAP/data/to-run/instance_F10_C20__R200__1.txt,0,10,20,10,inf,STD,Optimal,Proved,0,17,23.9722,0.657359,21.8058,-8071,-8071,1.12687e-14,9.09495e-13,-9440.62,1100.71,,0.00,16.00
slurm-13210568.out,result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/GAP/data/to-run/instance_F10_C20__R200__2.txt,0,10,20,4,0.000000,CG,Optimal,Proved,1,2,36.0457,0.074566,35.9448,-13350,-13350,7.49064e-07,0.0001,-7673,0,,0.00,16.00
slurm-13210569.out,result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/GAP/data/to-run/instance_F10_C20__R200__2.txt,1,10,20,4,0.000000,CG,Optimal,Proved,1,2,36.144,0.075861,36.0417,-13350,-13350,7.49064e-07,0.0001,-7673,0,,0.00,16.00
slurm-13210570.out,result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/GAP/data/to-run/instance_F10_C20__R200__2.txt,0,10,20,4,inf,STD,Optimal,Proved,0,29,77.4959,2.67804,70.4761,-13350,-13350,1.70889e-06,0.000228136,-13248.4,468.248,,0.00,16.00
slurm-13210571.out,result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/GAP/data/to-run/instance_F10_C20__R200__2.txt,0,10,20,5,0.000000,CG,Optimal,Proved,1,173,10800.1,4718.08,5894.89,-13350,-13327,0.172582,23,-13340.9,116.314,Feasible,66.57,16.00
slurm-13210572.out,result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/GAP/data/to-run/instance_F10_C20__R200__2.txt,1,10,20,5,0.000000,CG,Optimal,Proved,1,165,10800.7,3012.69,7622.84,-13350,-13327,0.172582,23,-13340.6,119.682,Feasible,61.54,16.00
slurm-13210573.out,iteration,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/GAP/data/to-run/instance_F10_C20__R200__2.txt,0,10,20,5,inf,STD,Optimal,Proved,0,320,3770.67,2648.7,607.468,-13350,-13114,1.7996,236,-13342.8,100.017,,95.36,16.00
slurm-13210574.out,result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/GAP/data/to-run/instance_F10_C20__R200__2.txt,0,10,20,10,0.000000,CG,Infeasible,TimeLimit,1,22,10832.4,10690.7,138.935,-13350,-11824,12.906,1526,-13091.4,1007.13,,61.71,16.00
slurm-13210575.out,result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/GAP/data/to-run/instance_F10_C20__R200__2.txt,1,10,20,10,0.000000,CG,Optimal,Proved,1,22,145.252,1.36198,141.089,-11824,-11824,7.69194e-14,9.09495e-12,-13091.4,1007.13,,0.00,16.00
slurm-13210576.out,result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/GAP/data/to-run/instance_F10_C20__R200__2.txt,0,10,20,10,inf,STD,Optimal,Proved,0,138,1951.94,295.417,1560.95,-11824,-11824,3.07678e-14,3.63798e-12,-13318.5,286.641,,16.79,16.00
